,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,50.0,150.0,20.0,150.0, Cranberry Orange Muffins, Baked Apple Chips - Approx, Blueberry Oat Muffins, Moroccan Mint Tea, Butternut Squash Soup
2,200.0,60.0,220.0,20.0,150.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Cucumber and tomato salad," Greek Yogurt Parfait - 220 kcals per portion, 2 portions, contains dairy (Greece)", Moroccan Mint Tea, Butternut Squash Soup
3,50.0,50.0,150.0,20.0,160.0, Vegan Breakfast Sushi Burrito, Baked Apple Chips - Approx, Stuffed Grape Leaves, Moroccan Mint Tea," Vegan Tofu Scramble - 160 calories per portion, 1 portion, may contain soy"
4,350.0,60.0,150.0,20.0,150.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad - Approx," Vegan Zucchini Bread - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Grilled Vegetable Skewers - 150 calories/portion, 4 portions, contains garlic (Various)
"
5,400.0,50.0,90.0,20.0,150.0," Breakfast quesadilla - 400 calories per portion, 1 portion, contains gluten and dairy, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Guacamole with Tortilla Chips - 90 kcals per portion, 4 portions, allergic warning (avocado), origin", Moroccan Mint Tea, Lentil Soup
6,380.0,50.0,200.0,20.0,170.0," Pancake roll-ups filled with peanut butter and bananas (380 calories per portion, 2 portions, contains nuts, American origin)
", Baked Apple Chips - Approx, Bacon-Wrapped Dates with Goat Cheese, Moroccan Mint Tea, Miso Soup with Tofu and Vegetables
7,300.0,50.0,80.0,20.0,170.0, Banana Nut Smoothie Bowl, Baked Apple Chips - Approx, Fruit Salad, Moroccan Mint Tea, Vegan Caprese Salad
8,320.0,50.0,200.0,20.0,150.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Spinach and artichoke dip with tortilla chips, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
9,300.0,50.0,200.0,20.0,120.0, Mushroom and Tomato Omelette," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Pumpkin Bread, Moroccan Mint Tea, Cucumber and Tomato Salad
10,350.0,50.0,200.0,20.0,150.0, Chocolate Chip Muffins, Baked Apple Chips - Approx, Greek Yogurt Parfait, Moroccan Mint Tea, Caprese Salad
11,350.0,60.0,80.0,20.0,150.0, Apple Cinnamon Muffins, Fruit Salad - Approx, Hummus with carrot sticks, Moroccan Mint Tea, Veggie Stir-Fry
12,300.0,60.0,100.0,20.0,150.0," Blueberry almond smoothie (300 calories per portion, 2 portions, contains nuts, American origin)
", Cucumber and tomato salad, Zucchini Tomato Bites, Moroccan Mint Tea, Lentil Soup
13,200.0,60.0,250.0,20.0,160.0," Greek yogurt with honey and walnuts (200 calories per portion, 2 portions, contains dairy and nuts, Greek origin)
", Cucumber and tomato salad, Greek Spinach and Feta Puffs, Moroccan Mint Tea," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
