,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,80.0,560.0,20.0,300.0," Smoked salmon and cream cheese bagel (400 calories per portion, 2 portions, contains fish, American origin)
", Kale Chips, Vegan Mediterranean Pasta Salad, Moroccan Mint Tea," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
2,350.0,100.0,280.0,20.0,200.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Mini Frittatas - Approx, Vegan Chocolate Mousse, Moroccan Mint Tea, Spicy Black Bean Soup
3,150.0,100.0,120.0,20.0,150.0, Vegan Peanut Butter Banana Smoothie," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin"," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Swiss Chard and Lentil Soup
4,300.0,100.0,110.0,20.0,250.0," Shakshuka - 300 calories per portion, 2 portions, no allergic warnings, origin", Cucumber Rolls with Cream Cheese, Vegetable spring rolls, Moroccan Mint Tea," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
5,300.0,90.0,200.0,20.0,200.0," Yogurt parfait with granola and fruit - 300 calories per portion, 1 portion, may contain gluten, origin", Turkish-style boiled eggs, Quinoa-Stuffed Bell Peppers, Moroccan Mint Tea," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin"
6,350.0,80.0,160.0,20.0,159.0, Bread Upma, Kale Chips, Tomato and Mozzarella Skewers, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
7,350.0,100.0,80.0,20.0,250.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
", Overnight Chia Pudding," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Chickpea Salad
8,350.0,100.0,90.0,20.0,250.0, Tofu Scramble, Cucumber Sandwich, Mini Quiche, Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
9,400.0,100.0,150.0,20.0,300.0, Veggie Breakfast Bagel Sandwich, Rice Paper Spring Rolls, Black Bean and Corn Salsa with Tortilla Chips, Moroccan Mint Tea," Greek-style roasted vegetables with feta – 300 calories per portion, 4 portions, contains dairy (origin"
10,100.0,80.0,180.0,20.0,320.0, Healthy Fruit Salad, Mango with Chili Powder, Mini Meatballs, Moroccan Mint Tea," Cauliflower curry – 320 calories per portion, 4 portions, vegan-friendly
"
