,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,100.0,90.0,100.0,300.0," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
", Tomato Basil Bruschetta," Baked Zucchini Chips - 90 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Lentil Mushroom Meatballs - 300 calories per portion, 4 portions, None, Various
"
2,400.0,100.0,200.0,20.0,400.0, Vegan Breakfast Fried Rice, Roasted Chickpeas, Baked Falafel, Moroccan Mint Tea," Vegetable Lasagna - 400 calories/portion, 4 portions, contains gluten and dairy (Italy)

"
3,250.0,100.0,80.0,100.0,200.0, Vegan Banana Muffins, Vegetable Crudité with Hummus, Fresh Fruit Salad, Israeli salad, Greek Salad
4,400.0,80.0,250.0,120.0,220.0, Vegetarian Quiche Lorraine, Avocado Deviled Eggs, Greek Spinach and Feta Puffs," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil and Kale Soup
5,300.0,80.0,160.0,100.0,450.0, Vegan Blueberry Muffins, Stuffed Dates, Baked Tofu Fingers, Israeli salad, Eggplant Parmesan
6,400.0,100.0,130.0,120.0,350.0," Chicken and vegetable stuffed crepes (400kcals per portion, 2 portions)
", Baked Zucchini Chips - Approx, Veggie Taco Cups," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mexican Quinoa Stuffed Zucchini - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
7,350.0,100.0,180.0,20.0,350.0, Banana Walnut Bread, Edamame, Chicken Salad Lettuce Wraps, Moroccan Mint Tea, Mushroom Tacos
8,400.0,100.0,720.0,20.0,420.0, Huevos Rancheros, Berry Chia Detox Water, Vegetable Samosas, Moroccan Mint Tea," Chicken and vegetable fried rice - 420 kcals per portion, 3 portions, contains gluten, soy
"
9,250.0,100.0,280.0,20.0,380.0," Chia seed pudding with mixed berries (250kcals per portion, 2 portions)
", Toasted Coconut Chips, Vegan Nachos, Moroccan Mint Tea," Quinoa-stuffed bell peppers with black beans and corn – 380 calories per portion, 4 portions, vegan-friendly
"
10,400.0,80.0,150.0,120.0,160.0," Scandinavian-style open-faced sandwich (400 calories per portion, 2 portions, nut-free, Scandinavian origin)
", Stuffed Dates, Vegetable samosa," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten"
