,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,250.0,250.0,400.0,110.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Vegetable Pad Thai (250 calories per portion, serves 4, contains peanuts and soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"," Sushi Burrito with Teriyaki Chicken (400 calories per portion, serves 2, contains gluten and soy, origin"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)"
2,350.0,90.0,90.0,250.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Teriyaki Tofu and Vegetable Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Teriyaki Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"
3,350.0,90.0,80.0,350.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)"," Thai Green Curry with Tofu (350 calories per portion, serves 4, contains soy, origin"," Sweet and Sour Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"
4,350.0,350.0,250.0,400.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Vegan Pad Thai with Tofu (350 calories per portion, serves 2, contains peanuts and soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"," Sushi Burrito with Teriyaki Chicken (400 calories per portion, serves 2, contains gluten and soy, origin"," Vegetable Pad Thai (250 calories per portion, serves 4, contains peanuts and soy, origin"
5,350.0,250.0,110.0,400.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Chinese Vegetable Spring Rolls (250 calories per portion, serves 4, contains gluten and soy, origin"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)"," Sushi Burrito with Teriyaki Chicken (400 calories per portion, serves 2, contains gluten and soy, origin"," Teriyaki Tofu and Vegetable Stir-Fry (250 calories per portion, serves 4, contains soy, origin"
6,350.0,110.0,90.0,200.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Vegetable Stir-Fry with Tofu (200 calories per portion, serves 4, contains soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"
7,350.0,90.0,90.0,250.0,90.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Teriyaki Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"
8,350.0,250.0,250.0,250.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Sweet and Sour Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)"," Vegetable Pad Thai (250 calories per portion, serves 4, contains peanuts and soy, origin"," Vegetable Pad Thai (250 calories per portion, serves 4, contains peanuts and soy, origin"
9,350.0,350.0,80.0,350.0,250.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Vegan Pad Thai with Tofu (350 calories per portion, serves 2, contains peanuts and soy, origin"," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)"," Vegan Pad Thai with Tofu (350 calories per portion, serves 2, contains peanuts and soy, origin"," Teriyaki Tofu Stir-Fry (250 calories per portion, serves 4, contains soy, origin"
10,350.0,300.0,90.0,250.0,110.0," Veggie sausage and hash browns (350 calories per portion, 2 portions, contains soy, American origin)
"," Asian Noodle Salad with Sesame Ginger Dressing (300 calories per portion, serves 4, contains gluten and soy, origin"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)"," Teriyaki Tofu and Vegetable Stir-Fry (250 calories per portion, serves 4, contains soy, origin"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)"
