,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,50.0,180.0,100.0,150.0," Muesli with yogurt and mixed fruits (350kcals per portion, 1 portion)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Spinach and Feta Pastry Triangles, Israeli salad," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
2,400.0,50.0,250.0,100.0,250.0, Veggie Breakfast Pizza," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Cheese Puffs - 250 kcals per portion, 2 portions, contains gluten, dairy (France)", Israeli salad," Vegan Caesar Salad - 250 calories per portion, 4 portions, None, United States
"
3,250.0,50.0,90.0,20.0,250.0, Quinoa Porridge," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Feta and Olive Skewers, Moroccan Mint Tea," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

"
4,320.0,60.0,80.0,20.0,300.0," Vegetable and cheese strata (320 calories per portion, 2 portions, contains dairy, American origin)
", Fruit Salad - Approx, Caprese Skewers with Balsamic Glaze, Moroccan Mint Tea," Lentil Mushroom Meatballs - 300 calories per portion, 4 portions, None, Various
"
5,300.0,60.0,90.0,100.0,170.0, Tofu Scramble Breakfast Burrito, Fruit Salad - Approx," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)", Israeli salad, Miso Soup with Tofu and Vegetables
6,250.0,60.0,200.0,100.0,200.0," Fruit smoothie bowl topped with granola (250kcals per portion, 2 portions, nut allergies, origin", Cucumber and tomato salad, Apple Cinnamon Muffins, Israeli salad, Greek Salad
7,250.0,50.0,140.0,100.0,250.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Bacon-Wrapped Asparagus, Israeli salad," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
"
8,300.0,50.0,250.0,100.0,250.0, Irish Soda Bread, Baked Apple Chips - Approx, Mango Coconut Chia Pudding, Israeli salad," Caprese Stuffed Zucchini - 250 calories/portion, 4 portions, Origin"
9,350.0,60.0,180.0,20.0,250.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Chickpea Buddha Bowl
10,350.0,50.0,200.0,20.0,320.0," Swiss cheese and mushroom omelette (350 calories per portion, 2 portions, contains dairy, Swiss origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini mushroom and cheese tartlets, Moroccan Mint Tea, Sweet and Sour Tofu
