,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,150.0,160.0,165.0,200.0, Apple Cinnamon Muffins, Pumpkin Energy Balls, Spinach and Feta Stuffed Mushrooms," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Minestrone soup - 200 calories per portion, 6 portions, contains gluten (Italy)
"
2,200.0,80.0,120.0,180.0,300.0, Caprese Avocado Toast, Cheesy Popcorn, Granola Bar," Greek Salad - 180kcals per portion, 4 portions, no allergies, Origin"," Spinach and Ricotta Stuffed Shells - 300 calories/portion, 4 portions, contains gluten and dairy (Italy)

"
3,250.0,100.0,140.0,180.0,300.0, Whole Wheat Veggie Breakfast Wrap, Cucumber and Tomato Salad, Roasted Red Pepper Dip with Pita Chips," Greek Salad - 180kcals per portion, 4 portions, no allergies, Origin"," Greek Spinach and Feta Pie - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
4,400.0,150.0,180.0,180.0,250.0, Vegetarian Breakfast Strata, Mini Vegetable Frittatas, Veggie Stuffed Pita Bread, Mexican black bean and corn salad," Lentil and Vegetable Soup - 250 calories/portion, 4 portions, contains gluten (Various)
"
5,400.0,150.0,100.0,180.0,250.0, Mexican Sopes, Greek Yogurt with Berries, Baked Kale Chips, Roasted beet and feta salad," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)

Please note that these calorie estimates are approximate and can vary based on specific ingredients and portion sizes used"
6,400.0,150.0,80.0,150.0,300.0, Mushroom Breakfast Burrito, Chia Pudding, Vegetable Soup, Gazpacho Soup, Mediterranean Vegetable Tart
7,250.0,90.0,280.0,160.0,290.0, Vegan Breakfast Sausage, Vegetarian Spring Rolls, Sweet Potato and Black Bean Quesadillas," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Black Bean Soup - 290kcals per portion, 4 portions, contains legumes (Various)

"
8,200.0,100.0,150.0,180.0,300.0, Spinach and Mushroom Breakfast Tacos, Berry Chia Detox Water, Mexican Street Corn," Oven-Roasted Vegetables - 180kcals per portion, 2 portions, contains nightshade vegetables
"," Zucchini noodles with pesto - 300 calories per portion, 4 portions, contains nuts (Italy)
"
9,300.0,120.0,100.0,180.0,400.0, Acai Bowl, Date Balls, Caprese Skewers," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
", Spicy Thai Noodle Soup
10,350.0,150.0,70.0,150.0,300.0, Vegan Protein Pancakes, Puffed Rice Bars, Stuffed Cucumbers, Spinach and mushroom omelet," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
11,250.0,150.0,120.0,150.0,380.0, Vegan Banana Bread, Kale and Sautéed Mushrooms on Toast, Tomato Bruschetta," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Lentil Bolognese - 380kcals per portion, 4 portions, contains legumes (Italy)
"
12,250.0,150.0,180.0,120.0,350.0, Cucumber Sandwich, Oatmeal Raisin Energy Bites, Crispy Tofu Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tomato and Basil Pasta - 350 calories/portion, 2 portions, Origin"
13,350.0,120.0,280.0,150.0,400.0, Lemon Poppy Seed Pancakes, Almond Biscotti, Greek Spinach and Cheese Rolls, Spinach and feta stuffed mushrooms, Caprese Panini
14,200.0,150.0,200.0,150.0,250.0, Veggie Breakfast Pizza Rolls, Oven-Baked Onion Rings, Baked Falafel, Gazpacho Soup, Mediterranean Quinoa Salad
15,350.0,150.0,80.0,180.0,350.0, Zucchini and Parmesan Muffins, Fruit Smoothie, Veggie Noodle Salad, Roasted beet and feta salad," Greek Pasta Salad - 350 calories/portion, 4 portions, Origin"
