,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,180.0,100.0,20.0,350.0, Breakfast Bruschetta, Baked Oatmeal Cups, Stuffed Dates with Almond Butter, Moroccan Mint Tea," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
2,350.0,200.0,250.0,20.0,350.0," Irish soda bread with butter and jam - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Greek Salad, Baked Samosas, Moroccan Mint Tea, Stuffed Bell Peppers with Rice and Beans
3,100.0,220.0,120.0,20.0,390.0, Vegan Breakfast Rice Pudding, Sweet Potato Toast, Basil pesto pasta salad, Moroccan Mint Tea, Vegan Tikka Masala
4,250.0,180.0,100.0,20.0,346.0, Greek Yogurt Parfait Bowl, Vegan Scones, Pita chips with tzatziki dip, Moroccan Mint Tea, Sweet Potato and Lentil Curry
5,300.0,240.0,720.0,20.0,350.0, Omelette with Spinach and Feta, Spinach and Feta Puffs, Vegan Black Bean Quesadillas, Moroccan Mint Tea," Vegetarian chili with brown rice - 350 kcals per portion, 5 portions, vegetarian, gluten-free
"
6,200.0,300.0,120.0,20.0,200.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin," Peanut Sesame Noodle Salad - 300kcals per portion, 1 portion
    Origin"," Vegan Chocolate Chip Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil Spinach Soup
7,200.0,220.0,150.0,20.0,320.0, Spinach and Feta Stuffed Portobello Mushrooms, Caramelized banana oatmeal, Stuffed Grape Leaves, Moroccan Mint Tea, Moroccan Vegetable Tagine
8,250.0,250.0,250.0,20.0,256.0, Smoothie Bowl," Zucchini and Sweet Potato Pancakes - 250kcals per portion, 1 portion
    Origin"," Oven-Baked Chicken Wings - 250 kcals per portion, 2 portions, gluten-free (USA)", Moroccan Mint Tea, Vegan BLT Sandwich
9,250.0,150.0,120.0,20.0,300.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Mixed Berry Smoothie, Tabbouleh Salad, Moroccan Mint Tea, Quinoa and Vegetable Stuffed Bell Peppers
10,450.0,200.0,140.0,20.0,250.0," Baguette with brie and prosciutto (450kcals per portion, 1 portion, pork allergies, origin", Vegan Sweet Potato Toast, Greek Yogurt with Apple and Cinnamon, Moroccan Mint Tea, Roasted Vegetable Salad
11,400.0,160.0,180.0,20.0,380.0, Tofu Benedict, Berry Smoothie, Apple with Peanut Butter, Moroccan Mint Tea, Vegan Bibimbap
12,280.0,150.0,180.0,20.0,350.0," Oatmeal with apples and cinnamon (280 calories per portion, 2 portions, nut-free, American origin)
", Roasted Garlic Hummus," Spinach and Mushroom Quesadillas - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegetable Bolognese - 350 calories/portion, 4 portions, contains gluten (Italy)
"
