,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,120.0,70.0,180.0,300.0, Vegan Protein Smoothie, Date Balls, Stuffed Cucumbers," Ratatouille - 180kcals per portion, 2 portions, contains nightshade vegetables (France)
"," Mediterranean Quinoa Salad - 300 calories/portion, 4 portions, contains gluten (Greece)
"
2,300.0,200.0,90.0,150.0,420.0, Greek Yogurt with Honey and Pistachios, Stuffed Mushrooms, Zucchini Pizza Bites, Caprese Salad," Quinoa and Vegetable Stir-Fry - 420kcals per portion, 4 portions
"
3,250.0,80.0,150.0,200.0,350.0, Yogurt Parfait, Kale Chips, Greek Yogurt with Fresh Berries, Greek spanakopita," Pasta Primavera - 350 calories/portion, 4 portions, Origin"
4,300.0,200.0,120.0,180.0,200.0, Vegan Smoothie Bowl, Roasted Butternut Squash and Sweet Potato Fries, Vegan Chia Seed Pudding, Mexican black bean and corn salad," Caprese Salad - 200 calories/portion, 4 portions, contains dairy (Italy)
"
5,250.0,80.0,200.0,150.0,350.0, Vegan Breakfast Pizza, Baked Apple Chips, Coconut Chia Pudding," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Mexican Quinoa Stuffed Zucchini
6,350.0,160.0,170.0,180.0,450.0, Mushroom and Spinach Breakfast Quesadilla, Zucchini Chips, Mexican Bean Dip," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
"," Mediterranean Roasted Vegetable Quiche - 450 calories/portion, 4 portions, contains gluten and dairy (Various)
"
7,250.0,200.0,200.0,150.0,350.0, Spinach and Mushroom Oatmeal, Cinnamon Raisin Oatmeal, Fruit and Yogurt Parfait, Gazpacho Soup," Mexican Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
8,300.0,170.0,150.0,150.0,350.0, Cheesy Grits, Chocolate Chia Pudding, Tomato and Mozzarella Skewers, Spinach and mushroom frittata," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
9,400.0,160.0,250.0,200.0,380.0, Tomato Basil Quiche, Apple Slices with Almond Butter, Guacamole with Tortilla Chips, Caprese salad," Vegetable Curry with Coconut Milk - 380kcals per portion, 4 portions, contains nuts
"
10,300.0,120.0,100.0,180.0,300.0, Veggie Breakfast Burrito Bowl, Oatmeal Cookie, Apple Chips," Oven-Roasted Vegetables - 180kcals per portion, 2 portions, contains nightshade vegetables
"," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
11,250.0,180.0,180.0,200.0,350.0, Buckwheat Porridge, Carrot Cake Muffins, Veggie Stuffed Pita Bread, Greek spanakopita," Veggie Pad See Ew - 350 calories/portion, 4 portions, Origin"
12,250.0,150.0,120.0,200.0,350.0, Raspberry Chia Pudding, Homemade Energy Balls, Cheese and Spinach Stuffed Mushrooms, French onion soup," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
13,300.0,170.0,160.0,180.0,400.0, Overnight Apple Pie Chia Pudding, Sweet Potato Toast, Portobello Mushroom Pizza Bites, Mexican avocado and black bean salad," Sweet potato gnocchi with sage butter - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
14,350.0,150.0,280.0,200.0,180.0, Zucchini and Parmesan Muffins, Fruit Smoothie, Greek Spinach Pie, Greek dolmas (stuffed grape leaves)," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
15,200.0,100.0,300.0,200.0,280.0, Vegan Blueberry Pancakes, Vegetable Crudité with Hummus, Tortilla Española," Quinoa-Stuffed Mushrooms - 200kcals per portion, 2 portions, gluten-free
"," Lentil Curry - 280kcals per portion, 4 portions, contains legumes (India)
"
16,300.0,190.0,250.0,190.0,200.0, Saffron Yogurt with Fruit, Sweet Potato Bites, Quinoa Salad," Tomato and Basil Bruschetta - 190kcals per portion, 2 portions, contains gluten (Italy)
"," Tomato and Mozzarella Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
17,250.0,180.0,200.0,180.0,400.0, Vegan Breakfast Quesadillas, Veggie Stuffed Bell Peppers, Almond Butter Banana Toast, Spinach and artichoke dip," Quinoa Stuffed Mushrooms with Feta - 400 calories/portion, 4 portions, Origin"
18,300.0,200.0,100.0,200.0,260.0, Feta and Spinach Muffins, Sweet Potato Fritters, Tzatziki with Pita Bread, Greek roasted potatoes," Greek Baked Beans - 260kcals per portion, 4 portions
"
19,350.0,200.0,150.0,150.0,250.0, Maple Pecan Granola with Yogurt, Caprese Toast, Roasted Brussels Sprouts, Lentil and vegetable soup," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
20,300.0,120.0,160.0,200.0,350.0, Blueberry Banana Breakfast Bars, Almond Biscotti, Tomato and Mozzarella Skewers," Quinoa Salad - 200kcals per portion, 4 portions, no allergies
", Roasted Vegetable Pasta
21,200.0,200.0,200.0,200.0,400.0, Apple Cinnamon Porridge, Veggie Nuggets, Tomato and Avocado Bruschetta, Spanakopita triangles," Mushroom and Spinach Quesadillas - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
22,200.0,200.0,200.0,200.0,300.0, Peanut Butter and Banana Smoothie, Chocolate Protein Balls, Stuffed Bell Peppers, Greek potato salad, Lentil Sloppy Joes
23,350.0,200.0,240.0,200.0,350.0, Shakshuka, Raspberry Chia Seed Pudding, Chickpea and Vegetable Curry, Greek Salad, Chickpea and Sweet Potato Curry
24,250.0,150.0,70.0,150.0,450.0, Banana Bread, Butternut Squash Soup, Stuffed Cucumbers, Caprese Salad," Vegetable Biryani Casserole - 450 calories/portion, 4 portions, contains nuts (India)
"
25,350.0,150.0,170.0,190.0,300.0, Zucchini and Parmesan Muffins, Cheesy Garlic Bread, Mexican Bean Dip," Tomato and Basil Bruschetta - 190kcals per portion, 2 portions, contains gluten (Italy)
"," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
26,400.0,200.0,190.0,200.0,280.0, Tofu Benedict, Egg Salad Lettuce Wraps, Mini Falafel Bites, Vegetable and lentil samosas," Chickpea Salad - 280kcals per portion, 4 portions, gluten-free (Middle East)
"
27,300.0,180.0,340.0,200.0,350.0, Vegan Blueberry Muffins, Falafel, Greek Feta and Olive Bread," Quinoa-Stuffed Mushrooms - 200kcals per portion, 2 portions, gluten-free
"," Spaghetti with Marinara Sauce - 350 calories/portion, 4 portions, contains gluten (Italy)
"
28,200.0,100.0,200.0,150.0,250.0, Veggie Breakfast Wrap with Tofu Scramble, Quinoa Energy Bites, Fruit and Yogurt Parfait, Spinach and ricotta stuffed tomatoes," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
29,350.0,150.0,120.0,200.0,250.0, Banana Walnut Bread, Fruit Smoothie, Cucumber Sandwiches," Quinoa Salad - 200kcals per portion, 4 portions, no allergies
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
30,300.0,200.0,250.0,200.0,250.0, Classic Peanut Butter and Jelly, Tofu and Vegetable Stir-Fry, Quinoa Stuffed Bell Peppers, Greek Salad, Caprese Quinoa Salad
31,200.0,200.0,150.0,180.0,350.0, Roasted Vegetable Breakfast Tacos, Greek Salad Skewers, Roasted Chickpeas," Ratatouille - 180kcals per portion, 2 portions, contains nightshade vegetables (France)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
32,250.0,150.0,150.0,180.0,350.0, Banana Bread, Veggie Roll-Up, Baked Parmesan Zucchini Fries," Ratatouille - 180kcals per portion, 2 portions, contains nightshade vegetables (France)
"," Veggie Paella - 350 calories/portion, 4 portions, Origin"
33,150.0,200.0,250.0,200.0,450.0, Fruit Smoothie, Caprese Skewers with Balsamic Glaze, Stuffed Bell Peppers with Quinoa, Greek briam," Spinach and Ricotta Stuffed Manicotti - 450 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
34,150.0,180.0,320.0,150.0,350.0, Fruit Salad, Blueberry Muffins, Spicy Peanut Noodles, Spinach and feta stuffed bell peppers," Greek Pasta Salad - 350 calories/portion, 4 portions, Origin"
35,300.0,180.0,280.0,180.0,400.0, Tomato and Basil Omelette, Mango Chia Pudding, Cucumber and Avocado Sushi, Roasted beet and feta salad," Coconut curry noodles - 400 calories per portion, 4 portions, contains gluten
"
36,250.0,200.0,320.0,150.0,400.0, Vegan Banana Muffins, Quinoa Salad, Greek Spanakopita, Spinach and feta stuffed mushrooms, Vegetarian Shepherd's Pie
