,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,340.0,200.0,350.0, Baked Oatmeal, Caprese Skewers, Greek Feta and Olive Bread," Baked Zucchini Fries - 200kcals per portion, 4 portions, no allergies
"," Tomato and Basil Pasta - 350 calories/portion, 2 portions, Origin"
2,250.0,100.0,230.0,180.0,400.0, Quinoa Porridge, Cucumber and Hummus Rolls, Sweet Potato and Black Bean Quesadillas," Oven-Roasted Vegetables - 180kcals per portion, 2 portions, contains nightshade vegetables
"," Veggie Pad Thai - 400 calories/portion, 4 portions, Origin"
3,300.0,150.0,250.0,200.0,260.0, Chocolate Chia Protein Pudding, Stuffed Mushrooms, Avocado Chocolate Mousse, Spinach and Artichoke Dip," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
4,350.0,100.0,150.0,200.0,350.0, Bread Upma, Fruit Salad, Stuffed Grape Leaves, Vegetable and lentil samosas," Mexican Street Corn Pasta Salad - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
5,300.0,100.0,90.0,200.0,450.0, Vegetable Frittata, Guacamole Stuffed Cherry Tomatoes, Homemade Popcorn, French onion soup," Baked Falafel Bowl - 450 calories/portion, 4 portions, contains gluten (Middle East)
"
6,250.0,80.0,120.0,200.0,380.0, Vegan Breakfast Quesadillas, Fresh Squeezed Orange Juice, Greek Yogurt Dip with Veggies," Spinach and Artichoke Dip - 200kcals per portion, 4 portions, contains dairy
"," Spinach and Ricotta Stuffed Shells - 380kcals per portion, 4 portions, contains dairy (Italy)
"
7,400.0,150.0,150.0,200.0,330.0, Veggie Sausage Breakfast Sandwich, Caprese Salad, Veggie Kabobs, Minestrone soup," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
8,350.0,150.0,150.0,150.0,350.0, Banana Chia Pancakes, Boiled Egg with Whole Wheat Crackers, Roasted Brussels Sprouts, Gazpacho Soup," Curried vegetable couscous - 350 calories per portion, 4 portions, contains gluten
"
9,300.0,150.0,280.0,200.0,400.0, Veggie Breakfast Burrito Bowl, Cheesy Garlic Bread, Mexican Street Corn," Baked Zucchini Fries - 200kcals per portion, 4 portions, no allergies
"," Vegetarian Burrito Bowl - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
10,250.0,100.0,250.0,150.0,300.0, Buckwheat Porridge, Tomato Basil Bruschetta, Greek Yogurt with Granola, Lentil and vegetable soup," Ratatouille Pasta - 300 calories/portion, 4 portions, Origin"
11,250.0,100.0,80.0,200.0,350.0, Vegan Sausage and Biscuits, Quinoa Energy Bites, Baked Kale Chips, Greek potato salad," Tomato and Basil Pasta - 350 calories/portion, 2 portions, Origin"
12,250.0,150.0,220.0,200.0,450.0, Veggie Omelette, Blueberry Almond Energy Balls, Caprese Bruschetta, Spinach and Artichoke Dip," Vegetable Stroganoff - 450 calories/portion, 4 portions, contains gluten and dairy (Russia)
"
13,400.0,150.0,200.0,200.0,200.0, French Toast, Zucchini Noodles with Marinara Sauce, Cheese and Tomato Toasties, Greek vegetarian stuffed peppers," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
14,350.0,150.0,180.0,200.0,280.0, Baked Oatmeal, Puffed Rice Bars, Crispy Tofu Bites, Greek briam," Greek Stuffed Eggplant - 280kcals per portion, 4 portions
"
15,200.0,150.0,190.0,150.0,300.0, Vegan Pumpkin Pancakes, Baked Cinnamon Apple Chips, Roasted Beet Hummus with Crackers, Butternut squash soup, Mexican Quinoa Salad
16,300.0,100.0,140.0,180.0,320.0, Vegan Blueberry Muffins, Cucumber Sandwich, Melon and Prosciutto Skewers, Spinach and artichoke dip," Spinach and Mushroom Quesadillas - 320kcals per portion, 4 portions, contains dairy (Mexico)
"
17,400.0,80.0,220.0,180.0,400.0, Mushroom Breakfast Burrito, Kale Chips, Caprese Bruschetta," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
", Spicy Thai Noodle Soup
18,350.0,90.0,150.0,150.0,350.0, Banana Walnut Bread, Rice Paper Rolls, Baked Vegetable Samosas, Spinach and cheese stuffed tomatoes, Sweet Potato and Black Bean Enchiladas
19,250.0,120.0,180.0,160.0,450.0, Vegan Chocolate Banana Smoothie, Vegetable Samosas, Greek Yogurt Parfait," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable Biryani Casserole - 450 calories/portion, 4 portions, contains nuts (India)
"
