,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,130.0,140.0,350.0,420.0, Berry Quinoa Breakfast Bowl - 300 calories per portion | 1 portion | Contains nuts | Origin, Almond Butter Stuffed Dates," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Eggplant Rollatini, Vegan Spaghetti Carbonara
2,300.0,160.0,80.0,400.0,500.0, Vegan Almond Butter Toast - 300 calories per portion | 1 portion | Contains nuts | Origin, Berry Smoothie," Edamame Beans - 80 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Curry," Thai Vegan Red Curry (500 calories/portion, 2 portions) - Thailand
"
3,350.0,100.0,180.0,350.0,250.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Roasted Pumpkin Seeds," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Moussaka, Tofu Tikka Masala
4,350.0,150.0,130.0,400.0,200.0, Tofu Scramble, Vegan Raspberry Thumbprint Cookies," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and Vegetable Pot Pie," Lentil Curry (200 calories/portion, 4 portions) - India
"
5,350.0,150.0,240.0,400.0,200.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Green Smoothie, Vegan Stuffed Portobello Mushrooms, Falafel Wrap, Lemon and Herb Couscous Salad
6,350.0,150.0,170.0,350.0,400.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Cereal with Almond Milk," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Curry Noodles," Vegan Shepherd's Pie - 400 calories per portion, 4 portions, None, United Kingdom
"
7,600.0,100.0,700.0,350.0,300.0, Vegan Breakfast BLT, Fresh Fruit Salad, Vegan Pad Thai, Vegan BBQ Jackfruit Sandwich, Couscous Salad
8,300.0,120.0,90.0,350.0,250.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Hummus with Veggies," Rice Cakes with Almond Butter - 90 kcals per portion, 4 portions, allergic warning (almonds), origin", Vegan BBQ Jackfruit Sandwich, Stuffed Acorn Squash
9,300.0,80.0,180.0,250.0,300.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates," Spinach and Mushroom Quesadillas - 180 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Stir-Fry, Vegan Gumbo
10,400.0,100.0,440.0,300.0,250.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Roasted Edamame, Vegan Gyoza, Vegan Stuffed Bell Peppers with Quinoa and Black Beans, Vegan Kung Pao Tofu
11,850.0,100.0,480.0,400.0,600.0, Vegan Breakfast Pizza, Roasted Edamame, Vegan Cucumber Sushi Rolls, Vegan Thai Green Curry," Vegan Teriyaki Noodles - 600 calories per portion, 2 portions, may contain soy"
12,800.0,150.0,160.0,350.0,200.0, Vegan Sausage and Biscuits, Green Smoothie," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Salad Sandwich," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
