,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,90.0,190.0,400.0,200.0, Veggie Omelette, Quinoa Energy Bites, Greek Spinach and Feta Pinwheels, Indonesian Gado Gado Salad, Greek Salad
2,400.0,80.0,100.0,300.0,200.0," Huevos divorciados (Mexican-style eggs with red and green salsa) (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Stuffed Dates, Apple Chips," Mediterranean Veggie Sandwich - 300kcals per portion, 3 portions, dairy-free, International
", Lentil Spinach Soup
3,350.0,70.0,90.0,400.0,250.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Kale chips," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)", Chicken Caesar salad," Spinach and Artichoke Stuffed Portobello Mushrooms - 250 calories/portion, 4 portions, contains dairy (Italy)
"
4,250.0,80.0,150.0,400.0,200.0, Whole Wheat Veggie Breakfast Wrap, Fruit Salad, Sweet Potato and Chickpea Patties, Mediterranean stuffed peppers with quinoa and feta," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy"
5,400.0,70.0,200.0,400.0,200.0," Veggie breakfast quesadilla (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Kale chips, Stuffed bell peppers with quinoa and black beans, Vegan Cajun Red Beans and Rice," Mediterranean Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
6,300.0,80.0,230.0,350.0,250.0, Country Style Potatoes with Veggies, Energy Balls, Tomato and mozzarella bruschetta," Vegan Sushi Bowl
Total calories per portion"," Roasted Cauliflower Tacos - 250 calories per portion, 4 portions, None, Mexico
"
7,400.0,80.0,280.0,300.0,170.0," Thai mango sticky rice (400kcals per portion, 2 portions, origin", Energy Balls, Veggie Sausage Rolls," Quinoa Salad - 300kcals per portion, 2 portions, gluten-free
", Miso Soup with Tofu and Vegetables
8,350.0,80.0,100.0,300.0,220.0," German-style potato pancakes with applesauce - 350 calories per portion, 2 portions, contains gluten, origin", Cheesy Popcorn, Cucumber and Watermelon Salad," Italian Pizza Margherita with Whole Wheat Crust - 300 calories per portion, 4 portions, contains dairy, Italian
", Chickpea and Vegetable Stir Fry
9,350.0,80.0,140.0,350.0,250.0," Italian ciambella (simple breakfast cake) with coffee (350kcals per portion, 2 portions, origin", Cheesy Popcorn, Roasted Red Pepper Dip with Pita Chips," Quinoa Stuffed Portobello Mushrooms - 350kcals per portion, 4 portions", Veggie Stir-Fry with Quinoa
10,400.0,80.0,200.0,400.0,250.0, Veggie English Breakfast," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Vegan Chocolate Covered Strawberries," Vegan Spinach and Mushroom Quiche
Total calories per portion", Cauliflower Buffalo Wings
