,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,50.0,150.0,150.0,220.0, Cheesy Spinach Pita Pocket, Baked Apple Chips - Approx, Sweet potato fries, Greek Taramasalata, Lentil and Vegetable Stir Fry
2,320.0,50.0,180.0,150.0,245.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cucumber and Avocado Sushi Rolls," Vegetable Stir-Fry - 150kcals per portion, 3 portions", Tofu Stir Fry
3,350.0,50.0,250.0,180.0,200.0," Veggie breakfast wrap with scrambled eggs (350kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Tomato Basil Bruschetta Pizza," Spinach and Feta Stuffed Portobello Mushrooms - 180kcals per portion, 2 portions, contains dairy
"," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
4,300.0,60.0,220.0,180.0,150.0, Vegan Breakfast Parfait, Cucumber and tomato salad, Veggie-Stuffed Pita Pockets," Oven-Roasted Vegetables - 180kcals per portion, 2 portions, contains nightshade vegetables
", Spinach and Feta Stuffed Mushrooms
5,300.0,50.0,200.0,150.0,240.0, Overnight Cherry Almond Oats," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Hummus and Pita Bread, Tom Yum Soup," Citrus Quinoa Salad - 240kcals per portion, 4 portions
"
6,250.0,60.0,290.0,150.0,250.0, Muesli with Almond Milk, Cucumber and tomato salad," Baked Brie with Cranberry Sauce - 290 kcals per portion, 2 portions, contains dairy (France)"," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Greek Spanakopita
7,350.0,60.0,150.0,150.0,250.0," Yogurt and granola parfait with mixed berries (350 calories per portion, 2 portions, contains dairy, American origin)
", Fruit Salad - Approx, Quinoa-stuffed mushrooms, Caprese Salad, Stuffed Acorn Squash
8,350.0,50.0,190.0,150.0,250.0, Coconut Chia Pudding," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cucumber and Avocado Gazpacho, Spinach and feta stuffed bell peppers," Borscht with sour cream – 250 calories per portion, 6 portions, contains dairy (origin"
9,200.0,50.0,220.0,150.0,182.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie-Stuffed Pita Pockets, Cabbage Stir-Fry, Carrot and Ginger Soup
10,200.0,50.0,180.0,150.0,200.0, Blueberry Muffins," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Watermelon and feta salad, Greek Tzatziki Dip with Pita," Caprese Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains dairy (Italy)
"
