,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,100.0,420.0,300.0, Ragi (Finger Millet) Pancakes, Vegetable Crudité with Hummus, Chocolate Covered Strawberries," Veggie Pad Thai - 420kcals per portion, 2 portions, contains gluten, peanuts (Thailand)
"," Spinach and feta phyllo triangles - 300 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
2,300.0,100.0,150.0,250.0,350.0, Mediterranean Chickpea Scramble, Rice Cake with Hummus and Cucumber, Caprese Salad Skewers," Greek Fava Bean Dip - 250kcals per portion, 4 portions, no allergies, Origin"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
3,250.0,100.0,40.0,600.0,350.0, Vegan Sausage and Biscuits, Cucumber and Tomato Salad, Cucumber Roll-Ups, Vegetable Korma," Caprese Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
4,300.0,120.0,150.0,410.0,290.0, Tropical Mango Chia Pudding, Bruschetta with Tomato and Basil, Cauliflower Buffalo Wings," Veggie Penne Pasta - 410kcals per portion, 2 portions, contains gluten, dairy (Italy)
"," Black Bean Soup - 290kcals per portion, 4 portions, contains legumes (Various)

"
5,200.0,120.0,150.0,190.0,280.0, Zucchini Bread, Beetroot Hummus, Caprese Salad Skewers," Tomato and Basil Bruschetta - 190kcals per portion, 2 portions, contains gluten (Italy)
"," Lentil Curry - 280kcals per portion, 4 portions, contains legumes (India)
"
6,400.0,120.0,200.0,450.0,300.0, Mexican Sopes, Baked Cheese Twists, Baked Falafel, Mexican Quinoa Bowl," Greek Stuffed Eggplant - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
7,250.0,100.0,280.0,400.0,320.0, Blueberry Oatmeal Breakfast Bars, Cucumber and Hummus Rolls, Cucumber and Avocado Sushi," Grilled Vegetable Panini - 400kcals per portion, 2 portions, no allergies
"," Spinach and Mushroom Quesadillas - 320kcals per portion, 4 portions, contains dairy (Mexico)
"
8,300.0,120.0,160.0,600.0,200.0, Chocolate Peanut Butter Overnight Oats, Veggie Fritters, Roasted Sweet Potato Slices, Vegetable Korma," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
9,300.0,70.0,250.0,150.0,350.0, Vegan Breakfast Burrito, Fresh Fruit Salad, Mixed Berry Smoothie, Lentil and vegetable soup," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
10,350.0,100.0,120.0,220.0,260.0, Cranberry Orange Muffins, Edamame, Vegan Energy Balls, Greek zucchini fritters (kolokithokeftedes)," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
