,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,70.0,40.0,20.0,390.0, Vegan Breakfast Quinoa Salad, Kale chips, Cucumber Roll-Ups, Moroccan Mint Tea, Lentil and Vegetable Pot Pie
2,300.0,60.0,90.0,100.0,550.0, Greek Yogurt with Berries and Granola, Cucumber and tomato salad, Peanut butter energy balls, Israeli salad, Spaghetti Carbonara
3,250.0,90.0,210.0,100.0,400.0, Vegan Breakfast Oats and Berries, Fruit Salad, Tomato and Mozzarella Bruschetta, Israeli salad," Chickpea and Vegetable Tagine - 400 calories per portion, 2 portions, may contain gluten"
4,150.0,90.0,150.0,20.0,300.0, Vegan Peanut Butter Banana Smoothie, Stuffed Dates, Greek Yogurt Parfait, Moroccan Mint Tea, Spicy Lentil and Potato Curry
5,250.0,80.0,160.0,100.0,400.0, Vegan Pancakes - 250 calories per portion | 2 portions | Contains gluten | Origin, Fruit Salad, Greek Yogurt with Honey and Nuts, Israeli salad," Beef Tostadas - 400 calories per portion, 4 portions, contains gluten (tortillas), Origin"
6,350.0,80.0,250.0,20.0,350.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips, Chicken Lettuce Cups, Moroccan Mint Tea," Thai Pineapple Fried Rice (350 calories/portion, 3 portions) - Thailand
"
7,300.0,70.0,290.0,20.0,300.0, Berry Quinoa Breakfast Bowl - 300 calories per portion | 1 portion | Contains nuts | Origin, Kale chips," Antipasto Skewers - 290 kcals per portion, 3 portions, contains dairy (Italy)", Moroccan Mint Tea, Sweet Potato and Black Bean Enchiladas
8,250.0,80.0,180.0,100.0,300.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Fresh Squeezed Orange Juice, Greek Olive Breadsticks, Israeli salad," Veggie stir-fried noodles - 300 calories per portion, 4 portions, contains gluten (China)
"
9,300.0,50.0,110.0,20.0,420.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Zucchini Fritters - 110 kcals per portion, 5 portions, contains gluten, dairy (Various)", Moroccan Mint Tea," Caprese Panini - 420kcals per portion, 2 portions, contains dairy (Italy)
"
10,380.0,80.0,90.0,20.0,450.0," Cabbage and sausage breakfast skillet (380 calories per portion, 2 portions, contains dairy, German origin)
"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Veggie Paella
11,500.0,80.0,160.0,20.0,450.0," Breakfast pizza - 500 calories per portion, 1 portion, contains gluten, origin", Stuffed Dates," Vegan Coconut Curry Rice Balls - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Chicken Enchiladas - 450 calories per portion, 4 portions, contains gluten (tortillas), Origin"
12,250.0,80.0,80.0,100.0,150.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Fresh Watermelon Slices - Approx, Fruit Salad, Israeli salad," Steamed Fish with Lemon Butter Sauce - 150 calories per portion, 4 portions, no allergic warnings, Origin"
13,200.0,80.0,230.0,20.0,350.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Avocado Deviled Eggs," Baba Ganoush with Pita Bread - 230 kcals per portion, 4 portions, contains gluten (Middle East)", Moroccan Mint Tea," Eggplant Parmesan - 350 calories per portion, 4 portions, contains gluten (breadcrumbs), Origin"
14,300.0,80.0,220.0,100.0,350.0, Vegan Breakfast Parfait, Fresh Squeezed Orange Juice," Chocolate Mousse - 220 kcals per portion, 2 portions, contains dairy (France)", Israeli salad, Mediterranean Couscous Stuffed Bell Peppers
15,350.0,80.0,240.0,20.0,350.0, Vegan Sweet Potato Hash Browns - 350 calories per portion | 1 portion | None | Origin, Stuffed Dates, Thai Vegetable Spring Rolls, Moroccan Mint Tea, Vegan Burritos
16,250.0,80.0,150.0,100.0,250.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin, Mango with Chili Powder, Mini spinach and feta quiches, Israeli salad, Thai Peanut Noodles
17,300.0,80.0,90.0,20.0,400.0, Vegan Smoothie Bowl, Stuffed Dates, Watermelon Feta Bites, Moroccan Mint Tea," Greek Vegan Dolmades (400 calories/portion, 2 portions) - Greece
"
18,350.0,90.0,200.0,20.0,380.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
", Turkish-style boiled eggs, Mediterranean Nachos, Moroccan Mint Tea, Vegan Bibimbap
19,250.0,90.0,250.0,100.0,350.0, Vegan Breakfast BLT Sandwich, Turkish-style boiled eggs, Quinoa Stuffed Bell Peppers, Israeli salad, Vegetable Paella
20,500.0,80.0,100.0,20.0,500.0, Cheddar and Herb Quiche, Fruit Salad," Roasted Garlic Hummus with Veggie Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Thai green curry with vegetables and jasmine rice (500 calories per portion, 3 portions, vegan-friendly, origin"
21,200.0,80.0,140.0,100.0,300.0, Avocado Toast, Fruit Salad, Bacon-Wrapped Asparagus, Israeli salad," Greek-style roasted vegetables with feta – 300 calories per portion, 4 portions, contains dairy (origin"
