,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,150.0,100.0,250.0," Lebanese manakish (flatbread) with za'atar and olive oil (350kcals per portion, 2 portions, origin", Cucumber and Tomato Salad, Steamed edamame, Israeli salad, Zucchini Noodles with Pesto
2,350.0,60.0,180.0,120.0,500.0," Jamaican cornmeal porridge with cinnamon and nutmeg (350kcals per portion, 2 portions, origin", Cucumber and tomato salad, Zucchini Pizza Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Chicken fajitas with peppers and onions (500 calories per portion, 2 portions, origin"
3,400.0,100.0,120.0,20.0,200.0, Breakfast Tacos with Avocado Salsa, Roasted Almonds," Black Bean Salsa with Tortilla Chips - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Buffalo Cauliflower Wings - 200 calories per portion, 4 portions, None, United States
"
4,220.0,100.0,180.0,120.0,300.0," Scrambled eggs with toast - 220 calories per portion, 2 portions, no allergic warnings, origin", Roasted Chickpeas," Vegan Pumpkin Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spicy Black Bean Burgers - 300 calories/portion, 4 portions, Origin"
5,200.0,60.0,90.0,20.0,400.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Fruit Salad - Approx," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Black Bean and Spinach Quesadillas - 400 calories/portion, 4 portions, Origin"
6,250.0,100.0,180.0,100.0,280.0, Vegan Banana Bread, Energy Balls - Approx," Quinoa Stuffed Bell Peppers - 180 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Greek Zucchini Patties - 280kcals per portion, 4 portions
"
7,150.0,100.0,180.0,120.0,350.0, Scrambled Tofu, Overnight Chia Pudding, Stuffed Jalapeno Poppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Honey Garlic Glazed Salmon - 350 calories per portion, 4 portions, no allergic warnings, Origin"
8,400.0,120.0,100.0,20.0,225.0, Breakfast Stuffed Peppers, Veggie Fritters, Baked Eggplant Chips, Moroccan Mint Tea, Vegan Stuffed Mushrooms
9,300.0,120.0,100.0,100.0,350.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Roasted Brussels Sprouts," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Chickpea Salad Sandwich - 350 calories per portion, 2 portions, may contain gluten"
10,300.0,120.0,90.0,100.0,300.0, Vegan Chocolate Chip Pancakes, Vegetable Samosas," Caprese Skewers - 90 kcals per portion, 6 portions, contains dairy (Italy)", Israeli salad, Lentil Bolognese
