,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,180.0,100.0,200.0,400.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Vegan Zucchini Bread," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Stir-Fry," Vegan Pesto Pizza - 400 calories per portion, 4 portions, Gluten, Italy
"
2,350.0,280.0,160.0,300.0,350.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Protein Pancakes, Roasted Chickpeas, Lentil Loaf," Chinese Vegan Sweet and Sour Tofu (350 calories/portion, 2 portions) - China
"
3,350.0,200.0,150.0,400.0,200.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Banana Muffins, Vegan Banana Bread, Veggie Biryani, Vegan Ratatouille Stuffed Portobello Mushroom
4,200.0,280.0,80.0,300.0,300.0, Vegan Breakfast Phyllo Cups, Vegan Chocolate Banana Protein Shake," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Sloppy Joes," Moroccan Vegan Chickpea Salad (300 calories/portion, 4 portions) - Morocco
"
5,250.0,350.0,90.0,400.0,400.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Breakfast Burrito," Bruschetta with Fresh Tomatoes and Basil - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Cuban Sandwich
Total calories per portion", Vegan Paella with Artichokes
6,250.0,180.0,360.0,350.0,240.0, Vegan Breakfast Shakshuka, Instant Pot Vegan Yogurt, Vegan Mushroom Soup, Mediterranean Wrap, Vegetable Fried Rice
7,350.0,200.0,280.0,400.0,300.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Vegan Yogurt Parfait, Vegan Greek Salad," Thai Coconut Curry Noodles
Total calories per portion"," Japanese Vegan Sushi Bowl (300 calories/portion, 3 portions) - Japan
"
8,200.0,400.0,150.0,350.0,350.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Acai Bowl," Vegan Zucchini Fritters with Vegan Sour Cream - 150 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Vegetable Stew," Chinese Vegan General Tso's Cauliflower (350 calories/portion, 3 portions) - China
"
9,250.0,80.0,160.0,350.0,300.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Stuffed Dates," Sweet Potato and Black Bean Quesadillas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Eggplant Rollatini, Vegan Kimchi Pancakes
10,300.0,300.0,110.0,250.0,250.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Healthy Veggie Nachos," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Salad," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
"
11,250.0,180.0,360.0,300.0,400.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegan Breakfast Quinoa, Vegan Turkish Delight, Vegan Korean Bibimbap," Lentil Bolognese - 400 calories per portion, 4 portions, Gluten, Italy
"
12,350.0,180.0,150.0,400.0,280.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin, Pita Bread with Baba Ganoush, Vegan Banana Bread, Lentil Curry, Roasted Cauliflower Tacos
13,250.0,250.0,400.0,300.0,400.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Protein Brownies, Zucchini Fritters, Lentil Bolognese, Vegan Tofu Katsu Curry
14,250.0,220.0,130.0,350.0,350.0, Vegan Breakfast Oats and Berries, Guacamole with Tortilla Chips," Veggie Sushi Rolls with Spicy Tofu - 130 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Vegetable Stew, Chickpea Salad Sandwich
15,350.0,180.0,240.0,300.0,300.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Baked Oatmeal Cups, Vegan Roasted Cauliflower Bites, Vegan Greek Moussaka, Vegetable Biryani
16,200.0,150.0,200.0,300.0,350.0, Vegan Breakfast Frittata, Vegan Protein Bites," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pita Pizza," Vegan Sushi Bowl - 350 calories per portion, 4 portions, Soy, Japan
"
