,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,120.0,180.0,250.0,350.0, Vegan Breakfast Sausage, Vegetable Samosas, Veggie Fritters," Greek Potato Salad - 250kcals per portion, 4 portions, no allergies, Origin"," Vegetable Bolognese - 350 calories/portion, 4 portions, contains gluten (Italy)
"
2,250.0,120.0,280.0,350.0,400.0, Vegan Breakfast Sushi Rolls, Raspberry Chia Seed Jam, Veggie Pita Pockets," Cauliflower Fried Rice - 350kcals per portion, 3 portions, no allergies
"," Veggie Sushi Bowl - 400 calories/portion, 2 portions, Origin"
3,250.0,100.0,220.0,310.0,200.0, Vegetable Scramble, Corn on the Cob, Indian Samosa Chaat," Quinoa-Stuffed Bell Peppers - 310kcals per portion, 2 portions, gluten-free
"," Lentil Soup - 200 calories/portion, 6 portions, Origin"
4,200.0,100.0,100.0,450.0,350.0, Vegetarian Quiche, Frozen Grapes, Tzatziki with Pita Bread, Vegetarian Sushi Bowl," Butternut squash and lentil curry - 350 calories per portion, 4 portions, contains nuts (India)
"
5,200.0,120.0,250.0,350.0,400.0, Quinoa Breakfast Burrito, Beetroot Hummus, Avocado Chocolate Mousse, Falafel Wrap, Spinach and Mushroom Pasta
6,250.0,80.0,80.0,220.0,400.0, Overnight Chia Oats, Fruit Salad, Stuffed Dates with Almond Butter, Greek stuffed tomatoes, Spicy Thai Noodle Soup
7,300.0,100.0,120.0,420.0,340.0, Cheesy Grits, Tomato Basil Bruschetta, Vegan Chia Seed Pudding," Veggie Lo Mein - 420kcals per portion, 2 portions, contains gluten, soy (China)
"," Spinach and Artichoke Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
8,250.0,120.0,80.0,300.0,350.0, Cheesy Spinach Pita Pocket, Almond Biscotti, Vegetable Soup," Greek Butterbean Soup - 300kcals per portion, 4 portions, no allergies, Origin"," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
9,250.0,120.0,150.0,550.0,250.0, Vegan Breakfast BLT Sandwich, Veggie Fritters, Tomato and Mozzarella Skewers, Veggie Gyro," Veggie Pho with Tofu - 250 calories/portion, 4 portions, Origin"
10,400.0,120.0,150.0,550.0,200.0, Vegetarian Breakfast Casserole, Almond Biscotti, Beetroot Hummus with Crackers, Portobello Mushroom Burger, Lentil Soup
11,250.0,80.0,220.0,350.0,350.0, Raspberry Chia Pudding, Baked Apple Chips, Roasted Red Pepper and Goat Cheese Crostini," Lentil Meatballs - 350kcals per portion, 2 portions, contains legumes
"," Sweet potato and black bean tacos - 350 calories per portion, 4 portions, contains gluten
"
12,350.0,100.0,80.0,650.0,350.0, Spinach and Goat Cheese Omelette, Rice Paper Spring Rolls, Avocado Deviled Eggs, Chickpea Curry," Lentil Curry - 350 calories/portion, 4 portions, Origin"
13,300.0,100.0,200.0,350.0,300.0, Mushroom and Tomato Omelette, Edamame, Veggie Sushi Burrito," Quinoa Black Bean Chili - 350kcals per portion, 2 portions, contains legumes
"," Mediterranean Stuffed Eggplant - 300 calories/portion, 2 portions, Origin"
14,400.0,90.0,120.0,350.0,350.0, Sourdough Biscuits and Mushroom Gravy, Fruit Salad, Cheese Stuffed Jalapenos," Roasted Vegetable Pasta - 350kcals per portion, 3 portions, no allergies, Origin"," Stuffed Bell Peppers with Quinoa and Corn - 350 calories/portion, 4 portions, Origin"
15,300.0,80.0,180.0,380.0,400.0, Classic Peanut Butter and Jelly, Cheesy Popcorn, Spinach and Feta Pinwheels," Eggplant Rollatini - 380kcals per portion, 3 portions, contains dairy, Origin"," Thai Green Curry with Vegetables - 400 calories/portion, 4 portions, contains garlic (Thailand)
"
16,200.0,120.0,190.0,300.0,350.0, Veggie Breakfast Fritters, Cottage Cheese with Sliced Tomato, Greek Yogurt with Honey and Nuts, Spinach and mushroom stuffed bell peppers," Caprese Pasta Salad - 350 calories/portion, 4 portions, contains gluten (Italy)
"
17,250.0,80.0,160.0,250.0,300.0, Stuffed French Toast, Apple with Cinnamon, Portobello Mushroom Pizza Bites, Vegetable bibimbap," Spinach and Feta Stuffed Phyllo Triangles - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
18,350.0,120.0,120.0,500.0,350.0, Broccoli and Cheese Frittata, Veggie Fritters, Cheese Stuffed Jalapenos, Ratatouille," Pasta Primavera - 350 calories/portion, 4 portions, Origin"
19,350.0,80.0,140.0,380.0,420.0, Quinoa Breakfast Bake, Mango with Chili Powder, Tomato Bruschetta," Spinach and Ricotta Stuffed Shells - 380kcals per portion, 3 portions, contains dairy, Origin"," Sweet Potato and Black Bean Enchiladas - 420kcals per portion, 4 portions, contains legumes (Mexico)
"
20,300.0,100.0,300.0,300.0,300.0, Shakarkandi ki Chaat (Sweet Potato Chaat), Guacamole Stuffed Cherry Tomatoes, Roasted Vegetable Wrap," Avocado Toast - 300kcals per portion, 2 portions, no allergies
"," Greek Zucchini Fritters - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
21,300.0,120.0,90.0,280.0,350.0, Vegan Protein Smoothie, Banana Smoothie, Watermelon Feta Bites," Lentil Salad with Roasted Vegetables - 280kcals per portion, 4 portions, no allergies
"," Mexican Quinoa Stuffed Zucchini - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
