,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,90.0,20.0,300.0," Smoked salmon and cream cheese bagel (400 calories per portion, 2 portions, contains fish, American origin)
", Roasted Almonds," Caprese Skewers - 90 kcals per portion, 6 portions, contains dairy (Italy)", Moroccan Mint Tea," Tuscan white bean and vegetable soup (300 calories per portion, 4 portions, vegan-friendly, origin"
2,400.0,90.0,300.0,20.0,300.0," Bangladeshi panta bhat (fermented rice) with fried hilsa fish - 400 calories per portion, 2 portions, contains gluten, origin", Stuffed Dates, Veggie Nachos, Moroccan Mint Tea, Vegan Kimchi Pancakes
3,250.0,100.0,250.0,20.0,200.0, Smoothie Bowl, Cucumber and Tomato Salad, Mini chicken quesadilla, Moroccan Mint Tea, Mediterranean Quinoa Bowl
4,350.0,100.0,200.0,20.0,300.0, Vegan Kale and Potato Frittata - 350 calories per portion | 1 portion | None | Origin, Toasted Coconut Chips, Chicken and vegetable lettuce wraps, Moroccan Mint Tea, Vegan Fajitas
5,350.0,100.0,150.0,20.0,250.0," Israeli shakshuka with eggplant and tahini (350kcals per portion, 2 portions, origin", Roasted Pumpkin Seeds, Beet and Goat Cheese Salad, Moroccan Mint Tea, Vegan Kung Pao Tofu
6,150.0,80.0,90.0,20.0,200.0, Chia Pudding, Fruit Salad," Cauliflower Buffalo Wings - 90 kcals per portion, 4 portions, contains gluten (USA)", Moroccan Mint Tea," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
7,400.0,90.0,200.0,20.0,250.0," Veggie-packed breakfast tacos with tofu scramble (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Rice Paper Rolls, Mini Bagel Pizzas, Moroccan Mint Tea," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
8,400.0,90.0,90.0,20.0,250.0, Vegan French Toast, Vegetarian Spring Rolls, Buffalo cauliflower dip with celery sticks, Moroccan Mint Tea, Tofu and Vegetable Kebabs
9,300.0,100.0,120.0,20.0,300.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Roasted Beetroot Chips, Tomato Mozzarella Skewers, Moroccan Mint Tea," Vegan Spaghetti with Marinara Sauce - 300 calories per portion, 2 portions, may contain gluten"
10,300.0,100.0,180.0,20.0,200.0, Mushroom and Tomato Omelette, Baked Apple Chips, Strawberry banana smoothie, Moroccan Mint Tea," Vegan Tomato Soup - 200 calories per portion, 4 portions, None, Various
"
11,380.0,70.0,150.0,20.0,280.0," Ricotta and cherry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Fresh Fruit Salad," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Moroccan Mint Tea," Lentil Curry - 280kcals per portion, 4 portions, contains legumes (India)
"
12,300.0,80.0,100.0,20.0,250.0, Acai Bowl, Fruit Salad, Baked Zucchini Chips, Moroccan Mint Tea," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

"
13,250.0,100.0,250.0,20.0,250.0," Shakarkandi ki chaat (Indian sweet potato salad) - 250 calories per portion, 2 portions, no allergic warnings, origin", Chilled Gazpacho Soup - Approx, Greek Yogurt Parfait, Moroccan Mint Tea, Tofu Stir-Fry
14,300.0,90.0,120.0,20.0,250.0, Vegan Berry Protein Smoothie Bowl, Quinoa Energy Bites, No-Bake Energy Bars, Moroccan Mint Tea, Ratatouille-Stuffed Tomatoes
15,300.0,100.0,230.0,20.0,300.0, Vegan Breakfast Tostadas," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin"," Smoked Salmon Canapés - 230 kcals per portion, 4 portions, contains gluten, fish (Various)", Moroccan Mint Tea," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
