,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,300.0,280.0,500.0,200.0, Vegan Breakfast Burrito, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos, Veggie Soba Noodle Stir-Fry," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
2,400.0,200.0,180.0,600.0,300.0, Veggie Sausage Breakfast Sandwich, Tofu Scramble with Veggies, Crispy Tofu Bites, Veggie Pho," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
3,400.0,200.0,180.0,450.0,250.0, Veggie Sausage Breakfast Sandwich, Tofu Scramble with Veggies, Crispy Tofu Bites, Vegetarian Sushi Bowl," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
4,400.0,200.0,100.0,750.0,200.0, Tofu Benedict, Tofu and Vegetable Stir-Fry, Edamame, Tofu Pad Thai," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
5,350.0,200.0,180.0,400.0,300.0, Vegan Breakfast Tacos, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
"," Chickpea and vegetable stir-fry - 300 calories per portion, 4 portions, contains soy (Middle East)
"
6,350.0,200.0,100.0,450.0,200.0, Vegan Breakfast Tacos, Tofu and Vegetable Stir-Fry, Edamame, Moroccan Couscous," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
7,200.0,300.0,280.0,350.0,300.0, Tofu Scramble, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos, Vegetable Stir-Fry," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
8,150.0,200.0,100.0,350.0,200.0, Scrambled Tofu, Tofu Scramble with Veggies, Edamame, Vegetable and Tofu Skewers," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
9,350.0,200.0,280.0,450.0,300.0, Vegan Breakfast Tacos, Tofu and Vegetable Stir-Fry, Vegan Nachos, Vegetarian Sushi Bowl," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
10,400.0,300.0,100.0,400.0,300.0, Veggie Sausage Breakfast Sandwich, Vegetable Potstickers with Soy Dipping Sauce, Edamame," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
"," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
11,350.0,200.0,180.0,250.0,300.0, Vegan Breakfast Burrito, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Veggie Sushi Rolls," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
12,400.0,200.0,280.0,350.0,150.0, Tofu Benedict, Tofu Scramble with Veggies, Vegan Nachos," Veggie Bibimbap - 350kcals per portion, 2 portions, contains soy (Korea)
"," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
13,400.0,200.0,100.0,750.0,150.0, Vegan Breakfast Hash, Tofu and Vegetable Stir-Fry, Edamame, Tofu Pad Thai," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
14,400.0,200.0,180.0,400.0,150.0, Veggie Sausage Breakfast Sandwich, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Vegetarian Spring Rolls," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
15,150.0,200.0,180.0,250.0,200.0, Scrambled Tofu, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Vegetarian sushi rolls," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
16,200.0,300.0,280.0,280.0,300.0, Veggie Breakfast Wrap with Tofu Scramble, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
17,200.0,200.0,280.0,450.0,300.0, Veggie Breakfast Wrap with Tofu Scramble, Tofu Scramble with Veggies, Vegan Nachos, Moroccan Couscous," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
18,350.0,200.0,280.0,250.0,200.0, Vegan Breakfast Tacos, Tofu Scramble with Veggies, Vegan Nachos, Vegetarian sushi rolls," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
19,150.0,200.0,100.0,250.0,150.0, Scrambled Tofu, Tofu and Vegetable Stir-Fry, Edamame, Veggie Sushi Rolls," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
20,200.0,200.0,280.0,250.0,200.0, Veggie Breakfast Wrap with Tofu Scramble, Tofu and Vegetable Stir-Fry, Vegan Nachos, Vegetarian sushi rolls," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
21,200.0,200.0,180.0,750.0,300.0, Tomato Basil Tofu Scramble, Tofu Scramble with Veggies, Crispy Tofu Bites, Tofu Pad Thai," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
22,150.0,300.0,100.0,450.0,250.0, Scrambled Tofu, Vegetable Potstickers with Soy Dipping Sauce, Edamame, Vegetarian Sushi Bowl," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
23,200.0,200.0,180.0,280.0,300.0, Tomato Basil Tofu Scramble, Tofu Scramble with Veggies, Crispy Tofu Bites," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
24,400.0,200.0,280.0,250.0,150.0, Vegan Breakfast Hash, Tofu and Vegetable Stir-Fry, Vegan Nachos, Vegetarian sushi rolls," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
25,200.0,300.0,280.0,600.0,200.0, Tomato Basil Tofu Scramble, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos, Veggie Pho," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
26,350.0,300.0,280.0,450.0,150.0, Vegan Breakfast Burrito, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos, Vegetarian Sushi Bowl," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
27,150.0,200.0,100.0,450.0,300.0, Scrambled Tofu, Tofu and Vegetable Stir-Fry, Edamame, Vegetarian Sushi Bowl," Chickpea and vegetable stir-fry - 300 calories per portion, 4 portions, contains soy (Middle East)
"
28,350.0,200.0,180.0,450.0,300.0, Vegan Breakfast Burrito, Tofu Scramble with Veggies, Crispy Tofu Bites, Moroccan Couscous," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
29,350.0,300.0,180.0,280.0,200.0, Vegan Breakfast Tacos, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
"," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
30,400.0,200.0,100.0,380.0,300.0, Veggie Sausage Breakfast Sandwich, Tofu and Vegetable Stir-Fry, Edamame," Veggie Bibimbap Bowl - 380kcals per portion, 2 portions, contains soy (Korea)
"," Chickpea and vegetable stir-fry - 300 calories per portion, 4 portions, contains soy (Middle East)
"
31,400.0,200.0,180.0,380.0,300.0, Tofu Benedict, Tofu Scramble with Veggies, Crispy Tofu Bites," Veggie Bibimbap Bowl - 380kcals per portion, 2 portions, contains soy (Korea)
"," Chickpea and vegetable stir-fry - 300 calories per portion, 4 portions, contains soy (Middle East)
"
32,350.0,200.0,280.0,600.0,150.0, Vegan Breakfast Burrito, Tofu and Vegetable Stir-Fry, Vegan Nachos, Veggie Pho," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
33,350.0,300.0,180.0,250.0,200.0, Vegan Breakfast Tacos, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites, Veggie Sushi Rolls," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
