,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast_time,morning snacks_time,afternoon snacks_time,lunch_time,dinner_time,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
0,100.0,0.0,0.0,200.0,250.0,8.488026434579002,,,13.741101576969038,19.385446608632797, Vegan Breakfast Steamed Buns,N/A,N/A, Quinoa Stuffed Mushrooms, Vegan Pizza,marka80f
1,300.0,0.0,0.0,300.0,180.0,7.944808999017839,,,13.081577834955139,20.286238374179046, Avocado Toast - 300 calories per portion | 1 portion | None | Origin,N/A,N/A, Zucchini Noodles with Pesto, Spinach and Mushroom Frittata,marka80f
2,100.0,0.0,0.0,350.0,200.0,7.800830582429347,,,11.526409639893064,20.634582103682135, Vegan Breakfast Rice Pudding,N/A,N/A, Tofu and Vegetable Kebabs," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
",marka80f
3,300.0,0.0,0.0,300.0,150.0,8.799430951919424,,,14.213694046860109,20.138109401312732, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin,N/A,N/A, Vegan Pesto Pasta, Cauliflower Fried Rice,marka80f
4,100.0,0.0,0.0,400.0,200.0,8.605907094112935,,,11.583661089091901,18.92170153222366, Vegan Breakfast Falafel,N/A,N/A, Chickpea and Mushroom Stir-Fry," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy",marka80f
5,50.0,0.0,0.0,400.0,200.0,7.288597058781467,,,12.456205880342603,19.97676566189447, Vegan Breakfast Energy Balls,N/A,N/A, Quinoa and Vegetable Stir-Fry, Ratatouille,marka80f
6,50.0,0.0,0.0,450.0,150.0,7.016982931871953,,,13.463349021974388,19.918546126142672, Vegan Breakfast Sushi Burrito,N/A,N/A," Vegan Mac and Cheese
Total calories per portion", Cauliflower Fried Rice,marka80f
7,250.0,0.0,0.0,350.0,200.0,8.746729638383796,,,14.895759208524808,20.697515175078205, Vegan Breakfast Quesadilla,N/A,N/A, Vegan Tacos with Avocado Salsa, Vegan Caprese Salad,marka80f
8,250.0,0.0,0.0,350.0,150.0,7.809010049843975,,,12.505712648910627,20.508103231644537, Vegan Blueberry Muffin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin,N/A,N/A, Quinoa and Black Bean Burrito Bowl," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten",marka80f
9,250.0,0.0,0.0,400.0,159.0,8.671609688642473,,,13.721219193188334,21.119993520479138, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin,N/A,N/A," Thai Green Curry with Mixed Vegetables
Total calories per portion", Quinoa Stuffed Mushrooms,marka80f
0,0.0,180.0,120.0,450.0,0.0,,9.178584680641425,15.464676044047547,13.606533364532677,,N/A, Vegan Zucchini Bread, Pumpkin Hummus with Carrot Sticks, Veggie Burger,N/A,josepha329
1,0.0,70.0,100.0,150.0,0.0,,9.775309245866865,15.839644048971623,11.607905918812541,,N/A, Fresh Fruit Salad," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and vegetable frittata,N/A,josepha329
2,0.0,80.0,200.0,150.0,0.0,,10.151060212303845,14.18322977689419,13.29975401727876,,N/A, Energy Balls, Olive Tapenade Crostini, Spinach and feta stuffed mushrooms,N/A,josepha329
3,0.0,80.0,120.0,250.0,0.0,,9.099056112775884,16.302048977307393,13.837192412492824,,N/A, Stuffed Dates, Cheese and Spinach Stuffed Mushrooms," Ratatouille - 250kcals per portion, 4 portions, no allergies, Origin",N/A,josepha329
4,0.0,70.0,200.0,400.0,0.0,,8.844782087287012,16.390154403856332,12.09466048558057,,N/A, Fresh Fruit Salad, Ratatouille, Vegan Chickpea Tikka Masala,N/A,josepha329
5,0.0,100.0,200.0,120.0,0.0,,9.232821262986972,15.553795037318677,13.710124833340018,,N/A, Energy Balls, Quinoa Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
",N/A,josepha329
6,0.0,70.0,90.0,120.0,0.0,,10.99636104936173,17.33270563543373,15.781249627276784,,N/A, Fresh Fruit Salad, Watermelon Feta Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
",N/A,josepha329
7,0.0,200.0,120.0,120.0,0.0,,10.132679018624243,17.03200948885953,12.422932819886759,,N/A, Mediterranean Quinoa Salad, Vegan Chia Seed Pudding," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
",N/A,josepha329
8,0.0,200.0,150.0,300.0,0.0,,8.603565022377568,15.564834633235273,12.42573757638695,,N/A, Vegan Energy Muffins, Bruschetta, Vegetable and lentil tacos,N/A,josepha329
9,0.0,80.0,150.0,150.0,0.0,,9.212356867662754,17.70140013361661,13.363118062861,,N/A, Kale Chips, Stuffed Jalapenos with Cream Cheese, Cabbage Stir-Fry,N/A,josepha329
0,0.0,0.0,60.0,20.0,160.0,,,16.936202179425543,12.979528081145702,19.339833757275013,N/A,N/A, Caprese Skewers, Moroccan Mint Tea," Vegan Tofu Scramble - 160 calories per portion, 1 portion, may contain soy",cynthia8112
1,0.0,0.0,230.0,20.0,200.0,,,16.376759212110535,11.134793407504674,19.734070326368172,N/A,N/A, Tomato and mozzarella bruschetta, Moroccan Mint Tea, Vegan Caprese Salad,cynthia8112
2,0.0,0.0,120.0,20.0,180.0,,,16.06660129685094,14.985432574262134,19.924348780898786,N/A,N/A, Ricotta Stuffed Cherry Tomatoes, Moroccan Mint Tea, Tofu Stir-Fry,cynthia8112
3,0.0,0.0,150.0,20.0,160.0,,,15.356221400327705,13.68025558078839,18.6036266945904,N/A,N/A, Mini cheese and vegetable calzones, Moroccan Mint Tea," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten",cynthia8112
4,0.0,0.0,140.0,250.0,120.0,,,18.408137391366214,10.594316024053189,21.687650662775404,N/A,N/A," Mexican Street Corn Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Moroccan Couscous, Cucumber and Tomato Salad,cynthia8112
5,0.0,0.0,200.0,20.0,150.0,,,15.812332260549447,12.20613771456543,18.68445536902401,N/A,N/A, Tomato and Avocado Bruschetta, Moroccan Mint Tea, Caprese Salad,cynthia8112
6,0.0,0.0,180.0,20.0,100.0,,,16.41819135151385,13.64766594682805,20.00809256525903,N/A,N/A, Mini Lemon Bars, Moroccan Mint Tea," Ratatouille - 100 calories per portion, 4 portions, none (France)
",cynthia8112
7,0.0,0.0,200.0,20.0,180.0,,,15.635671728140485,14.253039499350972,19.587086306602473,N/A,N/A, Zucchini and Feta Fritters, Moroccan Mint Tea, Mediterranean Salad,cynthia8112
8,0.0,0.0,180.0,20.0,120.0,,,16.962969130790547,14.940034392964371,21.355224412559405,N/A,N/A, Kale smoothie with pineapple and coconut water, Moroccan Mint Tea," Grilled vegetable skewers - 120 calories per portion, 4 portions, none
",cynthia8112
9,0.0,0.0,160.0,300.0,150.0,,,16.819801799728303,13.237388117727988,20.030930366674834,N/A,N/A, Avocado and Tomato Bruschetta, Greek Dolmades," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten",cynthia8112
0,0.0,70.0,0.0,400.0,200.0,,9.03636888141627,,12.158121934707054,19.908227521535068,N/A, Fresh Fruit Salad,N/A, Veggie Fried Rice, Lentil Spinach Soup,richard9c94
1,0.0,200.0,0.0,250.0,200.0,,9.80725788432503,,13.220629419576808,22.271057474784467,N/A, Almond Butter and Banana Toast,N/A," Quinoa and Roasted Vegetable Salad - 250kcals per portion, 2 portions, no allergies
", Quinoa Stuffed Mushrooms,richard9c94
2,0.0,150.0,0.0,200.0,250.0,,8.882107456797861,,13.806460800568965,19.32384399313711,N/A, Vegan Pumpkin Muffins,N/A, Greek dolmas (stuffed grape leaves)," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
",richard9c94
3,0.0,180.0,0.0,400.0,150.0,,11.149957568768563,,14.09500766963629,19.28791390142636,N/A, Vegan Scones,N/A, Chickpea Curry," Lentil Soup - 150 calories per portion, 6 portions, None, Various
",richard9c94
4,0.0,200.0,0.0,120.0,234.0,,12.045284580286083,,13.971770983753457,20.16390569236863,N/A, Blueberry Muffins,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Stuffed Cabbage Rolls,richard9c94
5,0.0,70.0,0.0,120.0,250.0,,11.048148600439566,,12.69192593908377,22.874576446952382,N/A, Fresh Fruit Salad,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean stuffed eggplant - 250 calories per portion, 4 portions, none
",richard9c94
6,0.0,80.0,0.0,550.0,150.0,,8.301540570195495,,10.916509930179433,20.414608868940313,N/A, Avocado Deviled Eggs,N/A," Korean Bibimbap
Total calories per portion", Butternut Squash Soup,richard9c94
7,0.0,90.0,0.0,250.0,180.0,,10.353902402252078,,11.569451308648745,20.214248408398262,N/A, Fruit Salad,N/A, Chickpea Salad Sandwich," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
",richard9c94
8,0.0,160.0,0.0,280.0,200.0,,11.120415846716236,,12.818609070416601,19.4217873901207,N/A, Zucchini Chips,N/A," Greek Stuffed Tomatoes - 280kcals per portion, 4 portions, no allergies, Origin"," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
",richard9c94
9,0.0,180.0,0.0,250.0,180.0,,10.83423744717862,,13.532714226147823,21.125660915975658,N/A, Vegan Date and Nut Bars,N/A, Vegetable and tofu pad Thai, Lentil Soup,richard9c94
0,150.0,250.0,120.0,250.0,119.0,7.390757221876189,8.926943147664277,18.00453322553174,13.342635702133053,19.330096980522747, Vegan Egg Muffins - 150 calories per portion | 2 portions | None | Origin, Vegan Chocolate Banana Bread, Cucumber Sandwiches, Lebanese fattoush salad, Vegan Gazpacho,kimb24a
1,150.0,200.0,100.0,400.0,300.0,7.417584502410871,10.681137232567213,15.733782119135006,11.560832530107815,20.22024392967273, Chia Pudding, Veggie Pancakes, Caprese Skewers, Grilled Vegetable Panini, Ratatouille Stuffed Portobello Mushrooms,kimb24a
2,100.0,120.0,180.0,150.0,120.0,8.509256489289028,9.681101120687318,16.844093543990237,12.79832523047533,19.95481329253061, Vegan Breakfast Rice Pudding, Bruschetta with Tomato and Basil, Veggie Stuffed Pita Bread, Spinach and cheese stuffed tomatoes, Cucumber and Tomato Salad,kimb24a
3,200.0,150.0,200.0,400.0,80.0,8.185095740208832,8.035324920814942,15.4257942841585,12.151367529383975,18.32456732036853, Raspberry Coconut Breakfast Bars, Veggie Sushi Rolls, Tomato and Avocado Bruschetta, Vegan Cajun Red Beans and Rice," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",kimb24a
4,150.0,250.0,80.0,350.0,150.0,5.399875125000671,9.693132866191565,18.92411202934476,13.556336749601703,21.453869768337636, Vegan Breakfast Fajitas, Greek Yogurt and Granola Parfait, Avocado Deviled Eggs," Lentil Curry with Coconut Milk
Total calories per portion", Lentil Soup with Kale,kimb24a
5,150.0,100.0,40.0,400.0,200.0,8.21904860497287,9.91877505654432,18.00967491228093,13.91841801198314,19.410874261723038, Vegan Breakfast Fruit Pizza, Roasted Pumpkin Seeds, Cucumber Roll-Ups, Thai Coconut Curry," Mediterranean Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin",kimb24a
6,50.0,120.0,120.0,320.0,80.0,8.289189404838945,11.587604273106429,14.912543377267918,12.892565367311756,18.86015457884754, Vegan Breakfast Smoothie, Toasted Coconut Chips, Greek Yogurt Fruit Dip," Spinach and Quinoa Salad - 320kcals per portion, 2 portions, gluten-free
"," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",kimb24a
7,150.0,150.0,100.0,350.0,100.0,9.854313996983542,9.929836660322922,16.112062622180492,13.746930686069883,20.034765944142563, Vegan Pancakes, Vegan Raspberry Thumbprint Cookies, Stuffed Mushrooms," Vegan Teriyaki Vegetable Stir-Fry
Total calories per portion"," Ratatouille - 100 calories per portion, 4 portions, none (France)
",kimb24a
8,150.0,150.0,90.0,120.0,160.0,7.253994815055686,9.501952389981877,16.821460874248917,11.03663655243091,19.170373829466854, Fruit Smoothie, Cinnamon Maple Roasted Chickpeas," Roasted Brussels Sprouts with Balsamic Glaze - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
",kimb24a
9,200.0,100.0,170.0,350.0,80.0,8.60748660487452,10.830744945478182,15.565306188173226,11.173200139797732,20.773508592349057, Blueberry Muffins, Caprese Skewers," Roasted Red Pepper Hummus with Pita Bread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Buddha Bowl with Tahini Dressing," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",kimb24a
