,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,600.0,130.0,140.0,150.0,350.0, Vegan Breakfast Tofu Bowl, Almond Butter Stuffed Dates," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup," Chinese Vegan Dan Dan Noodles (350 calories/portion, 2 portions) - China
"
2,350.0,150.0,130.0,150.0,400.0, Vegan Breakfast Sandwich - 350 calories per portion | 1 portion | Contains gluten | Origin, Pumpkin Spice Latte," Vegan Thai Spring Rolls - 130 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup," Vegan Lasagna - 400 calories per portion, 4 portions, Gluten, Italy
"
3,100.0,100.0,140.0,150.0,350.0, Vegan Breakfast Steamed Buns, Energy Balls," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup," Italian Vegan Eggplant Rollatini (350 calories/portion, 2 portions) - Italy
"
4,400.0,100.0,130.0,150.0,150.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Chilled Gazpacho," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls, Butternut Squash Soup
5,300.0,150.0,140.0,150.0,250.0, Vegan Cinnamon Rolls - 300 calories per portion | 1 portion | Contains gluten | Origin, Vegan Gingerbread Cookies," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup," Thai Vegan Green Papaya Salad (250 calories/portion, 4 portions) - Thailand
"
6,250.0,120.0,160.0,150.0,250.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Roasted Chickpeas," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille, Black Bean Quinoa Salad
7,250.0,150.0,620.0,150.0,200.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin, Homemade Vegan Trail Mix, Bean Burritos, Tomato Basil Soup," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
8,450.0,150.0,160.0,150.0,320.0, Vegan Breakfast Muffins, Baked Sweet Potato Fries," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls, Mediterranean Vegan Wrap
9,500.0,120.0,880.0,150.0,400.0, Vegan Breakfast Vegetable Stir-Fry, Toasted Coconut Chips, Vegan Red Lentil Curry, Cabbage Stir-Fry, Vegan Mushroom Risotto
10,250.0,150.0,180.0,150.0,400.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Chocolate Avocado Mousse," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup," Vegan Fettuccine Alfredo - 400 calories per portion, 4 portions, Gluten, Italy
"
11,450.0,100.0,560.0,150.0,300.0, Quinoa Breakfast Bowl, Chilled Gazpacho, Vegan Pancakes, Tom Yum Soup," Vegan Mushroom Stroganoff - 300 calories per portion, 2 portions, may contain gluten"
