,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,50.0,350.0,100.0,200.0, Aloo Tikki," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Sweet Potato and Black Bean Quesadilla, Israeli salad, Greek Salad
2,350.0,100.0,120.0,100.0,250.0, Vegan Bagel with Tofu Cream Cheese - 350 calories per portion | 1 portion | Contains gluten | Origin, Roasted Pumpkin Seeds, Peanut Butter Energy Balls, Israeli salad, Chickpea Buddha Bowl
3,300.0,80.0,100.0,20.0,200.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Fresh Squeezed Orange Juice," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Spanish Gazpacho
4,300.0,80.0,100.0,100.0,250.0, Banana Pancakes," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Miso Soup, Israeli salad," Vegan Sushi Rolls (250 calories/portion, 4 portions) - Japan
"
5,250.0,90.0,140.0,20.0,250.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegetarian Spring Rolls, Bacon-Wrapped Asparagus, Moroccan Mint Tea," Spicy Eggplant Curry - 250 calories per portion, 4 portions, None, India
"
6,200.0,100.0,170.0,100.0,220.0, Avocado Toast, Carrot Sticks with Ranch Dip," Roasted Red Pepper Hummus with Pita Bread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Quinoa and Vegetable Stir Fry
7,200.0,70.0,200.0,100.0,240.0, Blueberry Muffins, Kale chips, Greek Yogurt Parfait, Israeli salad," Greek Feta Spinach Pie - 240kcals per portion, 4 portions, contains dairy (Greece)
"
8,350.0,100.0,180.0,100.0,250.0, Chocolate Chip Muffins," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin"," Roasted Red Pepper and Feta Dip - 180 kcals per portion, 3 portions, contains dairy (Various)", Israeli salad," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
9,200.0,100.0,50.0,20.0,200.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Roasted Chickpeas, Fruit Salad, Moroccan Mint Tea, Vegan Bibimbap
10,350.0,100.0,100.0,100.0,150.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Rice Paper Spring Rolls," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Swiss Chard and Lentil Soup
11,300.0,100.0,250.0,20.0,250.0," Berry chia seed smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Caprese Skewers, Mini Chicken Tacos, Moroccan Mint Tea," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
12,300.0,80.0,280.0,100.0,200.0, Overnight Cherry Almond Oats, Hard-Boiled Eggs, Greek Spinach and Cheese Rolls, Israeli salad, Mexican Street Corn Salad
13,300.0,100.0,80.0,100.0,250.0, Vegan Blueberry Muffins - 300 calories per portion | 1 portion | Contains gluten | Origin, Stuffed Dates - Approx, Caprese Skewers with Balsamic Glaze, Israeli salad," Veggie Pho with Tofu - 250 calories/portion, 4 portions, Origin"
14,250.0,80.0,240.0,20.0,200.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Kale Chips," Grilled Halloumi Skewers - 240 kcals per portion, 2 portions, contains dairy (Cyprus)", Moroccan Mint Tea, Mexican Street Corn Salad
15,150.0,90.0,150.0,100.0,240.0, Vegan Breakfast Fruit Pizza, Turkish-style boiled eggs, Pita Bread with Baba Ganoush, Israeli salad," Greek Feta Spinach Pie - 240kcals per portion, 4 portions, contains dairy (Greece)
"
16,250.0,100.0,90.0,100.0,250.0, Muesli with Almond Milk, Fruit Smoothie Popsicles - Approx," Guacamole with Tortilla Chips - 90 kcals per portion, 4 portions, allergic warning (avocado), origin", Israeli salad," Veggie Egg Fried Rice - 250 calories/portion, 4 portions, Origin"
17,300.0,100.0,160.0,20.0,280.0," Cheese omelette - 300 calories per portion, 1 portion, no allergic warnings, origin", Roasted Edamame," Baked Falafel Bites - 160 kcals per portion, 5 portions, contains gluten (Middle East)", Moroccan Mint Tea, Vegan Quiche
18,300.0,70.0,80.0,20.0,220.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin", Kale chips, Mini spinach and mushroom quiche, Moroccan Mint Tea," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
19,320.0,100.0,90.0,20.0,200.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Fresh Fruit Salad, Bruschetta, Moroccan Mint Tea," Caprese Stuffed Avocado - 200 calories/portion, 4 portions, contains dairy (Italy)
"
20,250.0,80.0,90.0,20.0,280.0, Mexican Churro Waffles, Fruit Salad, Peanut butter energy balls, Moroccan Mint Tea," Baked falafel with tahini sauce – 280 calories per portion, 6 portions, vegetarian-friendly (origin"
21,300.0,100.0,150.0,100.0,250.0," Singaporean kaya toast - 300 calories per portion, 2 portions, contains gluten and dairy, origin", Zesty Lime Popcorn - Approx, Mango Salsa with Tortilla Chips, Israeli salad," Veggie Dumplings - 250 calories per portion, 4 portions, Gluten, Various

"
22,350.0,80.0,180.0,20.0,200.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Apple with Cinnamon," Chocolate Banana Bread - 180 kcals per portion, 6 portions, contains gluten (USA)", Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
23,350.0,80.0,90.0,20.0,200.0," Turkish borek (savory pastry) filled with cheese - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Fruit Salad," Guacamole with Tortilla Chips - 90 kcals per portion, 4 portions, allergic warning (avocado), origin", Moroccan Mint Tea, Lentil Soup
24,200.0,100.0,160.0,20.0,250.0, Congee, Corn on the Cob," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Moroccan Mint Tea," Mushroom and Spinach Quesadillas - 250 calories/portion, 4 portions, Origin"
25,350.0,100.0,180.0,20.0,182.0, Vegan Breakfast Polenta - 350 calories per portion | 1 portion | None | Origin, Edamame, Roasted Cauliflower Bites, Moroccan Mint Tea, Carrot and Ginger Soup
26,200.0,100.0,200.0,100.0,250.0, Spinach and Mushroom Breakfast Tacos," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin", Cheese and Crackers, Israeli salad, Greek Spanakopita
27,200.0,100.0,180.0,100.0,180.0, Oatmeal with Berries, Cucumber and Hummus Rolls, Lentil Salad, Israeli salad," Moroccan Lentil Soup - 180 calories per portion, 6 portions, no allergic warnings, Origin"
28,320.0,100.0,200.0,20.0,212.0," Ricotta and berry-stuffed crepes (320 calories per portion, 2 portions, contains dairy, French origin)
", Roasted Edamame, Cucumber Cups with Tuna Salad, Moroccan Mint Tea, Vegan Caesar Salad
29,250.0,80.0,210.0,100.0,250.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Greek Feta and Olive Tapenade Crostini, Israeli salad," Spinach and Artichoke Stuffed Portobello Mushrooms - 250 calories/portion, 4 portions, contains dairy (Italy)
"
30,350.0,100.0,150.0,20.0,200.0," Yogurt and granola parfait with mixed berries (350 calories per portion, 2 portions, contains dairy, American origin)
", Edamame, Veggie Sushi Rolls, Moroccan Mint Tea, Lentil and Vegetable Bolognese
31,350.0,100.0,150.0,20.0,200.0, Moroccan Shakshuka, Roasted Beetroot Chips, Pineapple and Coconut Energy Balls, Moroccan Mint Tea, Lentil Curry
32,200.0,60.0,200.0,100.0,200.0, Quinoa Veggie Breakfast Skillet, Fruit Salad - Approx, Mini Quinoa Stuffed Peppers, Israeli salad," Indian Vegetable Samosas - 200 calories/portion, 4 portions, contains gluten (India)
"
33,300.0,100.0,100.0,20.0,200.0, Banana Nut Smoothie Bowl, Chilled Gazpacho, Pita chips with tzatziki dip, Moroccan Mint Tea," Vegan Tomato Soup - 200 calories per portion, 4 portions, None, Various
"
34,300.0,60.0,170.0,20.0,150.0," Chocolate avocado smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Cucumber and tomato salad, Roasted Beetroot and Goat Cheese Crostini, Moroccan Mint Tea, Veggie Stir-Fry
