,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,180.0,200.0,120.0,200.0, Blueberry Almond Baked Oatmeal, Greek Salad, Veggie Sushi Burrito," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
2,150.0,220.0,200.0,120.0,200.0, Chia Pudding, Overnight Chia Pudding, Fruit Kabobs with Chocolate Sauce," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
3,200.0,250.0,180.0,120.0,200.0, Caprese Avocado Toast, Oatmeal Raisin Cookies, Homemade Veggie Pizza Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
4,200.0,80.0,220.0,120.0,180.0, Quinoa Breakfast Skillet, Hard-Boiled Eggs, Quinoa Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
5,200.0,180.0,150.0,120.0,200.0, Raspberry Coconut Breakfast Bars, Sweet Potato Hash Browns, Stuffed Jalapenos with Cream Cheese," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
6,200.0,170.0,150.0,120.0,220.0, Caprese Avocado Toast, Chia Seed Pudding, Roasted Brussels Sprouts," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
7,200.0,80.0,250.0,120.0,180.0, Banana Pancakes, Mango with Chili Powder, Greek Yogurt with Granola," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Ratatouille
8,200.0,250.0,240.0,120.0,200.0, Veggie Breakfast Fritters, Spinach and Feta Stuffed Mushrooms, Veggie Sushi Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
9,200.0,200.0,180.0,120.0,200.0, Veggie Breakfast Couscous, Baked Spinach and Cheese Dip, Avocado Cucumber Sushi Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Greek Salad
10,200.0,250.0,200.0,120.0,150.0, Vegan Pumpkin Pancakes, Veggie Samosas, Stuffed Eggplant," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Grilled Vegetable Skewers - 150 calories/portion, 4 portions, contains garlic (Various)
"
11,200.0,100.0,100.0,120.0,160.0, Mexican Black Bean Breakfast Wrap, Frozen Grapes, Cinnamon Sugar Popcorn," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
12,180.0,350.0,180.0,120.0,200.0, Overnight Chia Pudding, Homemade Veggie Pizza, Spinach and Feta Pastry Triangles," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
13,200.0,150.0,80.0,120.0,200.0, Raspberry Coconut Breakfast Bars, Chocolate Covered Strawberries, Greek Salad Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Baked Falafel - 200 calories/portion, 4 portions, Origin"
