,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
0,350.0,50.0,0.0,20.0,250.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips - Approx,N/A, Moroccan Mint Tea," Mexican Zucchini Boats - 250 calories/portion, 4 portions, contains cheese (Mexico)
",jeffreyafec
1,350.0,180.0,0.0,20.0,350.0," Pita bread with hummus and vegetables - 350 calories per portion, 2 portions, contains gluten, origin", Greek Salad,N/A, Moroccan Mint Tea," Lentil bolognese with spaghetti – 350 calories per portion, 4 portions, vegan-friendly (origin",jeffreyafec
2,200.0,150.0,0.0,150.0,420.0, Veggie Breakfast Couscous, Roasted Garlic Hummus,N/A, Veggie Spring Rolls," Spaghetti Aglio e Olio - 420kcals per portion, 2 portions, contains gluten (Italy)
",jeffreyafec
3,400.0,120.0,0.0,150.0,288.0," Huevos rancheros - 400 calories per portion, 2 portions, contains gluten, origin", Fruit Salsa with Cinnamon Chips,N/A," Vegetable Stir-Fry - 150kcals per portion, 3 portions", Chickpea and Vegetable Curry,jeffreyafec
4,400.0,50.0,0.0,100.0,180.0, Veggie Breakfast Pizza, Baked Apple Chips - Approx,N/A, Israeli salad," Moroccan Lentil Soup - 180 calories per portion, 6 portions, no allergic warnings, Origin",jeffreyafec
5,150.0,70.0,0.0,150.0,200.0, Vegan Breakfast Fajitas, Fresh Fruit Salad,N/A, Butternut squash soup," Caprese Stuffed Avocado - 200 calories/portion, 4 portions, contains dairy (Italy)
",jeffreyafec
6,250.0,150.0,0.0,20.0,300.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Spinach and ricotta puff pastry swirls,N/A, Moroccan Mint Tea, Chickpea Tikka Masala,jeffreyafec
7,350.0,200.0,0.0,20.0,200.0, Coconut Chia Pudding, Caprese Salad Skewers,N/A, Moroccan Mint Tea," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
",jeffreyafec
8,300.0,250.0,0.0,20.0,200.0, Avocado Toast - 300 calories per portion | 1 portion | None | Origin, Smoothie Bowl,N/A, Moroccan Mint Tea," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin",jeffreyafec
9,400.0,60.0,0.0,20.0,250.0, Smashed Avocado and Egg Toast, Cucumber and tomato salad,N/A, Moroccan Mint Tea," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
",jeffreyafec
0,200.0,200.0,80.0,350.0,159.0, Spinach and Feta Stuffed Portobello Mushrooms, Avocado toast," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)", Avocado and black bean quesadillas, Quinoa Stuffed Mushrooms,kathryn9c75
1,200.0,200.0,180.0,20.0,180.0," Greek yogurt with honey and walnuts (200 calories per portion, 2 portions, contains dairy and nuts, Greek origin)
", Baked Coconut Shrimp - Approx, Chocolate Peanut Butter Protein Balls, Moroccan Mint Tea," Moroccan Lentil Soup - 180 calories per portion, 6 portions, no allergic warnings, Origin",kathryn9c75
2,250.0,50.0,120.0,20.0,150.0, Vegan Banana Muffins," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Oven-Baked Sweet Potato Fries, Moroccan Mint Tea, Chickpea Salad,kathryn9c75
3,250.0,50.0,120.0,20.0,250.0," Peach and almond smoothie - 250 calories per portion, 1 portion, may contain nuts, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Spinach and Feta Pinwheels, Moroccan Mint Tea," Thai Vegan Green Papaya Salad (250 calories/portion, 4 portions) - Thailand
",kathryn9c75
4,50.0,150.0,140.0,380.0,250.0, Vegan Breakfast Stuffed Tomatoes, Vegetable Smoothie, Tomato Bruschetta," Spinach and Mushroom Lasagna Rolls - 380kcals per portion, 3 portions, contains dairy
"," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin",kathryn9c75
5,200.0,300.0,200.0,20.0,150.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Stuffed Tomatoes with Quinoa and Feta, Bacon-Wrapped Dates with Goat Cheese, Moroccan Mint Tea, Swiss Chard and Lentil Soup,kathryn9c75
6,200.0,300.0,180.0,20.0,150.0, Apple Cinnamon Porridge," Turkish Pide (Flatbread) with Feta and Spinach - 300kcals per portion, 1 portion
    Origin", Mini mushroom and spinach quiches, Moroccan Mint Tea, Caprese Salad,kathryn9c75
7,160.0,100.0,120.0,20.0,300.0," Scrambled eggs with spinach and feta (160 calories per portion, 2 portions, contains dairy, Greek origin)
", Cucumber and Tomato Salad, Tomato and Mozzarella Skewers, Moroccan Mint Tea," Mexican Vegan Tortilla Soup (300 calories/portion, 4 portions) - Mexico
",kathryn9c75
8,150.0,250.0,100.0,20.0,200.0, Fruit Smoothie, Veggie Omelette, Pita chips with tzatziki dip, Moroccan Mint Tea," Vegan Thai Yellow Curry - 200 calories per portion, 2 portions, may contain tofu",kathryn9c75
9,250.0,220.0,120.0,20.0,200.0, Vegan Breakfast Oats and Berries, Tofu Scramble, Guacamole and Veggie Sticks, Moroccan Mint Tea," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy",kathryn9c75
0,0.0,70.0,0.0,20.0,200.0,N/A, Fresh Fruit Salad,N/A, Moroccan Mint Tea," Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin",john897a
1,0.0,100.0,0.0,300.0,180.0,N/A, Guacamole Stuffed Cherry Tomatoes,N/A, Ratatouille," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
",john897a
2,0.0,160.0,0.0,20.0,250.0,N/A, Apple Slices with Almond Butter,N/A, Moroccan Mint Tea," Moroccan Chickpea Pancakes (250 calories/portion, 4 portions) - Morocco
",john897a
3,0.0,150.0,0.0,350.0,220.0,N/A, Baked Sweet Potato Fries,N/A, Vegan Quiche, Spicy Black Bean Soup,john897a
4,0.0,80.0,0.0,20.0,200.0,N/A, Apple with Cinnamon,N/A, Moroccan Mint Tea," Quinoa Salad - 200 calories per portion, 2 portions, may contain nuts",john897a
5,0.0,50.0,0.0,20.0,200.0,N/A, Baked Apple Chips - Approx,N/A, Moroccan Mint Tea," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy",john897a
6,0.0,200.0,0.0,400.0,180.0,N/A, Homemade Peanut Butter,N/A, Thai Massaman Curry," Greek salad - 180 calories per portion, 4 portions, contains dairy (Greece)
",john897a
7,0.0,200.0,0.0,20.0,159.0,N/A," Mini Caprese Sandwiches - 200kcals per portion, 1 portion
    Origin",N/A, Moroccan Mint Tea, Quinoa Stuffed Mushrooms,john897a
8,0.0,180.0,0.0,20.0,100.0,N/A, Baked Oatmeal Cups,N/A, Moroccan Mint Tea," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
",john897a
9,0.0,280.0,0.0,20.0,100.0,N/A, Greek yogurt with mango and coconut flakes,N/A, Moroccan Mint Tea," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
",john897a
0,0.0,0.0,220.0,20.0,250.0,N/A,N/A," Baba Ghanoush Stuffed Pita Pockets - 220 kcals per portion, 3 portions, contains gluten (Middle East)", Moroccan Mint Tea," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
",harryb0b8
1,0.0,0.0,150.0,20.0,250.0,N/A,N/A, Cucumber and Cream Cheese Sandwiches, Moroccan Mint Tea, Cauliflower Buffalo Wings,harryb0b8
2,0.0,0.0,200.0,20.0,300.0,N/A,N/A, Cheese and Crackers, Moroccan Mint Tea," Lentil Bolognese - 300 calories/portion, 4 portions, Origin",harryb0b8
3,0.0,0.0,140.0,120.0,200.0,N/A,N/A, Cheese Stuffed Jalapenos," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin",harryb0b8
4,0.0,0.0,250.0,120.0,250.0,N/A,N/A, Greek Spanakopita Triangles," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
",harryb0b8
5,0.0,0.0,130.0,20.0,300.0,N/A,N/A," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Spinach and Mushroom Stuffed Shells - 300 calories per portion, 2 portions, may contain gluten",harryb0b8
6,0.0,0.0,160.0,20.0,300.0,N/A,N/A, Zucchini Fritters, Moroccan Mint Tea, Lentil and Vegetable Soup,harryb0b8
7,0.0,0.0,250.0,20.0,350.0,N/A,N/A, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea," Vegan Sushi Bowl - 350 calories per portion, 4 portions, Soy, Japan
",harryb0b8
8,0.0,0.0,180.0,20.0,200.0,N/A,N/A, Chicken Salad Lettuce Wraps, Moroccan Mint Tea, Vegan Caprese Salad,harryb0b8
9,0.0,0.0,80.0,20.0,240.0,N/A,N/A, Energy Balls, Moroccan Mint Tea, Vegan Lentil Soup,harryb0b8
0,300.0,0.0,0.0,250.0,250.0, Tofu Scramble Breakfast Burrito,N/A,N/A, Greek salad," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin",christopher899d
1,250.0,0.0,0.0,300.0,350.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin,N/A,N/A, Chickpea and vegetable tagine," Quinoa-Stuffed Bell Peppers - 350 calories/portion, 4 portions, contains nuts (Various)
",christopher899d
2,250.0,0.0,0.0,950.0,150.0, Raspberry Chia Jam Toast,N/A,N/A, Sweet Potato and Black Bean Chili," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
",christopher899d
3,250.0,0.0,0.0,180.0,150.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin,N/A,N/A," Spinach and Feta Stuffed Portobello Mushrooms - 180kcals per portion, 2 portions, contains dairy
", Lentil Soup with Kale,christopher899d
4,350.0,0.0,0.0,150.0,220.0, Vegan Breakfast Stuffed Peppers,N/A,N/A, Veggie Spring Rolls, Spicy Black Bean Soup,christopher899d
5,200.0,0.0,0.0,200.0,250.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin,N/A,N/A, Greek falafel," Greek Vegan Gigantes (250 calories/portion, 4 portions) - Greece
",christopher899d
6,300.0,0.0,0.0,120.0,300.0, Quinoa Breakfast Bowl,N/A,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Mediterranean Stuffed Eggplant,christopher899d
