,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,280.0,50.0,180.0,160.0,250.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Tuna Salad Lettuce Wraps," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Mushroom Risotto
2,300.0,50.0,160.0,150.0,350.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Vegan Broccoli and Cheese Bites - 160 kcals per portion, 4 portions, no allergic warnings, origin", Spanish Gazpacho, Tofu Tikka Masala
3,350.0,50.0,250.0,150.0,300.0, Veggie Breakfast Quinoa," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Guacamole with Tortilla Chips," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Quinoa and Black Bean Salad
4,350.0,50.0,100.0,150.0,400.0," Moroccan baghrir (semolina pancakes) with honey and melted butter (350kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Asian cucumber salad, Veggie Spring Rolls," Mexican Vegan Enchiladas (400 calories/portion, 3 portions) - Mexico
"
5,350.0,50.0,180.0,150.0,240.0," Turkish simit (sesame bread rings) with cheese - 350 calories per portion, 1 portion, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Baked Teriyaki Tofu Skewers, Lentil and Vegetable Soup," Greek Feta Spinach Pie - 240kcals per portion, 4 portions, contains dairy (Greece)
"
6,320.0,60.0,90.0,150.0,290.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
", Fruit Salad - Approx, Buffalo cauliflower dip with celery sticks," Greek Salad - 150kcals per portion, 2 portions"," Spinach and Feta Stuffed Mushrooms - 290kcals per portion, 4 portions, contains dairy
"
7,450.0,60.0,250.0,150.0,350.0," Mexican chilaquiles - 450 calories per portion, 2 portions, may contain gluten, origin", Cucumber and tomato salad, Chicken and vegetable lettuce wraps," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Chickpea and Spinach Stew
8,200.0,60.0,200.0,150.0,250.0," Oatmeal with berries - 200 calories per portion, 2 portions, no allergic warnings, origin", Cucumber and tomato salad, Mini Chicken and Vegetable Pies, Gazpacho Soup," Greek Vegan Revithokeftedes (250 calories/portion, 4 portions) - Greece

Please note that the calorie counts are approximate and may vary based on specific ingredient choices and preparation methods"
9,250.0,50.0,180.0,150.0,120.0, Vegan Breakfast Sushi," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Granola Bars," Potato Latkes - 150 calories
   - Total portions"," Grilled vegetable skewers - 120 calories per portion, 4 portions, none
"
10,400.0,50.0,280.0,150.0,300.0," Lebanese fatteh (pita chips soaked in yogurt and topped with nuts) - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Sweet Potato and Black Bean Quesadillas, Caprese Salad, Vegan Chickpea Curry
11,250.0,50.0,180.0,150.0,380.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Baked Apple Chips - Approx, Veggie Pancakes with Yogurt Dip, Butternut squash soup," Quinoa Salad with Avocado and Black Beans - 380kcals per portion, 4 portions, contains legumes
"
12,500.0,50.0,260.0,150.0,400.0, Israeli Breakfast Salad, Baked Apple Chips - Approx, Greek Feta and Spinach Patties, Veggie Spring Rolls," Mushroom and truffle risotto - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
13,250.0,60.0,100.0,20.0,250.0, Vegan Breakfast Sushi Rolls, Fruit Salad - Approx, Hummus with Veggies, Moroccan Mint Tea, Black Bean Quinoa Salad
14,300.0,50.0,120.0,150.0,350.0, Greek Yogurt with Honey and Pistachios," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Watermelon and feta skewers, Lentil Soup, Falafel Wrap
15,350.0,50.0,180.0,165.0,250.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Beetroot and Feta Cheese Salad," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
16,300.0,50.0,150.0,150.0,350.0, Overnight Apple Pie Chia Pudding, Baked Apple Chips - Approx, Ricotta Stuffed Mushrooms, Thai Tom Yum Soup, Sweet and Sour Shrimp
17,450.0,50.0,180.0,150.0,350.0," Spanish tortilla de patatas (potato omelet) with aioli (450kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Fruit skewers with yogurt dip," Lentil Soup - 150kcals per portion, 6 portions"," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
