,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,100.0,200.0,20.0,450.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit salad," Smoothie bowl (banana, spinach, almond milk, toppings)", Moroccan Mint Tea, Greek Style Baked Chicken
2,250.0,100.0,200.0,20.0,400.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
"," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Roasted red pepper hummus with pita chips, Moroccan Mint Tea," Vegetarian stuffed bell peppers with quinoa and black beans (400 calories per portion, 4 portions, vegan-friendly, origin"
3,500.0,50.0,150.0,20.0,350.0, Cheddar and Herb Quiche," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mango salsa with tortilla chips, Moroccan Mint Tea, Sweet and Sour Shrimp
4,400.0,60.0,180.0,20.0,400.0," Indian dosa with coconut chutney - 400 calories per portion, 2 portions, contains gluten, origin", Fruit Salad - Approx, Greek Stuffed Grape Leaves (Dolmas), Moroccan Mint Tea," Vegetarian pad Thai with tofu and vegetables (400 calories per portion, 3 portions, contains soy, origin"
5,350.0,100.0,180.0,20.0,400.0," Turkish borek with feta and spinach (350kcals per portion, 2 portions, origin", Cucumber Rolls with Hummus - Approx, Veggie Sushi Rolls, Moroccan Mint Tea, Beef and Broccoli Stir-Fry
6,550.0,100.0,250.0,20.0,400.0, Smoked Salmon Bagel Sandwich, Fresh Juice - Approx, Vegetable Samosas, Moroccan Mint Tea, Beef and Snow Pea Stir Fry
7,400.0,100.0,60.0,20.0,400.0," Chicken sausage and vegetable stir-fry (400kcals per portion, 2 portions, origin"," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Cucumber and cream cheese bites, Moroccan Mint Tea, Moroccan Couscous with Roasted Vegetables
8,300.0,100.0,180.0,20.0,300.0, Egg White Omelette with Veggies, Fruit salad, Antipasto Skewers, Moroccan Mint Tea, Lentil and Vegetable Soup
9,450.0,60.0,180.0,20.0,400.0, Sausage and Egg Breakfast Sandwich, Fruit Salad - Approx, Quinoa Salad with Chickpeas, Moroccan Mint Tea, Spaghetti Aglio e Olio
10,400.0,80.0,250.0,20.0,300.0," Turkish acma (soft bread rings) with feta cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Fresh Watermelon Slices - Approx, Mini chicken quesadilla, Moroccan Mint Tea, Black Bean and Corn Salad
11,450.0,100.0,220.0,20.0,400.0," Nigerian moi moi (steamed bean pudding) with fish (450kcals per portion, 2 portions, origin"," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Sweet Chili Lime Chicken Skewers, Moroccan Mint Tea, Chickpea Curry with Naan Bread
12,500.0,100.0,150.0,20.0,250.0," Breakfast burrito with scrambled eggs and avocado (500kcals per portion, 2 portions, origin", Watermelon and feta skewers, Fried Plantain, Moroccan Mint Tea, Bulgur Salad
13,400.0,60.0,250.0,20.0,400.0, Shakshuka with Halloumi Cheese, Fruit Salad - Approx, Mini Buffalo Chicken Wraps, Moroccan Mint Tea," Moroccan chickpea stew with couscous (400 calories per portion, 3 portions, vegan-friendly, origin"
14,450.0,100.0,90.0,20.0,400.0," Egyptian hawawshi (meat-stuffed pita) with ground beef and spices (450kcals per portion, 2 portions, origin", Energy Balls - Approx, Raspberry almond thumbprint cookies, Moroccan Mint Tea, Thai Green Papaya Salad
15,400.0,100.0,250.0,20.0,350.0," Jamaican ackee and saltfish with fried plantains (400kcals per portion, 2 portions, origin"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Mini Spinach and Ricotta Calzones, Moroccan Mint Tea, Thai Coconut Curry with Shrimp
16,350.0,60.0,250.0,20.0,350.0," Sourdough toast with nut butter and banana - 350 calories per portion, 1 portion, contains gluten and nuts, origin", Cucumber and tomato salad, Mini chicken pot pies, Moroccan Mint Tea, Spinach and Mushroom Omelette
