,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,350.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
2,150.0,250.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
3,150.0,150.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
4,150.0,350.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
5,150.0,400.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
6,150.0,150.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
7,150.0,350.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
8,150.0,250.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
9,150.0,700.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
10,150.0,150.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
