,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,150.0,20.0,200.0, Whole Wheat Veggie Breakfast Wrap, Cucumber Sandwiches, Mango Salsa with Tortilla Chips, Moroccan Mint Tea," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
2,250.0,100.0,300.0,20.0,200.0, Raspberry Chia Jam Toast," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Baked Buffalo Chicken Wings, Moroccan Mint Tea, Mediterranean Quinoa Bowl
3,250.0,100.0,130.0,20.0,250.0, Vegan Banana Muffins," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin"," Vegan Thai Spring Rolls - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Chickpea Buddha Bowl
4,220.0,80.0,120.0,20.0,200.0," Scrambled eggs with toast - 220 calories per portion, 2 portions, no allergic warnings, origin", Stuffed Dates, Caprese stuffed mushrooms, Moroccan Mint Tea," Mexican Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains gluten (Mexico)
"
5,200.0,100.0,180.0,20.0,180.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Caprese Skewers," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Ratatouille - 180kcals per portion, 4 portions, vegan (France)
"
6,260.0,100.0,300.0,20.0,250.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Roasted Pumpkin Seeds, Cheese and Crackers, Moroccan Mint Tea, Vegan Swedish Meatballs
7,150.0,100.0,360.0,20.0,200.0, Vegan Egg Muffins - 150 calories per portion | 2 portions | None | Origin, Greek Salad Skewers, Vegetable Tempura, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
8,250.0,100.0,350.0,20.0,150.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Cucumber and Tomato Salad, Avocado and black bean quesadilla, Moroccan Mint Tea, Caprese Salad
9,250.0,80.0,180.0,20.0,200.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
", Hard-Boiled Eggs, Mini spinach and cheese turnovers, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
10,250.0,100.0,180.0,20.0,245.0, Egg and Cheese Breakfast Taco, Kiwi and Strawberry Smoothie, Mini vegetable quinoa bites, Moroccan Mint Tea, Tofu Stir Fry
