,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,50.0,100.0,300.0,20.0,200.0, Vegan Breakfast Energy Balls, Frozen Grapes, Chicken Satay with Peanut Sauce, Moroccan Mint Tea," Italian Vegan Garlic Bread (200 calories/portion, 2 portions) - Italy
"
2,400.0,90.0,210.0,20.0,300.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Rice Paper Rolls, Tomato and Mozzarella Bruschetta, Moroccan Mint Tea," Italian Vegan Pizza (300 calories/portion, 2 portions) - Italy
"
3,250.0,120.0,140.0,20.0,350.0," Smoothie bowl - 250 calories per portion, 1 portion, may contain nuts, origin", Cinnamon Sugar Pretzels," Mexican Street Corn Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Sweet Potato Curry - 350 calories/portion, 4 portions, Origin"
4,300.0,120.0,120.0,20.0,250.0, Banana Nut Smoothie Bowl, Kale Chips, Greek Yogurt with Berries, Moroccan Mint Tea, Lentil Loaf
5,350.0,100.0,80.0,20.0,300.0, Banana Walnut Bread, Tomato Basil Bruschetta, Vegetable Soup, Moroccan Mint Tea, Vegan Moroccan Tagine
6,400.0,100.0,110.0,20.0,350.0," Veggie-packed breakfast tacos with tofu scramble (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Chilled Gazpacho," Sweet Potato Rounds - 110 kcals per portion, 4 portions, gluten-free (USA)", Moroccan Mint Tea, Vegan Ramen
7,350.0,100.0,240.0,20.0,350.0, Vegan Breakfast Banana Bread, Chilled Gazpacho Soup - Approx, Vegan Roasted Cauliflower Bites, Moroccan Mint Tea," Lemon Asparagus Pasta - 350 calories/portion, 2 portions, Origin"
8,350.0,100.0,200.0,20.0,220.0, Breakfast Sushi, Carrot Sticks with Ranch Dip, Spinach and artichoke dip with tortilla chips, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
9,300.0,100.0,140.0,20.0,300.0," Scottish porridge with honey and berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Carrot Sticks with Ranch Dip," Mini Vegetable Quinoa Cups - 140 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Mediterranean Pasta Salad - 300 calories/portion, 4 portions, Origin"
10,350.0,120.0,160.0,20.0,318.0," South African melktert (milk tart) with cinnamon (350kcals per portion, 2 portions, origin", Hummus with Veggies, Quinoa Stuffed Tomatoes, Moroccan Mint Tea, Lentil and Mushroom Burgers
11,300.0,120.0,200.0,20.0,350.0, Acai Bowl, Cucumber and hummus rolls, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea, Vegetarian Sushi Rolls
12,400.0,120.0,120.0,20.0,350.0, Vegan Breakfast Burrito Bowl - 400 calories per portion | 1 portion | None | Origin, Beetroot Hummus, Greek Yogurt with Berries, Moroccan Mint Tea," Lentil Curry - 350 calories/portion, 4 portions, Origin"
13,300.0,100.0,150.0,20.0,300.0, Vegan Blueberry Muffins, Cucumber Sandwich, Veggie Kabobs, Moroccan Mint Tea," Vegan Italian Wedding Soup - 300 calories per portion, 4 portions, Gluten, Italy
"
14,450.0,100.0,70.0,20.0,250.0," Quiche Lorraine - 450 calories per portion, 4 portions, contains gluten and dairy, origin", Boiled chickpeas, Stuffed Cherry Tomatoes, Moroccan Mint Tea," Baked Cod with Lemon and Garlic - 250 calories per portion, 4 portions, no allergic warnings, Origin"
15,200.0,80.0,250.0,20.0,400.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Apple with Cinnamon," Cheese Puffs - 250 kcals per portion, 2 portions, contains gluten, dairy (France)", Moroccan Mint Tea," Vegan Greek Orzo Salad - 400 calories per portion, 2 portions, may contain gluten"
16,150.0,100.0,100.0,20.0,150.0, Fruit Salad, Baked Apple Chips, Guacamole Deviled Eggs, Moroccan Mint Tea, Lentil Soup
17,250.0,100.0,170.0,20.0,317.0," Chia seed pudding with coconut milk (250 calories per portion, 2 portions, nut-free, American origin)
", Corn on the Cob," Egg Salad Lettuce Wraps - 170 kcals per portion, 3 portions, contains egg (USA)", Moroccan Mint Tea, Quinoa Stuffed Bell Peppers
18,400.0,120.0,150.0,20.0,380.0, Mushroom Breakfast Burrito, Roasted Brussels Sprouts, Caprese skewers, Moroccan Mint Tea," Spinach and Ricotta Stuffed Shells - 380kcals per portion, 4 portions, contains dairy (Italy)
"
19,350.0,80.0,160.0,20.0,250.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
", Stuffed Dates," Vegan Pesto Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegetable Stir Fry - 250 calories/portion, 4 portions, Origin"
20,400.0,100.0,200.0,20.0,150.0, Spinach and Feta Quiche, Vegetable Crudité with Hummus, Bruschetta with tomato and basil, Moroccan Mint Tea, Minestrone Soup
21,200.0,100.0,140.0,20.0,250.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin, Roasted Pumpkin Seeds," Vegan Cinnamon Sugar Donuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
22,300.0,90.0,250.0,20.0,250.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Quinoa Energy Bites, Baked salmon cakes, Moroccan Mint Tea," Vegetable Curry Puffs - 250 calories/portion, 4 portions, contains gluten (Various)
"
23,350.0,80.0,150.0,20.0,400.0," Spanish tortilla with potato and onion (350kcals per portion, 2 portions, origin", Cheesy Popcorn, Roasted Chickpeas, Moroccan Mint Tea, Chicken and Rice Soup
24,350.0,120.0,240.0,20.0,300.0, Baked Eggs in Avocado, Greek Stuffed Grape Leaves," Matzah with Cream Cheese - 240 kcals per portion, 3 portions, contains dairy (Jewish)", Moroccan Mint Tea, Vegan Sloppy Joes
25,200.0,100.0,160.0,20.0,300.0, Congee, Rice Paper Spring Rolls, Spinach and Artichoke Dip, Moroccan Mint Tea, Veggie Enchiladas
26,250.0,80.0,160.0,20.0,300.0, Veggie Omelette, Stuffed Dates, Stuffed Jalapeno Poppers, Moroccan Mint Tea, Teriyaki Tofu Bowl
27,250.0,60.0,100.0,20.0,350.0, Cheesy Spinach Pita Pocket, Cucumber and tomato salad," Stuffed Mini Peppers with Vegan Cream Cheese - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Ratatouille with couscous - 350 kcals per portion, 4 portions, vegetarian, contains gluten
"
28,350.0,100.0,140.0,20.0,350.0," Italian ciambella (simple breakfast cake) with coffee (350kcals per portion, 2 portions, origin"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin"," Roasted Chickpeas - 140 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea, Tofu Tikka Masala
29,450.0,100.0,120.0,20.0,250.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin", Carrot Sticks with Ranch Dip, Frozen yogurt bark with berries, Moroccan Mint Tea, Greek Lemon Potatoes
30,250.0,100.0,150.0,20.0,380.0, Egg and Cheese Breakfast Taco, Cucumber and Tomato Salad, Sweet Potato and Chickpea Patties, Moroccan Mint Tea," Quinoa-Stuffed Bell Peppers with Cheese - 380kcals per portion, 4 portions, contains dairy
"
31,400.0,100.0,140.0,20.0,200.0," Turkish acma (soft bread rings) with feta cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips," Roasted Chickpeas - 140 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
32,400.0,100.0,200.0,20.0,150.0," Shakshuka with bell peppers and tomatoes (400kcals per portion, 2 portions, origin", Watermelon Fruit Pizza, Baked Sweet Potato Fries, Moroccan Mint Tea," Ratatouille - 150 calories per portion, 6 portions, None, France
"
33,400.0,100.0,160.0,20.0,420.0," Mexican molletes with refried beans, cheese, and salsa (400kcals per portion, 2 portions, origin", Cucumber Slices with Tzatziki - Approx," Vegan Spinach and Artichoke Stuffed Mushrooms - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Caprese Pasta Salad - 420kcals per portion, 2 portions, contains dairy (Italy)
"
34,450.0,100.0,300.0,20.0,400.0, Vegan Breakfast Muffuletta, Fresh Juice - Approx, Veggie Sushi Bowls, Moroccan Mint Tea, Caprese Panini
35,300.0,120.0,220.0,20.0,300.0, Vegan Apple Cinnamon Quinoa - 300 calories per portion | 1 portion | None | Origin, Melon and Prosciutto Skewers, Strawberry Banana Smoothie, Moroccan Mint Tea," Moroccan Chickpea Tagine - 300 calories per portion, 4 portions, None, Morocco
"
36,450.0,120.0,300.0,20.0,350.0, Sausage and Egg Breakfast Sandwich, Roasted Chickpeas, Baked Buffalo Chicken Wings, Moroccan Mint Tea, Quinoa Salad with Roasted Vegetables
37,300.0,120.0,90.0,20.0,350.0, Apple Cinnamon Porridge, Date Balls," Vegan Sweet Potato Toast - 90 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Spinach and ricotta stuffed shells - 350 calories per portion, 4 portions, contains dairy (Italy)
"
38,400.0,100.0,180.0,20.0,400.0, Vegan Breakfast Fried Rice, Energy Balls, Pita Bread with Hummus, Moroccan Mint Tea," Vegetarian bibimbap with tofu – 400 calories per portion, 4 portions, vegan-friendly (origin"
39,450.0,120.0,200.0,20.0,290.0," Baguette with brie and prosciutto (450kcals per portion, 1 portion, pork allergies, origin", Oatmeal Cookie," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 290kcals per portion, 4 portions, contains dairy
"
40,380.0,100.0,160.0,20.0,450.0," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
", Guacamole Stuffed Cherry Tomatoes, Chocolate Dipped Pretzels, Moroccan Mint Tea," Moroccan spiced chicken with couscous – 450 calories per portion, 3 portions (origin"
41,300.0,100.0,200.0,20.0,150.0," Yogurt and fruit smoothie with almond milk (300kcals per portion, 1 portion, nut allergies)
", Roasted Chickpeas, Mini Crab Cakes, Moroccan Mint Tea," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
42,250.0,50.0,150.0,20.0,400.0," Cereal with milk and sliced strawberries (250kcals per portion, 1 portion, lactose allergies)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Hummus with Veggies - 150 kcals per portion, 3 portions, may contain sesame (Middle East)", Moroccan Mint Tea, Teriyaki Salmon Bowl
43,400.0,80.0,120.0,20.0,350.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Fruit Salad, Greek Yogurt Fruit Dip, Moroccan Mint Tea, Vegan Lasagna
44,320.0,90.0,100.0,20.0,400.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Quinoa Energy Bites, Dark Chocolate Covered Almonds, Moroccan Mint Tea, Vegetable Udon Stir-Fry
45,250.0,90.0,180.0,20.0,350.0, Vegan Breakfast BLT Sandwich, Fruit Salad, Quinoa Salad with Chickpeas, Moroccan Mint Tea, Eggplant Parmesan
46,350.0,80.0,150.0,20.0,350.0," Italian ciambella (simple breakfast cake) with coffee (350kcals per portion, 2 portions, origin", Kale Chips," Caponata Bruschetta - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Thai Pineapple Fried Rice (350 calories/portion, 3 portions) - Thailand
"
47,300.0,100.0,120.0,20.0,350.0," Singaporean kaya toast - 300 calories per portion, 2 portions, contains gluten and dairy, origin", Carrot Sticks with Ranch Dip, Peanut Butter Energy Balls, Moroccan Mint Tea, Sweet Potato and Black Bean Enchiladas
48,300.0,80.0,380.0,20.0,400.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Cheesy Popcorn, Mini chicken pot pies, Moroccan Mint Tea," Chicken stir-fry with broccoli and brown rice – 400 calories per portion, 2 portions (origin"
49,350.0,120.0,100.0,20.0,420.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Cheese Twists," Mini caprese salad skewers (cherry tomatoes, mozzarella, basil)", Moroccan Mint Tea," Honey garlic chicken with broccoli and brown rice - 420 kcals per portion, 3 portions, contains gluten
"
50,350.0,100.0,90.0,20.0,400.0, Banana Nut Muffins, Guacamole Stuffed Cherry Tomatoes, Peanut butter energy balls, Moroccan Mint Tea," Vegan Lentil Loaf with Mashed Potatoes - 400 calories per portion, 4 portions, may contain gluten"
51,300.0,130.0,150.0,20.0,420.0," Almond butter and banana toast (300 calories per portion, 2 portions, contains nuts, American origin)
", Almond Butter Stuffed Dates, Baked Buffalo Cauliflower Bites, Moroccan Mint Tea," Pesto Pasta - 420kcals per portion, 2 portions, contains nuts (Italy)
"
52,400.0,100.0,220.0,20.0,150.0, Breakfast Bibimbap, Rice Paper Spring Rolls, Cucumber and cream cheese sandwiches, Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms
53,350.0,100.0,200.0,20.0,180.0," Ethiopian injera (sourdough flatbread) with lentil stew (350kcals per portion, 2 portions, origin", Tomato Basil Bruschetta, Mini Raspberry Tarts, Moroccan Mint Tea," Greek salad - 180 calories per portion, 4 portions, contains dairy (Greece)
"
54,320.0,100.0,80.0,20.0,320.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Fruit Salad," Popcorn - 80 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea," Spinach and Mushroom Quesadillas - 320kcals per portion, 4 portions, contains dairy (Mexico)
"
55,250.0,100.0,180.0,20.0,450.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
", Baked Zucchini Chips - Approx, Mini Margherita Skewers, Moroccan Mint Tea," Grilled shrimp with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains shellfish
"
56,500.0,120.0,200.0,20.0,300.0, Vegan Breakfast Croque Madame, Melon and Prosciutto Skewers, Chicken lettuce wraps with teriyaki sauce, Moroccan Mint Tea, Vegan Sloppy Joes
57,350.0,120.0,160.0,20.0,350.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Melon and Prosciutto Skewers," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Lentil Coconut Curry - 350 calories per portion, 4 portions, None, India
"
58,350.0,120.0,80.0,20.0,400.0, Baked Eggs in Avocado, Granola Bar," Popcorn - 80 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea," Vegetable biryani - 400 calories per portion, 6 portions, contains nuts (India)
"
59,450.0,100.0,400.0,20.0,400.0, Waffle Breakfast Sandwich, Corn on the Cob, Vegan Japanese Mochi, Moroccan Mint Tea, Teriyaki Salmon Bowl
60,250.0,120.0,250.0,20.0,400.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
", Banana Smoothie, Rice Paper Rolls with Peanut Sauce, Moroccan Mint Tea, Spaghetti Aglio e Olio
61,450.0,100.0,90.0,20.0,450.0, Chinese Egg Fried Rice, Baked Apple Chips," Vegan Sweet Potato Toast - 90 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Grilled chicken breast with quinoa and roasted vegetables (450 calories per portion, 2 portions, origin"
62,450.0,120.0,120.0,20.0,350.0," Mexican chilaquiles with salsa verde and cheese (450kcals per portion, 2 portions, origin", Raspberry Chia Seed Jam, Rice Paper Rolls with Shrimp, Moroccan Mint Tea, Shrimp and Avocado Salad
63,500.0,100.0,200.0,20.0,300.0," English full breakfast with bacon, sausages, eggs, beans, mushrooms, and toast (500kcals per portion, 2 portions, pork allergies, origin", Mini Frittatas - Approx, Veggie burger sliders, Moroccan Mint Tea, Greek Spanakopita Triangles
64,250.0,120.0,180.0,20.0,400.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Vegan Energy Balls, Stuffed Bell Peppers, Moroccan Mint Tea," Veggie Fajitas - 400 calories/portion, 4 portions, Origin"
65,320.0,100.0,250.0,20.0,400.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
", Baked Apple Chips, Vegetable Samosas, Moroccan Mint Tea," Caprese salad with grilled chicken (400 calories per portion, 2 portions, contains dairy, origin"
66,320.0,90.0,120.0,20.0,300.0," Baked eggs with spinach and mushrooms (320 calories per portion, 2 portions, nut-free, American origin)
", Stuffed Dates, Greek Yogurt Berry Parfait, Moroccan Mint Tea, Vegan Lentil Tacos
