,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,180.0,250.0,20.0,210.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Greek Salad, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
2,400.0,100.0,150.0,20.0,200.0, Vegan Breakfast Hand Pies, Cucumber and Hummus Rolls," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
3,350.0,250.0,120.0,20.0,170.0, Quinoa Breakfast Bake, Chocolate Peanut Butter Protein Smoothie," Pico de Gallo with Tortilla Chips - 120 kcals per portion, 1 portion, contains gluten (Mexico)", Moroccan Mint Tea, Vegan Caprese Salad
4,250.0,200.0,150.0,20.0,200.0, Tropical Green Smoothie, Vegan Banana Muffins, Beetroot Hummus with Crackers, Moroccan Mint Tea," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin"
5,100.0,400.0,160.0,20.0,200.0, Vegan Breakfast Falafel, Veggie Breakfast Burrito," Baked Sweet Potato Fries - 160 kcals per portion, 3 portions, may contain gluten (USA)", Moroccan Mint Tea," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
6,300.0,200.0,220.0,20.0,210.0," Breakfast bruschetta - 300 calories per portion, 2 portions, contains gluten, origin", Vegan Chia Seed Pancakes, Baked mozzarella sticks, Moroccan Mint Tea, Quinoa Stuffed Portobello Mushrooms
7,200.0,150.0,320.0,20.0,180.0," Yogurt and fruit smoothie (200 calories per portion, 2 portions, contains dairy, American origin)
", Mexican Street Corn, Mini bagel pizzas, Moroccan Mint Tea," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
8,400.0,350.0,250.0,20.0,220.0, English Muffin Breakfast Pizza, Veggie Wrap, Sweet potato and black bean sliders, Moroccan Mint Tea, Lentil and Kale Soup
9,300.0,200.0,120.0,20.0,200.0," Strawberry banana overnight oats (300 calories per portion, 2 portions, nut-free, American origin)
", Tomato Basil Soup, Caprese Pasta Salad, Moroccan Mint Tea," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
10,350.0,200.0,150.0,20.0,200.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Apple Cinnamon Energy Bars, Mango Salsa with Tortilla Chips, Moroccan Mint Tea," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
11,350.0,250.0,180.0,20.0,200.0," Veggie breakfast burrito with black beans (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Apple Cinnamon Granola, Turkish Pide, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
12,400.0,280.0,90.0,20.0,200.0," Açai bowl topped with fruits and coconut flakes (400kcals per portion, 1 portion, origin", Overnight chocolate protein oats," Baked Eggplant Chips - 90 kcals per portion, 4 portions, gluten-free (Mediterranean)", Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
13,250.0,300.0,200.0,20.0,150.0, Overnight Oats, Spinach and Mushroom Quesadilla, Hummus and Pita Bread, Moroccan Mint Tea, Minestrone Soup
