,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,150.0,160.0,260.0,350.0, Spinach and Goat Cheese Omelette, Veggie Omelette, Mini Vegetable Frittatas," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
2,350.0,250.0,200.0,260.0,350.0, Spinach and Goat Cheese Omelette, Spinach and Egg Muffins, Mini Quiche," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
3,350.0,200.0,160.0,260.0,350.0, Tomato and Basil Bruschetta Scramble, Vegetable Frittata, Mini Vegetable Frittatas," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
4,200.0,150.0,200.0,260.0,350.0, Vegetarian Quiche, Veggie Omelette, Mini Quiche," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
5,200.0,150.0,200.0,260.0,350.0, Vegetable Frittata, Veggie Omelette, Mini Quiche," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
6,300.0,200.0,200.0,390.0,350.0, Baked Egg in Avocado, Vegetable Frittata, Mini Quiche," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
7,200.0,200.0,160.0,390.0,350.0, Vegetarian Quiche, Vegetable Frittata, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
8,200.0,250.0,160.0,260.0,350.0, Mediterranean Vegetable Omelette, Spinach and Egg Muffins, Mini Vegetable Frittatas," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
9,400.0,250.0,160.0,390.0,350.0, Spinach and Feta Quiche, Spinach and Egg Muffins, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
10,250.0,250.0,160.0,390.0,350.0, Veggie Omelette, Spinach and Egg Muffins, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
11,350.0,150.0,160.0,300.0,350.0, Shakshuka, Veggie Omelette, Mini Vegetable Frittatas, Vegetable Frittata," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
12,300.0,200.0,200.0,300.0,350.0, Baked Egg in Avocado, Vegetable Frittata, Mini Quiche, Vegetable Frittata," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
13,300.0,250.0,160.0,390.0,350.0, Vegetable Frittata, Spinach and Egg Muffins, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
14,350.0,200.0,160.0,260.0,350.0, Spinach and Goat Cheese Omelette, Vegetable Frittata, Mini Vegetable Frittatas," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
15,400.0,150.0,200.0,300.0,350.0, Tomato Basil Quiche, Veggie Omelette, Mini Quiche, Vegetable Frittata," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
16,400.0,200.0,160.0,390.0,350.0, Tomato Basil Quiche, Vegetable Frittata, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
