,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,80.0,80.0,120.0,180.0, Chocolate Peanut Butter Overnight Oats, Hard-Boiled Eggs," Baked Zucchini Chips - 80 kcals per portion, 3 portions, contains dairy (Italy)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
2,200.0,80.0,60.0,100.0,200.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Fruit Salad, Caprese Skewers, Israeli salad," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
3,300.0,50.0,80.0,100.0,200.0, Classic Peanut Butter and Jelly," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Avocado Deviled Eggs, Israeli salad," Lentil Curry (200 calories/portion, 4 portions) - India
"
4,350.0,80.0,90.0,120.0,220.0, Banana Walnut Bread, Fresh Squeezed Orange Juice, Baked kale chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Chickpea and Vegetable Stir Fry
5,300.0,80.0,150.0,120.0,200.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Fresh Squeezed Orange Juice, Stuffed Jalapenos with Cream Cheese," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin"
6,350.0,80.0,120.0,100.0,200.0, Vegan Breakfast Couscous - 350 calories per portion | 1 portion | Contains gluten | Origin, Fresh Squeezed Orange Juice, Spinach and Feta Stuffed Mushrooms, Israeli salad, Mediterranean Stuffed Eggplant
7,250.0,80.0,220.0,120.0,200.0," Greek yogurt with honey and nuts - 250 calories per portion, 1 portion, may contain nuts, origin", Apple with Cinnamon, Sweet Chili Lime Chicken Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
8,250.0,50.0,180.0,120.0,200.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini vegetable quinoa bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Ratatouille
9,350.0,80.0,120.0,120.0,200.0, Banana Chia Pancakes, Fruit Salad, Tabbouleh Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Mediterranean Quinoa Bowl
10,250.0,60.0,180.0,20.0,150.0, Vegan Overnight Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Fruit Salad - Approx, Veggie Sausage Rolls, Moroccan Mint Tea, Cauliflower Fried Rice
11,200.0,80.0,90.0,120.0,200.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Apple with Cinnamon," Cucumber Sandwiches - 90 kcals per portion, 4 portions, contains gluten, dairy (USA)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
12,350.0,80.0,180.0,20.0,150.0," Veggie breakfast burrito with black beans (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Apple with Cinnamon, Greek Spanakopita, Moroccan Mint Tea, Ratatouille
13,350.0,80.0,200.0,100.0,180.0, Vegan Breakfast Burrito, Fruit Salad," Berry Smoothie Bowl - 200 kcals per portion, 2 portions, contains dairy (USA)", Israeli salad," Cauliflower Shawarma - 180 calories per portion, 6 portions, None, Middle East
"
14,250.0,80.0,150.0,120.0,200.0," Chia seed pudding with coconut milk (250 calories per portion, 2 portions, nut-free, American origin)
", Fresh Squeezed Orange Juice, Mini cheese and ham sliders," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Greek Salad
15,300.0,80.0,180.0,120.0,200.0," Spinach and mushroom frittata (300kcals per portion, 2 portions)
", Fruit Salad, Mini vegetable quinoa bites," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
16,300.0,80.0,200.0,120.0,200.0, Vegan Pumpkin Muffins - 300 calories per portion | 2 portions | Contains gluten | Origin, Hard-Boiled Eggs, Tofu Vegetable Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa Salad
17,250.0,50.0,120.0,20.0,210.0, Vegan Blueberry Chia Pancakes," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Hummus and Pita, Moroccan Mint Tea, Quinoa Stuffed Portobello Mushrooms
18,200.0,80.0,180.0,120.0,225.0, Congee, Mango with Chili Powder, Mini Lemon Bars," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Stuffed Mushrooms
19,350.0,80.0,140.0,120.0,200.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Apple with Cinnamon, Melon and Prosciutto Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan Tomato Soup - 200 calories per portion, 4 portions, None, Various
"
20,350.0,80.0,220.0,100.0,240.0," Veggie breakfast burrito with black beans (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Baked Apple Chips, Cheese and Spinach Triangles, Israeli salad, Spaghetti Aglio e Olio
21,300.0,80.0,100.0,120.0,200.0, Vegan Cinnamon Rolls - 300 calories per portion | 1 portion | Contains gluten | Origin, Energy Balls, Tomato Basil Soup," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Lentil and Vegetable Bolognese
22,250.0,80.0,160.0,120.0,200.0, Veggie Omelette, Fruit Salad, Vegan Mexican Street Corn," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Stuffed Mushrooms
23,300.0,80.0,290.0,100.0,200.0, Vegetable Frittata, Cheesy Popcorn," Cheese Quesadilla - 290 kcals per portion, 2 portions, contains gluten, dairy (Mexico)", Israeli salad," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
24,300.0,70.0,230.0,100.0,200.0, Chocolate Peanut Butter Overnight Oats, Kale chips, Avocado Toast, Israeli salad," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
