,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,150.0,120.0,250.0,399.0, Chia Pudding - 150 calories per portion | 1 portion | None | Origin, Vegan Chocolate Mousse," Vegan Coconut Lime Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Caprese Salad, Sweet Potato and Black Bean Chili
2,550.0,100.0,680.0,400.0,320.0, Vegan Smoothie Bowl, Overnight Chia Pudding, Sweet and Sour Tofu, Chickpea and Vegetable Curry, Vegan Gumbo
3,250.0,150.0,120.0,200.0,420.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Vegan Cinnamon Sugar Donuts," Vegan Almond Butter Energy Balls - 120 kcals per portion, 4 portions, allergic warning (almonds), origin", Vegan Creamy Broccoli Soup, Vegan Pad Thai
4,200.0,150.0,180.0,400.0,317.0, Vegan Breakfast Quinoa Salad, Cucumber Avocado Rolls," Vegan Pumpkin Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Tacos with Avocado Crema
Total calories per portion", Vegan Paella
5,350.0,120.0,180.0,400.0,250.0, Vegan Mushroom and Spinach Omelette - 350 calories per portion | 1 portion | None | Origin, Roasted Brussels Sprouts," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pasta Primavera," Vegan Soba Noodle Salad - 250 calories per portion, 4 portions, None, Japan
"
6,350.0,130.0,240.0,300.0,400.0, Vegan Breakfast Sandwich - 350 calories per portion | 1 portion | Contains gluten | Origin, Almond Butter Stuffed Dates, Veggie Sushi Rolls, Vegan Pho," Lentil Spinach Bolognese - 400 calories per portion, 4 portions, None, Italy
"
7,550.0,90.0,120.0,350.0,300.0, Granola with Soy Milk, Stuffed Dates," Vegan Cucumber Sushi Rolls - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Moroccan Chickpea Salad
Total calories per portion"," British Vegan Ploughman's Lunch (300 calories/portion, 3 portions) - United Kingdom
"
8,550.0,100.0,120.0,300.0,250.0, Vegan Breakfast Pesto Pasta, Toasted Coconut Chips," Vegan Spinach and Mushroom Frittata - 120 kcals per portion, 4 portions, no allergic warnings, origin", Mediterranean Salad, Lentil Loaf
9,300.0,150.0,200.0,300.0,200.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Vegan Protein Bites," Vegan Pancakes with Maple Syrup - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Spinach and Artichoke Dip
Total calories per portion"," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
10,400.0,100.0,220.0,300.0,290.0, Vegan Peanut Butter Banana Wrap - 400 calories per portion | 1 portion | Contains nuts | Origin, Toasted Coconut Chips, Baked Sweet Potato Fries, Vegan Korean Bibimbap, Moroccan Lentil Salad
11,350.0,150.0,180.0,350.0,200.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Baked Sweet Potato Fries," Vegan Apple Cinnamon Granola Bars - 180 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and Mushroom Quesadillas, Mexican Street Corn Salad
12,300.0,120.0,180.0,250.0,400.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Kale Chips," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Sushi Rolls, Vegan Paella
13,300.0,120.0,180.0,250.0,350.0, Vegan Breakfast Parfait, Hummus with Veggies," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Vegan Tofu Scramble," Chickpea Salad Sandwich - 350 calories per portion, 2 portions, may contain gluten"
14,250.0,150.0,320.0,250.0,300.0, Raw Vegan Breakfast Bars - 250 calories per portion | 2 portions | Contains nuts | Origin, Hummus and Veggie Sticks, Quinoa Salad, Stuffed Bell Peppers," Vegan Italian Wedding Soup - 300 calories per portion, 4 portions, Gluten, Italy
"
15,250.0,150.0,140.0,200.0,300.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Vegan Gingerbread Cookies," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Tofu Scramble
Total calories per portion"," Thai Vegan Tom Kha Soup (300 calories/portion, 4 portions) - Thailand

"
16,400.0,90.0,440.0,300.0,250.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Quinoa Energy Bites, Vegan Roasted Red Pepper Dip, Vegan Jamaican Jerk Tofu, Lentil Loaf
17,400.0,150.0,180.0,200.0,350.0, Vegan Breakfast Stuffed Mushrooms - 400 calories per portion | 1 portion | None | Origin, Oatmeal Raisin Cookies," Quinoa Stuffed Bell Peppers - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Soup
Total calories per portion", Thai Green Curry
18,300.0,100.0,360.0,250.0,200.0, Vegan Breakfast Stromboli, Baked Apple Chips, Vegan Zucchini Noodles with Pesto, Vegan Lentil Salad, Greek Salad
19,350.0,150.0,180.0,300.0,200.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Spicy Roasted Chickpeas," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille," Lentil Curry (200 calories/portion, 4 portions) - India
"
20,200.0,150.0,180.0,350.0,300.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Vegan Cinnamon Sugar Donuts," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Vegan Quiche, Sweet Potato and Lentil Curry
21,250.0,150.0,380.0,250.0,450.0, Vegan Breakfast Shakshuka, Vegan Chocolate Chip Cookies, Vegan Chocolate Chip Cookies, Mexican Quinoa Salad," Vegan BBQ Pulled Jackfruit Sandwich - 450 calories per portion, 2 portions, may contain gluten"
