,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,180.0,20.0,350.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Stuffed Dates - Approx, Watermelon and feta salad, Moroccan Mint Tea," Spinach and Goat Cheese Stuffed Mushrooms - 350kcals per portion, 4 portions, contains dairy

"
2,250.0,150.0,160.0,20.0,280.0, Vegan Cacao Banana Smoothie - 250 calories per portion | 2 portions | None | Origin, Vegan Cereal with Almond Milk," Cinnamon Sugar Pretzels - 160 kcals per portion, 3 portions, contains gluten (USA)", Moroccan Mint Tea, Vegan Barbecue Jackfruit Sandwiches
3,400.0,150.0,80.0,20.0,390.0," Scrambled tofu with turmeric and veggies (400 calories per portion, 2 portions, nut-free, American origin)
", Vegan Pumpkin Muffins, Mini stuffed bell peppers with cream cheese, Moroccan Mint Tea, Lentil and Vegetable Pot Pie
4,500.0,150.0,180.0,20.0,400.0," Pancake cereal - 500 calories per portion, 2 portions, contains gluten and dairy, origin"," Mini Vegetable Spring Rolls - 150kcals per portion, 2 portions
    Origin", Chocolate Peanut Butter Protein Balls, Moroccan Mint Tea, Spinach and Ricotta Stuffed Shells
5,350.0,120.0,250.0,20.0,300.0," Grilled halloumi with tomatoes and cucumber (350kcals per portion, 2 portions, origin", Greek Stuffed Grape Leaves, Mini vegetable spring rolls, Moroccan Mint Tea, Vegan Pho
6,180.0,150.0,250.0,20.0,420.0, Overnight Chia Pudding, Vegan Chocolate Energy Balls, Avocado Egg Salad Lettuce Wraps, Moroccan Mint Tea," Caprese Quinoa Casserole - 420kcals per portion, 2 portions, contains dairy
"
7,250.0,80.0,200.0,20.0,300.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Poppy Seed Muffins - 200 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea, Vegan Fajitas
8,700.0,150.0,150.0,20.0,400.0, Vegan Breakfast Bibimbap, Vegan Cereal with Almond Milk, Guacamole with tortilla chips, Moroccan Mint Tea, Vegan Jambalaya
9,450.0,120.0,560.0,20.0,400.0, Vegan Biscuits and Gravy - 450 calories per portion | 1 portion | Contains gluten | Origin, Carrot Sticks with Hummus, Vegan Mediterranean Pasta Salad, Moroccan Mint Tea," Greek Vegan Moussaka (400 calories/portion, 2 portions) - Greece

"
10,300.0,120.0,350.0,20.0,400.0, Vegan Blueberry Muffins, Vegetable Spring Rolls, Avocado and black bean quesadilla, Moroccan Mint Tea," Mushroom and Spinach Quesadillas - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
11,300.0,170.0,230.0,20.0,400.0, Chia Seed Pudding Parfait, Chia Seed Pudding, Peanut Butter and Banana Wrap, Moroccan Mint Tea," Beef stir-fry with broccoli and mushrooms (400 calories per portion, 3 portions, origin"
