,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,200.0,200.0,300.0,350.0, Tomato Basil Quiche, Vegetable Frittata, Mini Quiche, Vegetable Frittata," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
2,350.0,350.0,160.0,390.0,350.0, Huevos Rancheros, Veggie Sausage and Egg Breakfast Burrito, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
3,400.0,200.0,160.0,390.0,350.0, Vegetarian Breakfast Casserole, Vegetable Frittata, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
4,350.0,200.0,200.0,300.0,350.0, Veggie Omelette, Vegetable Frittata, Mini Quiche, Vegetable Frittata," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
5,400.0,200.0,200.0,260.0,350.0, Veggie English Breakfast, Vegetable Frittata, Mini Quiche," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
6,250.0,150.0,160.0,300.0,350.0, Middle Eastern Shakshuka, Veggie Omelette, Mini Vegetable Frittatas, Vegetable Frittata," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
7,250.0,250.0,200.0,260.0,350.0, Veggie Omelette, Spinach and Egg Muffins, Mini Quiche," Egg Salad - 260kcals per portion, 2 portions, contains eggs
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
8,250.0,350.0,160.0,390.0,350.0, Vegetable Scramble, Veggie Sausage and Egg Breakfast Burrito, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
9,350.0,150.0,160.0,390.0,350.0, Quinoa Breakfast Bake, Veggie Omelette, Mini Vegetable Frittatas," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
10,200.0,200.0,200.0,390.0,350.0, Vegetable Frittata, Vegetable Frittata, Mini Quiche," Veggie Frittata - 390kcals per portion, 2 portions, contains eggs, dairy
"," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
11,350.0,350.0,160.0,300.0,350.0, Spinach and Goat Cheese Omelette, Veggie Sausage and Egg Breakfast Burrito, Mini Vegetable Frittatas, Vegetable Frittata," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
