,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,350.0,400.0,250.0,350.0, Banana Pancakes, Veggie Breakfast Strudel, Strawberry Banana Pancakes, Tomato Basil Bruschetta, Cranberry Orange Muffins
2,350.0,300.0,350.0,350.0,350.0, Vegan Breakfast Burrito, Banana Oat Pancakes, Apple Cinnamon Muffins, Apple Cinnamon Muffins, Vegan Breakfast Burrito
3,250.0,400.0,350.0,400.0,400.0, Sourdough Toast with Almond Butter, Vegan Chocolate Waffles, Mushroom and Spinach Breakfast Quesadilla, Nutella Banana Croissant, Vegetarian Breakfast Strata
4,250.0,350.0,350.0,350.0,350.0, Mozzarella and Tomato Bruschetta, Vegan Protein Pancakes, Bread Upma, Zucchini and Parmesan Muffins, Vegan Breakfast Burrito
5,350.0,350.0,400.0,400.0,400.0, Mushroom and Spinach Breakfast Quesadilla, Banana Walnut Bread, Nutella Banana Croissant, Strawberry Banana Pancakes, Mexican Sopes
6,350.0,250.0,350.0,350.0,400.0, Lemon Poppy Seed Pancakes, Tomato Basil Bruschetta, Apple Cinnamon Muffins, Veggie Breakfast Strudel, Strawberry Banana Pancakes
7,250.0,300.0,300.0,350.0,300.0, Cucumber Sandwich, Banana Pancakes, Feta and Spinach Muffins, Banana Walnut Bread, Banana Oat Pancakes
8,250.0,400.0,300.0,350.0,350.0, Vegan Banana Bread, Veggie Breakfast Burrito, Banana Pancakes, Veggie Breakfast Wrap, Banana Chia Pancakes
9,400.0,450.0,300.0,400.0,400.0, Almond Croissant, Nutella Stuffed French Toast, Irish Soda Bread, Veggie Bagel Sandwich, Strawberry Banana Pancakes
10,350.0,400.0,350.0,350.0,400.0, Banana Chia Pancakes, French Toast, Veggie Breakfast Strudel, Blueberry Muffins, Vegetarian Breakfast Strata
11,350.0,350.0,300.0,350.0,400.0, Ricotta Pancakes, Apple Cinnamon Muffins, Chia Seed Pancakes, Mushroom and Spinach Breakfast Quesadilla, Strawberry Banana Pancakes
12,350.0,400.0,250.0,350.0,300.0, Vegan Breakfast Burrito, Veggie Breakfast Burrito, Ragi (Finger Millet) Pancakes, Blueberry Muffins, Banana Oat Pancakes
