,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,300.0,140.0,100.0,250.0, Pancakes with Maple Syrup, Sundried Tomato and Olive Focaccia - Approx, Mozzarella sticks served with marinara sauce, Israeli salad, Cucumber Avocado Sushi Rolls
2,350.0,250.0,180.0,20.0,250.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Stuffed Portobello mushrooms," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Tomato and Basil Bruschetta - 250 calories per portion, 4 portions, contains gluten (bread), Origin"
3,200.0,150.0,180.0,20.0,300.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Pumpkin Energy Balls, Zucchini Pizza Bites, Moroccan Mint Tea, Greek Spanakopita Triangles
4,300.0,180.0,80.0,120.0,200.0, Chia Seed Pudding Parfait, Egg Muffins, Cheese and spinach stuffed mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
5,300.0,150.0,560.0,120.0,250.0, Vegetable Frittata, Broccoli and cheese mini quiches, Vegan Mediterranean Pasta Salad," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Mediterranean Couscous Salad
6,400.0,180.0,180.0,100.0,300.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Vegetable Omelette, Veggie Stuffed Pita Bread, Israeli salad, Ratatouille-Stuffed Peppers
7,300.0,200.0,220.0,120.0,200.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin," Banana Bread Muffins - 200kcals per portion, 1 portion
    Origin", Baked Mini Samosas with Mint Chutney," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lemon and Herb Couscous Salad
8,400.0,180.0,200.0,120.0,280.0, English Muffin Breakfast Pizza, Avocado Toast, Vegan Chocolate Covered Strawberries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil and Spinach Curry
9,400.0,250.0,200.0,120.0,300.0, Vegan Breakfast Spanakopita, Pumpkin Muffins, Chicken and vegetable lettuce wraps," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Chickpea Curry
10,250.0,220.0,140.0,120.0,300.0, Vegan Breakfast Quesadilla, Apple cinnamon muffins, Baked Sweet Potato Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Moroccan Couscous with Roasted Vegetables - 300 calories/portion, 4 portions, contains gluten (Morocco)
"
11,300.0,250.0,250.0,100.0,120.0, Breakfast Couscous with Fresh Fruit, Greek yogurt pancakes with maple syrup, Baked Samosas, Israeli salad, Cucumber and Tomato Salad
12,400.0,100.0,150.0,20.0,200.0," Cheese and beef sausage omelet (400kcals per portion, 2 portions, dairy allergies, origin", Zesty Lime Popcorn - Approx, Greek Tzatziki Dip with Pita Bread, Moroccan Mint Tea, Stuffed Zucchini Boats
13,200.0,190.0,190.0,100.0,280.0, Quinoa Veggie Breakfast Skillet, Veggie Stuffed Pita, Greek Yogurt with Honey and Nuts, Israeli salad, Lentil and Spinach Curry
