,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,120.0,70.0,150.0,350.0, Vegan Breakfast Burrito, Greek Stuffed Grape Leaves, Stuffed Cherry Tomatoes, Spinach and cheese stuffed tomatoes," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
2,300.0,80.0,250.0,150.0,400.0, Raspberry Peach Chia Pudding, Hard-Boiled Eggs, Stuffed Bell Peppers with Quinoa, Lentil and vegetable frittata, Spinach and Ricotta Stuffed Shells
3,250.0,100.0,250.0,150.0,350.0, Vegan Protein Pancakes, Carrot Sticks with Ranch Dip, Tomato Basil Bruschetta Pizza, Spinach and feta stuffed mushrooms," Mushroom and goat cheese flatbread - 350 calories per portion, 4 portions, contains gluten and dairy
"
4,200.0,90.0,190.0,150.0,300.0, Quinoa Veggie Breakfast Skillet, Rice Paper Rolls, Roasted Beet Hummus with Crackers, Lentil and vegetable soup," Zucchini noodles with pesto - 300 calories per portion, 4 portions, contains nuts (Italy)
"
5,300.0,120.0,280.0,150.0,200.0, Sweet Potato Hash Browns, Carrot Sticks with Hummus, Greek Spinach and Cheese Rolls, Caprese Salad," Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
6,300.0,100.0,80.0,150.0,250.0, Shakarkandi ki Chaat (Sweet Potato Chaat), Roasted Chickpeas, Veggie Noodle Salad, Spinach and feta stuffed bell peppers, Mediterranean Quinoa Salad
7,250.0,120.0,120.0,150.0,200.0, Vegan Breakfast Enchiladas, Baked Cheese Twists, Greek Yogurt with Berries, Spinach and mushroom frittata," Indian Vegetable Samosas - 200 calories/portion, 4 portions, contains gluten (India)
"
8,250.0,90.0,220.0,120.0,350.0, Vegan Breakfast Sushi Rolls, Rice Paper Rolls, Quinoa and Black Bean Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable curry with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
9,200.0,100.0,240.0,150.0,150.0, Banana Pancakes, Som Tam (Papaya Salad), Thai Vegetable Spring Rolls, Gazpacho Soup," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
10,300.0,80.0,120.0,150.0,350.0, Veggie Breakfast Quesadilla, Fruit Salad, Vegan Chia Seed Pudding, Spinach and feta stuffed mushrooms," Veggie Paella - 350 calories/portion, 4 portions, Origin"
