,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,120.0,170.0,20.0,250.0," Singaporean kaya toast - 300 calories per portion, 2 portions, contains gluten and dairy, origin", Bruschetta with Tomato and Basil," Egg Salad Lettuce Wraps - 170 kcals per portion, 3 portions, contains egg (USA)", Moroccan Mint Tea," Moroccan Vegan Harira Soup (250 calories/portion, 4 portions) - Morocco

"
2,400.0,120.0,180.0,20.0,350.0," Polish jajecznica (scrambled eggs with kielbasa) - 400 calories per portion, 2 portions, no allergic warnings, origin", Almond Biscotti, Baked Mozzarella Sticks, Moroccan Mint Tea," Spaghetti with Marinara Sauce - 350 calories/portion, 4 portions, contains gluten (Italy)
"
3,500.0,120.0,80.0,20.0,150.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Roasted Brussels Sprouts, Chocolate-dipped strawberries, Moroccan Mint Tea, Minestrone Soup
4,250.0,120.0,120.0,20.0,200.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
", Toasted Coconut Chips," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Greek Salad
5,250.0,100.0,80.0,20.0,200.0, Vegan Cacao Banana Smoothie - 250 calories per portion | 2 portions | None | Origin, Frozen Grapes, Veggie Spring Rolls, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
6,200.0,100.0,150.0,20.0,200.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Cucumber Rolls with Hummus - Approx, Caprese Bruschetta, Moroccan Mint Tea, Ratatouille
7,300.0,80.0,180.0,20.0,350.0," Greek yogurt parfait with mixed berries and honey (300kcals per portion, 1 portion, origin", Energy Balls, Spinach and Feta Pinwheels, Moroccan Mint Tea, Vegan Burritos
8,200.0,100.0,100.0,20.0,350.0, Papaya Boat with Lime, Caprese Skewers," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Buddha Bowl
9,400.0,120.0,180.0,20.0,250.0," Swedish pancakes with lingonberry jam - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Melon and Prosciutto Skewers, Quinoa Salad with Chickpeas, Moroccan Mint Tea, Quinoa Salad
10,260.0,100.0,90.0,20.0,180.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Cucumber and Hummus Rolls, Baked kale chips, Moroccan Mint Tea," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
11,200.0,100.0,200.0,20.0,200.0, Vegan Breakfast Tacos," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Blueberry oat muffins, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
12,400.0,90.0,250.0,20.0,350.0, Vegan Cinnamon Rolls, Rice Paper Rolls, Mini chicken and vegetable skewers, Moroccan Mint Tea," Spinach and Mushroom Risotto - 350kcals per portion, 4 portions
"
13,300.0,100.0,140.0,20.0,280.0, Tofu Scramble Breakfast Burrito, Cucumber and Tomato Salad," Mini Vegetable Quinoa Cups - 140 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Lentil Salad - 280kcals per portion, 4 portions
"
14,250.0,120.0,200.0,20.0,346.0, Veggie Omelette, Tomato and Basil Bruschetta," Vegan Pancakes with Maple Syrup - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Sweet Potato and Lentil Curry
15,150.0,100.0,100.0,20.0,250.0, Chia Pudding - 150 calories per portion | 1 portion | None | Origin, Som Tam (Papaya Salad), Chocolate Covered Strawberries, Moroccan Mint Tea, Vegan Tacos
16,300.0,50.0,400.0,20.0,350.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Chicken Pot Pies, Moroccan Mint Tea," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
17,300.0,130.0,180.0,20.0,300.0," Avocado toast - 300 calories per portion, 2 portions, may contain gluten, origin", Almond Butter Stuffed Dates, Kale smoothie with pineapple and coconut water, Moroccan Mint Tea, Ratatouille-Stuffed Peppers
18,400.0,120.0,760.0,20.0,350.0, Pancakes with Maple Syrup, Fruit Salsa with Cinnamon Chips, Vegan Indian Samosa Chaat, Moroccan Mint Tea, Vegan Gyros
19,300.0,100.0,780.0,20.0,182.0, Breakfast Couscous with Fresh Fruit, Berry Chia Detox Water, Lentil Sloppy Joes, Moroccan Mint Tea, Carrot and Ginger Soup
20,400.0,100.0,150.0,20.0,350.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Stuffed Dates - Approx, Yogurt Parfait, Moroccan Mint Tea, Grilled Salmon with Mango Salsa
21,400.0,100.0,120.0,20.0,200.0," Israeli shakshuka with feta cheese - 400 calories per portion, 2 portions, contains dairy, origin", Toasted Coconut Chips, Spinach and Feta Stuffed Mushrooms, Moroccan Mint Tea," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy"
22,400.0,100.0,200.0,20.0,250.0," Dutch baby pancake with lemon and powdered sugar (400kcals per portion, 2 portions, origin", Quinoa Energy Bites," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Moroccan Lentil Salad - 250 calories/portion, 4 portions, contains nuts (Morocco)
"
23,200.0,100.0,250.0,20.0,350.0, Mini Vegetable Quiche, Cucumber and Tomato Salad, Mini Buffalo Chicken Wraps, Moroccan Mint Tea," Mexican Quinoa Stuffed Zucchini - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
24,550.0,120.0,80.0,20.0,350.0, Eggs Benedict, Granola Bar, Cucumber cream cheese roll-ups, Moroccan Mint Tea," Ratatouille Pasta Bake - 350 calories/portion, 4 portions, Origin"
25,300.0,120.0,280.0,20.0,220.0, Tofu Scramble, Yogurt with Berries - Approx, Vegan Lemon Poppy Seed Muffins, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
26,250.0,120.0,180.0,20.0,250.0, Quinoa Porridge, Vegan Energy Balls," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Caprese Salad
27,150.0,60.0,300.0,20.0,350.0, Fruit Smoothie, Cucumber and tomato salad, Vegetable Pizza Rolls, Moroccan Mint Tea," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
28,350.0,90.0,250.0,20.0,220.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Turkish-style boiled eggs, Mini vegetable spring rolls, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
29,200.0,100.0,150.0,20.0,150.0, Roasted Vegetable Breakfast Tacos, Watermelon Fruit Pizza, Mexican Street Corn, Moroccan Mint Tea, Cauliflower Fried Rice
30,200.0,100.0,200.0,20.0,300.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Cucumber and Tomato Salad, Mini Quiches, Moroccan Mint Tea, Turkish Eggplant Casserole (Imam Bayildi)
31,350.0,90.0,90.0,20.0,340.0," Haitian pain patate (sweet potato bread) - 350 calories per portion, 2 portions, contains gluten, origin", Stuffed Dates," Caprese Skewers - 90 kcals per portion, 6 portions, contains dairy (Italy)", Moroccan Mint Tea," Spinach and Artichoke Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
32,250.0,100.0,160.0,20.0,300.0, Spinach and Mushroom Oatmeal, Watermelon and feta skewers," Vegan Spinach and Artichoke Stuffed Breadsticks - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Italian Wedding Soup - 300 calories per portion, 4 portions, Gluten, Italy
"
33,500.0,120.0,220.0,20.0,250.0, Breakfast Sausage and Egg Casserole, Date Balls, Guacamole with Tortilla Chips, Moroccan Mint Tea," Thai Vegan Green Papaya Salad (250 calories/portion, 4 portions) - Thailand
"
34,250.0,100.0,600.0,20.0,250.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Rice Cake with Hummus and Cucumber, Vegan Indonesian Gado Gado, Moroccan Mint Tea," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
35,250.0,100.0,300.0,20.0,100.0, Vegan Breakfast Pizza, Berry Chia Detox Water, Mini black bean and cheese quesadillas, Moroccan Mint Tea," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
"
36,380.0,100.0,150.0,20.0,300.0," Ricotta and berry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Carrot Sticks with Ranch Dip, Veggie Kabobs, Moroccan Mint Tea," Italian Vegan Pizza (300 calories/portion, 2 portions) - Italy
"
37,300.0,100.0,200.0,20.0,350.0," Blueberry almond smoothie (300 calories per portion, 2 portions, contains nuts, American origin)
", Roasted Pumpkin Seeds, Veggie burger sliders, Moroccan Mint Tea," Eggplant and tomato pasta – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
38,250.0,110.0,150.0,20.0,300.0, Vegan Blueberry Muffin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Moroccan-style boiled eggs, Roasted Chickpeas, Moroccan Mint Tea," Vegan Bulgogi - 300 calories per portion, 4 portions, None, Korea
"
39,350.0,120.0,100.0,20.0,350.0, Veggie Oatmeal Bowl, Greek yogurt with honey," Deviled Eggs - 100 kcals per portion, 4 portions, contains egg (USA)", Moroccan Mint Tea, Vegan Curry with Rice
40,350.0,100.0,200.0,20.0,250.0, Baked Eggs in Avocado, Greek yogurt with berries, Vegetable Dumplings, Moroccan Mint Tea, Vegan Tofu Satay Skewers
41,450.0,100.0,200.0,20.0,350.0," Breakfast tacos - 450 calories per portion, 2 portions, contains gluten, origin", Berry Chia Detox Water, Bruschetta with tomato and basil, Moroccan Mint Tea, Thai Green Curry
42,100.0,100.0,290.0,20.0,350.0, Vegan Breakfast Falafel, Cucumber and Hummus Rolls," Baked Brie with Cranberry Sauce - 290 kcals per portion, 2 portions, contains dairy (France)", Moroccan Mint Tea, Thai Vegetable Curry
43,280.0,100.0,120.0,20.0,250.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Cucumber and Tomato Salad," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil Salad
44,160.0,120.0,170.0,20.0,300.0," Scrambled eggs with spinach and feta (160 calories per portion, 2 portions, contains dairy, Greek origin)
", Bruschetta with Tomato and Basil, Corn tortilla chips with salsa, Moroccan Mint Tea, Ratatouille-Stuffed Peppers
45,450.0,100.0,120.0,20.0,350.0, Lemon Poppy Seed Pancakes, Roasted Beetroot Chips," Caprese salad skewers (cherry tomatoes, mozzarella, basil)", Moroccan Mint Tea, Soba Noodle Stir-Fry
46,400.0,100.0,460.0,20.0,200.0," Mexican molletes with refried beans, cheese, and salsa (400kcals per portion, 2 portions, origin", Carrot Sticks with Ranch Dip, Veggie Tacos, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
47,300.0,120.0,230.0,20.0,250.0, Chia Seed Pancakes, Raspberry Chia Seed Jam," Matzah Ball Soup - 230 kcals per portion, 3 portions, contains gluten (Jewish)", Moroccan Mint Tea, Veggie Stir-Fry with Quinoa
48,400.0,80.0,180.0,20.0,300.0," Jamaican ackee and saltfish with fried plantains (400kcals per portion, 2 portions, origin", Kale Chips, Mini zucchini and cheese frittatas, Moroccan Mint Tea," Vegetarian chili - 300 calories per portion, 4 portions, none (Mexico)
"
49,350.0,100.0,120.0,20.0,300.0, Moroccan Shakshuka," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin"," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Quinoa Salad
50,300.0,130.0,400.0,20.0,350.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin", Rice cakes with avocado and tomato, Vegan Japanese Mochi, Moroccan Mint Tea," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
51,350.0,120.0,150.0,20.0,350.0," Moroccan baghrir (semolina pancakes) with honey and melted butter (350kcals per portion, 2 portions, origin", Cucumber and dill cream cheese rolls, Vegan Banana Bread, Moroccan Mint Tea," Quinoa Salad - 350 calories/portion, 4 portions, Origin"
52,500.0,100.0,150.0,20.0,250.0, Turkish Simit, Roasted Almonds, Baked Buffalo Cauliflower Bites, Moroccan Mint Tea," Stuffed bell peppers - 250 calories per portion, 4 portions, none
"
