,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,80.0,180.0,20.0,200.0, Buckwheat Porridge, Fruit Salad, Veggie spring rolls with peanut dipping sauce, Moroccan Mint Tea, Lentil Soup
2,200.0,80.0,120.0,20.0,200.0, Overnight Chia Pudding, Cheesy Popcorn, Caprese Skewers, Moroccan Mint Tea," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
3,450.0,80.0,180.0,20.0,100.0, Bacon and Egg Muffins, Apple with Cinnamon," Vegan Strawberry Shortcake - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
"
4,400.0,60.0,160.0,20.0,150.0, Veggie Breakfast Pizza, Fruit Salad - Approx, Spinach and Feta Stuffed Mushrooms, Moroccan Mint Tea," Steamed Fish with Lemon Butter Sauce - 150 calories per portion, 4 portions, no allergic warnings, Origin"
5,350.0,70.0,350.0,20.0,250.0, Chocolate Banana Smoothie Bowl, Kale chips, Avocado and black bean quesadilla, Moroccan Mint Tea," Chickpea Curry - 250 calories/portion, 4 portions, contains garlic and onions (India)
"
6,300.0,80.0,200.0,20.0,200.0, Shakarkandi ki Chaat (Sweet Potato Chaat), Cheesy Popcorn, Cilantro Lime Shrimp Skewers, Moroccan Mint Tea," Eggplant and Tomato Gratin - 200 calories/portion, 2 portions, Origin"
7,160.0,80.0,230.0,20.0,220.0," Cream cheese stuffed strawberries (160 calories per portion, 2 portions, contains dairy, American origin)
", Cheesy Popcorn, Peanut Butter and Banana Wrap, Moroccan Mint Tea, Grilled Vegetable Skewers
8,400.0,80.0,160.0,20.0,220.0, Veggie Breakfast Pizza Rolls, Fruit Salad," Spinach Stuffed Mushrooms - 160 kcals per portion, 3 portions, contains dairy (USA)", Moroccan Mint Tea, Lentil Soup with Quinoa
9,450.0,70.0,90.0,20.0,200.0, Dutch Baby Pancake, Kale chips," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Spanish Gazpacho
10,250.0,80.0,130.0,20.0,260.0, Smoothie Bowl, Hard-Boiled Eggs," Veggie Sushi Rolls with Spicy Tofu - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Mexican Stuffed Zucchini
11,300.0,80.0,200.0,20.0,250.0," Breakfast bruschetta - 300 calories per portion, 2 portions, contains gluten, origin", Hard-Boiled Eggs, Chicken Satay Skewers, Moroccan Mint Tea," Ratatouille - 250 calories per portion, 3 portions, may contain onions and garlic"
12,400.0,80.0,150.0,20.0,200.0, Veggie Bagel Sandwich," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Baked Buffalo Cauliflower Bites, Moroccan Mint Tea," Caprese Stuffed Avocado - 200 calories/portion, 4 portions, contains dairy (Italy)
"
