,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,250.0,200.0,20.0,600.0," Aloo paratha (Indian stuffed potato bread) - 350 calories per portion, 2 portions, contains gluten, origin", Sweet Potato and Black Bean Quesadillas, Mini Raspberry Tarts, Moroccan Mint Tea, Chicken Shawarma
2,350.0,250.0,160.0,20.0,480.0," Filipino champorado (chocolate rice porridge) with dried fish (350kcals per portion, 2 portions, origin", Veggie Samosas," Vegan Spinach and Mushroom Tartlets - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Beef and mushroom risotto - 480 kcals per portion, 4 portions, contains lactose, gluten
"
3,300.0,80.0,160.0,100.0,250.0," Cheese omelette - 300 calories per portion, 1 portion, no allergic warnings, origin", Stuffed Dates," Cucumber Bites with Herbed Cream Cheese - 160 kcals per portion, 4 portions, contains dairy (Various)", Israeli salad," Vegan Korean Bibimbap - 250 calories per portion, 2 portions, may contain soy"
4,250.0,250.0,180.0,20.0,305.0, Vegan Cacao Banana Smoothie - 250 calories per portion | 2 portions | None | Origin, Greek Spinach and Feta Puff Pastry, Beetroot and Feta Cheese Salad, Moroccan Mint Tea, Vegan Pho
5,750.0,250.0,200.0,20.0,450.0, Vegan Quinoa Breakfast Cookies, Quinoa and black bean salad, Almond butter energy bites, Moroccan Mint Tea, Tofu Tikka Masala
6,300.0,220.0,170.0,20.0,200.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Salsa with Tortilla Chips, Sweet Corn Fritters, Moroccan Mint Tea, Vegan Chili
7,150.0,90.0,150.0,100.0,550.0, Vegan Breakfast Fruit Pizza, Fruit Salad, Yogurt Parfait, Israeli salad," Chicken and sausage gumbo with white rice - 550 kcals per portion, 4 portions, contains lactose
"
8,200.0,200.0,120.0,100.0,480.0," Yogurt and fruit smoothie (200 calories per portion, 2 portions, contains dairy, American origin)
", Mango Coconut Chia Pudding - Approx, Caprese Pasta Salad, Israeli salad," Teriyaki salmon with jasmine rice – 480 calories per portion, 2 portions, contains fish (origin"
9,450.0,180.0,200.0,100.0,400.0," Zimbabwean sadza (cornmeal porridge) with beef stew - 450 calories per portion, 2 portions, contains gluten, origin", Cantaloupe with Cottage Cheese, Bruschetta with tomato and basil, Israeli salad," Mexican Vegan Pozole (400 calories/portion, 3 portions) - Mexico

"
10,400.0,200.0,150.0,20.0,400.0, Veggie English Breakfast, Vegetable and Lentil Soup - Approx," Vegan Zucchini Bread - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Meatballs with Marinara Sauce
11,500.0,200.0,220.0,100.0,200.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Rice Cakes with Peanut Butter, Quinoa and Black Bean Salad, Israeli salad, Vegan Ratatouille Stuffed Portobello Mushroom
12,300.0,250.0,360.0,100.0,300.0, Shakshuka, Banana Bread, Vegan Zucchini Noodles with Pesto, Israeli salad, Quinoa and Lentil Salad
13,250.0,200.0,100.0,20.0,200.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Vegan Granola Bars, Chocolate Banana Smoothie, Moroccan Mint Tea," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
14,550.0,100.0,260.0,100.0,300.0, Belgian Liege Waffles, Roasted Pumpkin Seeds, Greek Feta and Spinach Patties, Israeli salad," Italian Vegan Minestrone Soup (300 calories/portion, 4 portions) - Italy
"
15,250.0,150.0,160.0,100.0,200.0," Blueberry almond muffins (250 calories per portion, 2 portions, contains nuts, American origin)
"," Mexican Salsa with Tortilla Chips - 150kcals per portion, 2 portions
    Origin", Strawberry Parfait, Israeli salad, Vegetable Stir-Fry
16,350.0,200.0,150.0,100.0,300.0," Filipino champorado (chocolate rice porridge) with dried fish (350kcals per portion, 2 portions, origin", Energy-Boosting Smoothie - Approx, Greek Yogurt Dip with Veggies, Israeli salad, Spicy Lentil and Potato Curry
17,300.0,200.0,80.0,20.0,350.0, Quinoa Porridge, Vegan Yogurt Parfait, Vegan Peanut Butter Energy Bars, Moroccan Mint Tea," Mexican Stuffed Sweet Potatoes - 350 calories/portion, 4 portions, contains black beans (Mexico)
"
18,250.0,250.0,100.0,20.0,450.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Fruit and Nut Yogurt Bowl, Cinnamon Sugar Apple Slices, Moroccan Mint Tea, Tofu Tikka Masala
19,350.0,220.0,560.0,100.0,450.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
", Pita Pizza, Vegan Mediterranean Pasta Salad, Israeli salad," Vegetable Biryani Casserole - 450 calories/portion, 4 portions, contains nuts (India)
"
20,320.0,200.0,120.0,100.0,300.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
", Chocolate Covered Strawberries, Frozen yogurt bark with berries, Israeli salad, Vegetable Curry
21,400.0,240.0,120.0,20.0,360.0, English Muffin Breakfast Pizza, Vegan Pear and Walnut Bread, Banana Oat Cookies, Moroccan Mint Tea, Vegan Chili
22,350.0,180.0,140.0,20.0,350.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Cornbread, Baked Sweet Potato Chips, Moroccan Mint Tea, Portobello Mushroom Burger
23,350.0,60.0,350.0,20.0,400.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
", Fruit Salad - Approx, Eggplant rollatini, Moroccan Mint Tea," Mushroom and Spinach Stroganoff - 400 calories/portion, 4 portions, Origin"
24,350.0,300.0,210.0,100.0,400.0, Banana Nut Muffins, Banana and Blueberry Protein Smoothie," Savory Cheese Bites - 210 kcals per portion, 4 portions, contains gluten, dairy (Various)", Israeli salad," Vegetarian Burrito Bowl - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
25,350.0,200.0,100.0,100.0,450.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Veggie Omelette, Cheese and bacon stuffed mushrooms, Israeli salad," Greek Moussaka - 450 calories per portion, 6 portions, contains dairy (cheese), Origin"
26,400.0,200.0,120.0,20.0,550.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Vegan Banana Bread, Baked Parmesan Zucchini Chips, Moroccan Mint Tea," Vegan Mushroom and Spinach Risotto - 550 calories per portion, 2 portions, may contain mushrooms"
27,150.0,250.0,90.0,20.0,280.0, Vegan Peanut Butter Banana Smoothie, Blueberry Pancakes, Bruschetta, Moroccan Mint Tea, Vegan Tikka Masala
28,200.0,60.0,150.0,100.0,300.0," Spinach and feta breakfast muffins (200 calories per portion, 2 portions, contains dairy, Greek origin)
", Cucumber and tomato salad, Roasted Chickpeas, Israeli salad," Moroccan Couscous with Roasted Vegetables - 300 calories/portion, 4 portions, contains gluten (Morocco)
"
29,300.0,220.0,250.0,100.0,500.0, Vegan Berry Protein Smoothie Bowl, Oatmeal with Blueberries, Thai Mango Sticky Rice, Israeli salad," Grilled salmon with dill sauce and roasted vegetables - 500 kcals per portion, 2 portions, contains lactose
"
30,350.0,250.0,200.0,100.0,600.0," Quinoa breakfast cookies with dried fruits and nuts (350 calories per portion, 2 portions, contains nuts, American origin)
", Rice cakes with cream cheese and smoked salmon, Ratatouille, Israeli salad," BBQ pulled pork sandwiches with coleslaw (600 calories per portion, 2 portions, contains gluten, origin"
31,300.0,250.0,350.0,100.0,280.0, Veggie Breakfast Burrito Bowl," Peanut Butter Banana Roll-Ups - 250kcals per portion, 1 portion
    Origin", Sweet Potato and Black Bean Quesadilla, Israeli salad, Vegan Tikka Masala
32,750.0,250.0,90.0,20.0,400.0, Vegan Quinoa Breakfast Cookies, Zucchini and Carrot Muffins, Zucchini Pizza Bites, Moroccan Mint Tea," Grilled vegetable and halloumi skewers with quinoa (400 calories per portion, 3 portions, contains dairy, origin"
33,400.0,200.0,560.0,100.0,450.0, Turkish Poached Eggs with Yogurt, Savory muffins with ham and cheese, Vegan Pancakes, Israeli salad, Roasted Vegetable Pasta
34,400.0,250.0,150.0,20.0,400.0, Veggie Breakfast Casserole, Avocado Toast with Tomato and Basil," Vegan Ratatouille - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Mexican Vegan Tostadas (400 calories/portion, 2 portions) - Mexico
"
35,300.0,250.0,140.0,100.0,450.0," Blueberry almond smoothie (300 calories per portion, 2 portions, contains nuts, American origin)
"," Peanut Butter Banana Roll-Ups - 250kcals per portion, 1 portion
    Origin"," Maple Roasted Nuts - 140 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Salmon with Lemon Herb Quinoa - 450 calories per portion, 4 portions, no allergic warnings, Origin"
36,350.0,300.0,200.0,100.0,600.0," Moroccan msemen (folded pancakes) with honey (350kcals per portion, 2 portions, origin", Sweet Potato Toast with Peanut Butter, Egg Salad Lettuce Wraps, Israeli salad," Vegan Teriyaki Tofu Bowl - 600 calories per portion, 2 portions, may contain soy"
