,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,180.0,100.0,300.0,250.0, Middle Eastern Shakshuka, Baked Oatmeal Cups," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Dal - 300kcals per portion, 4 portions"," Indian Vegan Baingan Bharta (250 calories/portion, 4 portions) - India
"
2,300.0,190.0,90.0,300.0,200.0, Quinoa Breakfast Bowl, Rice Cakes with Peanut Butter," Baked Eggplant Chips - 90 kcals per portion, 4 portions, gluten-free (Mediterranean)"," Greek Lemon Chicken - 300kcals per portion, 3 portions, gluten-free, Greece
"," Vegan Thai Yellow Curry - 200 calories per portion, 2 portions, may contain tofu"
3,200.0,210.0,200.0,350.0,200.0, Vegan Pumpkin Pancakes, Sweet Potato and Black Bean Quesadilla, Almond Butter Banana Toast, Baked zucchini boats stuffed with ground turkey, Spaghetti Aglio e Olio
4,350.0,300.0,220.0,350.0,150.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin, Veggie Burrito with Black Beans and Rice, Caprese Bruschetta, Chickpea and Vegetable Stew, Ratatouille
5,150.0,150.0,100.0,350.0,200.0, Scrambled Tofu, Baked Sweet Potato Wedges, Cucumber and Watermelon Salad, Vegan BBQ Jackfruit Sandwich, Greek Salad
6,250.0,180.0,120.0,450.0,250.0, Vegan Pancakes - 250 calories per portion | 2 portions | Contains gluten | Origin, Apple Cinnamon Muffins, Rice Paper Rolls with Shrimp, Baked Salmon with Roasted Vegetables," Italian Wedding Soup - 250 calories per portion, 6 portions, contains gluten (pasta), Origin"
7,250.0,160.0,250.0,300.0,280.0," Banana walnut muffins (250 calories per portion, 2 portions, contains nuts, American origin)
", Quinoa Stuffed Mushrooms, Vegetable Samosas, Lentil Burgers," Stuffed portobello mushrooms with spinach and feta – 280 calories per portion, 3 portions, vegetarian-friendly
"
8,250.0,200.0,120.0,350.0,182.0, Muesli with Almond Milk, Mixed Berry Quinoa Salad," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Quinoa Stuffed Summer Squash - 350kcals per portion, 4 portions", Carrot and Ginger Soup
9,250.0,200.0,150.0,400.0,200.0, Ragi (Finger Millet) Pancakes, Avocado Toast, Roasted Chickpeas," Vegetable Biryani - 400 calories
    - Total portions", Vegan Chili
10,250.0,150.0,140.0,400.0,200.0, Vegan Tofu Benedict, Zucchini Fritters, Mozzarella sticks served with marinara sauce," Vegan Hungarian Goulash
Total calories per portion", Greek Salad
11,300.0,200.0,180.0,300.0,250.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Date and Nut Energy Bars - Approx, Vegetable sushi rolls," Moroccan Vegetable Tagine (300 calories per portion, serves 6, contains legumes, origin"," Vegan Black Bean Soup - 250 calories per portion, 3 portions, may contain gluten"
12,350.0,70.0,200.0,250.0,200.0, Shakshuka, Kale chips, Baked Mini Samosas, Vegan Caesar Salad," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
13,220.0,190.0,150.0,350.0,250.0," Scrambled eggs with toast - 220 calories per portion, 2 portions, no allergic warnings, origin", Rice Cakes with Peanut Butter, Mini quinoa sliders, Vegetarian Pad Thai," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
14,400.0,200.0,180.0,400.0,250.0, Nutella Banana Croissant, Chocolate Almond Protein Smoothie," Stuffed Grape Leaves - 180 kcals per portion, 5 portions, may contain nuts (Middle East)"," Salmon with Lemon and Dill - 400 calories per portion, 2 portions, contains fish, International
"," Greek Couscous Salad - 250 calories/portion, 4 portions, contains gluten (Greece)
"
15,400.0,400.0,220.0,450.0,250.0," Quiche Lorraine with spinach (400 calories per portion, 2 portions, contains dairy, French origin)
", Bagel with Cream Cheese and Smoked Salmon - Approx, Cucumber and cream cheese sandwiches, Chicken and Vegetable Curry," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
"
