,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,200.0,200.0,150.0,400.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Red Curry
2,150.0,700.0,700.0,150.0,400.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa
3,150.0,400.0,200.0,150.0,400.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa
4,150.0,700.0,700.0,150.0,400.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Thai Red Curry
5,150.0,250.0,200.0,150.0,400.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai
6,150.0,400.0,200.0,150.0,400.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai
7,150.0,400.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
8,150.0,150.0,700.0,150.0,350.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry
9,150.0,200.0,200.0,150.0,400.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai
10,150.0,200.0,200.0,150.0,350.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry
11,150.0,150.0,700.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
