,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,220.0,220.0,220.0,220.0,400.0, Avocado and Bacon Deviled Eggs, Avocado and Bacon Deviled Eggs, Avocado and Bacon Deviled Eggs, Avocado and Bacon Deviled Eggs, Spanish Tortilla (Potato Omelette)
2,400.0,250.0,220.0,220.0,400.0, Spanish Tortilla (Potato Omelette), Cauliflower Fried Rice, Avocado and Bacon Deviled Eggs, Avocado and Bacon Deviled Eggs, Spanish Tortilla (Potato Omelette)
3,400.0,250.0,220.0,400.0,300.0, Spanish Tortilla (Potato Omelette), Cauliflower Fried Rice, Avocado and Bacon Deviled Eggs, Spanish Tortilla (Potato Omelette), Greek Lemon Chicken Soup
4,220.0,400.0,220.0,220.0,250.0, Avocado and Bacon Deviled Eggs, Spanish Tortilla (Potato Omelette), Avocado and Bacon Deviled Eggs, Avocado and Bacon Deviled Eggs, Cauliflower Fried Rice
5,220.0,300.0,220.0,300.0,250.0, Avocado and Bacon Deviled Eggs, Greek Lemon Chicken Soup, Avocado and Bacon Deviled Eggs, Greek Lemon Chicken Soup, Cauliflower Fried Rice
6,400.0,220.0,220.0,300.0,300.0, Spanish Tortilla (Potato Omelette), Avocado and Bacon Deviled Eggs, Avocado and Bacon Deviled Eggs, Greek Lemon Chicken Soup, Greek Lemon Chicken Soup
7,250.0,400.0,220.0,250.0,300.0, Cauliflower Fried Rice, Spanish Tortilla (Potato Omelette), Avocado and Bacon Deviled Eggs, Cauliflower Fried Rice, Greek Lemon Chicken Soup
8,250.0,400.0,220.0,400.0,300.0, Cauliflower Fried Rice, Spanish Tortilla (Potato Omelette), Avocado and Bacon Deviled Eggs, Spanish Tortilla (Potato Omelette), Greek Lemon Chicken Soup
9,300.0,220.0,220.0,300.0,400.0, Greek Lemon Chicken Soup, Avocado and Bacon Deviled Eggs, Avocado and Bacon Deviled Eggs, Greek Lemon Chicken Soup, Spanish Tortilla (Potato Omelette)
10,300.0,400.0,220.0,250.0,400.0, Greek Lemon Chicken Soup, Spanish Tortilla (Potato Omelette), Avocado and Bacon Deviled Eggs, Cauliflower Fried Rice, Spanish Tortilla (Potato Omelette)
11,250.0,400.0,220.0,250.0,250.0, Cauliflower Fried Rice, Spanish Tortilla (Potato Omelette), Avocado and Bacon Deviled Eggs, Cauliflower Fried Rice, Cauliflower Fried Rice
12,400.0,400.0,220.0,250.0,400.0, Spanish Tortilla (Potato Omelette), Spanish Tortilla (Potato Omelette), Avocado and Bacon Deviled Eggs, Cauliflower Fried Rice, Spanish Tortilla (Potato Omelette)
13,300.0,300.0,220.0,400.0,300.0, Greek Lemon Chicken Soup, Greek Lemon Chicken Soup, Avocado and Bacon Deviled Eggs, Spanish Tortilla (Potato Omelette), Greek Lemon Chicken Soup
14,220.0,250.0,220.0,250.0,300.0, Avocado and Bacon Deviled Eggs, Cauliflower Fried Rice, Avocado and Bacon Deviled Eggs, Cauliflower Fried Rice, Greek Lemon Chicken Soup
