,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,200.0,200.0,20.0,200.0, Poha (Flattened Rice), Almond Joy Protein Bars - Approx," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Spanakopita - 200 calories per portion, 6 portions, contains gluten and dairy (Greece)
"
2,200.0,150.0,180.0,20.0,200.0, Peanut Butter and Banana Smoothie, Mango Coconut Chia Popsicles," Sticky Coconut Rice Balls - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
3,200.0,80.0,180.0,20.0,200.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Mango with Chili Powder, Strawberry and banana smoothie, Moroccan Mint Tea," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
4,150.0,180.0,250.0,20.0,200.0, Fruit Salad, Tomato and Cheese Toast, Baked Samosas, Moroccan Mint Tea, Stuffed Zucchini Boats
5,200.0,220.0,250.0,20.0,220.0, Vegan Breakfast Phyllo Cups, Vegan Protein Bars, Mini Cheesecakes, Moroccan Mint Tea, Lentil and Kale Soup
6,150.0,250.0,180.0,20.0,200.0, Vegan Pancakes, Chocolate banana protein pancakes, Veggie Sausage Rolls, Moroccan Mint Tea," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
7,100.0,350.0,200.0,20.0,180.0, Vegan Breakfast Rice Pudding, Vegetable Spring Rolls with Peanut Dipping Sauce, Baked Sweet Potato Fries, Moroccan Mint Tea, Lentil Soup
8,150.0,250.0,250.0,20.0,200.0, Fruit Salad, Chocolate Banana Smoothie," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)", Moroccan Mint Tea," Stuffed Acorn Squash - 200 calories/portion, 4 portions, Origin"
9,200.0,160.0,250.0,20.0,200.0, Vegan Breakfast Quinoa Salad, Pumpkin Seeds, Tuna salad on whole grain crackers, Moroccan Mint Tea, Zucchini Noodles with Pesto
10,200.0,250.0,150.0,20.0,150.0, Raspberry Coconut Breakfast Bars," Zucchini and Sweet Potato Pancakes - 250kcals per portion, 1 portion
    Origin", Zucchini Pizza Bites with Goat Cheese, Moroccan Mint Tea, Greek Salad
11,150.0,80.0,150.0,20.0,150.0, Vegan Pancakes, Energy Balls, Zucchini chips, Moroccan Mint Tea, Swiss Chard and Lentil Soup
12,150.0,180.0,250.0,20.0,150.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Bell pepper and cream cheese stuffed mushrooms, Tuna salad on whole grain crackers, Moroccan Mint Tea," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
13,150.0,150.0,160.0,20.0,213.0, Fruit Smoothie, Roasted Chickpeas - Approx," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea, Lentil Soup
14,200.0,180.0,120.0,20.0,220.0, Spinach Tomato Feta Frittata, Veggie hash, Apple slices with peanut butter, Moroccan Mint Tea," Shrimp Stir-Fry with Vegetables - 220 calories per portion, 4 portions, contains shellfish, Origin"
15,200.0,150.0,180.0,20.0,80.0, Avocado Toast," Cheese Stuffed Mini Bell Peppers - 150kcals per portion, 2 portions
    Origin", Mini Lemon Bars, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
