,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,120.0,120.0,212.0," Quinoa porridge with coconut milk - 400 calories per portion, 2 portions, no allergic warnings, origin", Mini Frittatas - Approx, Cheese Stuffed Jalapenos," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Caesar Salad
2,200.0,220.0,150.0,100.0,460.0, Spanish Tortilla, Sweet Potato Toast, Yogurt Parfait, Israeli salad, Creamy Vegan Mushroom Pasta
3,250.0,150.0,480.0,120.0,350.0, Vegan Breakfast Pizza, Baked Egg Cups, Vegan Lentil Burgers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
4,350.0,200.0,100.0,120.0,350.0, Sweet Potato and Spinach Breakfast Hash, Quinoa and Vegetable Stuffed Bell Peppers, Hummus with Veggies," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mexican Rice and Bean Stuffed Peppers - 350kcals per portion, 4 portions, contains legumes (Mexico)
"
5,350.0,150.0,180.0,20.0,250.0," Grilled halloumi with tomatoes and cucumber (350kcals per portion, 2 portions, origin", Mediterranean Hummus Dip, Banana-nut muffins, Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
"
6,260.0,200.0,150.0,120.0,420.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
"," Ham and Cheese Pinwheels - 200kcals per portion, 1 portion
    Origin", Stuffed Mushrooms with Cream Cheese," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Pesto Pasta - 420kcals per portion, 2 portions, contains nuts (Italy)
"
7,320.0,180.0,500.0,120.0,300.0," Vegetable and cheese strata (320 calories per portion, 2 portions, contains dairy, American origin)
", Vegan Cornbread, Roasted Vegetable Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Indonesian Gado Gado Salad
8,400.0,200.0,280.0,20.0,400.0," Açai bowl topped with fruits and coconut flakes (400kcals per portion, 1 portion, origin"," Scrambled Eggs on Toast - 200kcals per portion, 1 portion
   Origin"," Greek Spanakopita - 280 kcals per portion, 3 portions, contains gluten, dairy (Greece)", Moroccan Mint Tea," Vegan Gyros - 400 calories per portion, 4 portions, Gluten, Greece
"
9,350.0,150.0,180.0,120.0,250.0," Spanish tortilla with potato and onion (350kcals per portion, 2 portions, origin", Butternut Squash Soup," Berry Parfait - 180 kcals per portion, 2 portions, contains dairy (Various)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lentil Loaf
10,300.0,100.0,90.0,20.0,200.0," Turkish menemen (egg and vegetable scramble) - 300 calories per portion, 2 portions, no allergic warnings, origin", Stuffed Dates - Approx," Cucumber Sandwiches - 90 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
