,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,800.0,120.0,220.0,20.0,350.0, Vegan Breakfast Quiche, Baked Cheese Twists, Avocado and Bacon Deviled Eggs, Moroccan Mint Tea, Veggie Pot Pie
2,900.0,150.0,250.0,20.0,150.0, Vegan Breakfast Shakerato, Coconut Chia Pudding, Peanut Butter Banana Roll-Ups, Moroccan Mint Tea," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
3,1000.0,120.0,90.0,20.0,300.0, Vegan Breakfast Stuffed Avocado, Almond Biscotti, Vegan Energy Balls, Moroccan Mint Tea, Stuffed Bell Peppers
4,280.0,50.0,180.0,20.0,220.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegetable sushi rolls, Moroccan Mint Tea," Quinoa Salad - 220 calories per portion, 4 portions, None, Peru
"
5,300.0,150.0,200.0,20.0,300.0, Omelette with Spinach and Feta, Greek Yogurt with Berries, Ratatouille, Moroccan Mint Tea," Mexican Rice and Beans - 300 calories/portion, 4 portions, contains cilantro (Mexico)
"
6,200.0,150.0,100.0,20.0,300.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin," Yogurt Parfait - 150kcals per portion, 1 portion
   Origin", Baked zucchini fries, Moroccan Mint Tea, Greek Briam (Roasted Vegetables)
7,300.0,120.0,220.0,20.0,400.0, Vegetable Upma, Vegetable Samosas, Chicken Satay Lettuce Wraps, Moroccan Mint Tea," Moroccan Chicken Tagine - 400 calories per portion, 4 portions, no allergic warnings, Origin"
8,250.0,150.0,200.0,20.0,350.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Cauliflower Nuggets, Mediterranean Nachos, Moroccan Mint Tea," Vegetable Tikka Masala - 350 calories/portion, 4 portions, contains dairy (India)
"
9,300.0,150.0,160.0,20.0,250.0, Vegan Cinnamon Rolls - 300 calories per portion | 1 portion | Contains gluten | Origin," Tomato and Mozzarella Skewers - 150kcals per portion, 2 portions
    Origin"," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Moroccan Mint Tea, Quinoa Veggie Stir-Fry
10,400.0,100.0,250.0,20.0,500.0, Veggie Breakfast Casserole, Roasted Chickpeas, Sweet potato and black bean sliders, Moroccan Mint Tea," Chicken Tikka Masala - 500 calories per portion, 4 portions, contains dairy, Origin"
11,400.0,150.0,200.0,20.0,250.0, Veggie Breakfast Bagel Sandwich, Grilled vegetable skewers, Olive Tapenade Crostini, Moroccan Mint Tea," Spinach and Ricotta Stuffed Mushrooms - 250 calories/portion, 4 portions, Origin"
12,400.0,140.0,250.0,20.0,350.0," Lebanese shakshouka with tomatoes, peppers, and eggs (400kcals per portion, 2 portions, origin", Stuffed Jalapeno Poppers, Mini whole wheat pita pizza, Moroccan Mint Tea, Shrimp and Avocado Salad
13,500.0,120.0,280.0,20.0,320.0," Malaysian nasi lemak (coconut rice with condiments) - 500 calories per portion, 2 portions, contains gluten, origin", Cottage Cheese with Tomato, Mediterranean Hummus Wrap, Moroccan Mint Tea, Thai Red Curry with Vegetables
14,250.0,150.0,400.0,20.0,450.0," Smoothie bowl - 250 calories per portion, 1 portion, may contain nuts, origin", Spicy Roasted Chickpeas, Vegan Japanese Mochi, Moroccan Mint Tea, Vegetable Biryani
15,150.0,150.0,200.0,20.0,250.0, Vegan Breakfast Fajitas, Coconut Chia Pudding, Mini Quinoa Stuffed Peppers, Moroccan Mint Tea," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

"
16,350.0,120.0,200.0,20.0,400.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Banana Smoothie, Avocado toast, Moroccan Mint Tea," Vegan Pad Thai - 400 calories per portion, 2 portions, Soy and peanuts, Thailand
"
17,300.0,150.0,200.0,20.0,350.0, Vegan French Toast, Vegan Chocolate Energy Balls, Antipasto Skewers, Moroccan Mint Tea, Eggplant Parmesan
18,350.0,150.0,180.0,20.0,300.0, Blueberry Muffins, Stuffed Mushrooms," Chocolate Covered Pretzels - 180 kcals per portion, 4 portions, contains gluten (USA)", Moroccan Mint Tea, Spicy Lentil and Potato Curry
19,250.0,150.0,180.0,20.0,400.0, Cucumber Sandwich, Chocolate Protein Balls, Cheese and tomato bruschetta, Moroccan Mint Tea," Vegan Shepherd's Pie - 400 calories per portion, 4 portions, None, United Kingdom
"
20,400.0,120.0,900.0,20.0,380.0, Breakfast Quesadilla, Roasted Brussels Sprouts, Vegan Stuffed Mushrooms, Moroccan Mint Tea," Eggplant and chickpea curry with naan bread – 380 calories per portion, 4 portions, vegan-friendly (origin"
21,350.0,80.0,380.0,20.0,200.0," German-style potato pancakes with applesauce - 350 calories per portion, 2 portions, contains gluten, origin", Fruit Salad, Vegan Chocolate Chip Cookies, Moroccan Mint Tea," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
22,400.0,80.0,280.0,20.0,350.0, Aloo Paratha (Potato Stuffed Flatbread), Fresh Watermelon Slices - Approx, Egg salad lettuce wraps, Moroccan Mint Tea, Indonesian Nasi Goreng
23,450.0,120.0,120.0,20.0,350.0, Quinoa Breakfast Bowl, Sautéed Brussels Sprouts, Veggie Sushi Rolls, Moroccan Mint Tea, Stuffed Zucchini
24,450.0,100.0,120.0,20.0,300.0," Mexican chilaquiles with salsa verde and cheese (450kcals per portion, 2 portions, origin", Watermelon Fruit Pizza, Baked Parmesan Zucchini Chips, Moroccan Mint Tea, Quinoa Stuffed Bell Peppers with Cashew Cream
25,400.0,150.0,140.0,20.0,350.0, Vegan Breakfast Hand Pies, Tomato Bruschetta, Baked sweet potato fries, Moroccan Mint Tea, Vegan Stuffed Peppers
26,500.0,110.0,200.0,20.0,350.0, Breakfast Empanadas, Moroccan-style boiled eggs, Mini Chicken Teriyaki Skewers, Moroccan Mint Tea," Tofu and vegetable stir-fry with noodles – 350 calories per portion, 2 portions, vegan-friendly
"
27,350.0,120.0,150.0,20.0,500.0," Haitian pain patate (sweet potato bread) - 350 calories per portion, 2 portions, contains gluten, origin", Almond Biscotti, Vegetable samosa, Moroccan Mint Tea," Miso-glazed salmon with jasmine rice and steamed vegetables - 500 kcals per portion, 2 portions, contains lactose
"
