,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,350.0,250.0,400.0,250.0, Mozzarella and Tomato Bruschetta, Bread Upma, Ragi (Finger Millet) Pancakes, Veggie Breakfast Burrito, Sourdough Toast with Almond Butter
2,250.0,250.0,350.0,400.0,250.0, Mozzarella and Tomato Bruschetta, Banana Bread, Vegan Protein Pancakes, French Toast, Tomato Basil Bruschetta
3,300.0,350.0,250.0,250.0,250.0, Irish Soda Bread, Banana Walnut Bread, Ragi (Finger Millet) Pancakes, Ragi (Finger Millet) Pancakes, Vegan Banana Bread
4,300.0,400.0,350.0,250.0,250.0, Vegan Blueberry Muffins, Veggie Breakfast Pizza Rolls, Veggie Breakfast Strudel, Vegan Banana Bread, Mozzarella and Tomato Bruschetta
5,300.0,400.0,300.0,250.0,250.0, Idli and Sambar, Aloo Paratha (Potato Stuffed Flatbread), Banana Oat Pancakes, Vegan Banana Bread, Tomato Basil Bruschetta
6,300.0,300.0,300.0,400.0,250.0, Irish Soda Bread, Idli and Sambar, Chia Seed Pancakes, Veggie Sausage Breakfast Sandwich, Ragi (Finger Millet) Pancakes
7,250.0,400.0,350.0,300.0,250.0, Ragi (Finger Millet) Pancakes, Veggie Breakfast Burrito, Chocolate Chip Muffins, Idli and Sambar, Ragi (Finger Millet) Pancakes
8,250.0,250.0,350.0,400.0,250.0, Sourdough Toast with Almond Butter, Ragi (Finger Millet) Pancakes, Tomato and Basil Bruschetta Scramble, Nutella Banana Croissant, Mozzarella and Tomato Bruschetta
9,300.0,350.0,250.0,250.0,250.0, Banana Pancakes, Banana Walnut Bread, Cucumber Sandwich, Banana Bread, Tomato Basil Bruschetta
10,300.0,400.0,350.0,350.0,250.0, Banana Pancakes, Vegan Chocolate Waffles, Veggie Breakfast Strudel, Zucchini and Parmesan Muffins, Ragi (Finger Millet) Pancakes
11,300.0,400.0,350.0,300.0,250.0, Banana Oat Pancakes, Strawberry Banana Pancakes, Veggie Breakfast Strudel, Idli and Sambar, Vegan Banana Bread
12,300.0,250.0,400.0,400.0,250.0, Idli and Sambar, Ragi (Finger Millet) Pancakes, Veggie Sausage Breakfast Sandwich, Sourdough Biscuits and Mushroom Gravy, Banana Bread
13,250.0,400.0,250.0,400.0,250.0, Ragi (Finger Millet) Pancakes, Veggie Breakfast Burrito, Banana Bread, Veggie Breakfast Burrito, Mozzarella and Tomato Bruschetta
14,300.0,300.0,350.0,300.0,250.0, Feta and Spinach Muffins, Idli and Sambar, Apple Cinnamon Muffins, Pancakes with Maple Syrup, Tomato Basil Bruschetta
15,250.0,250.0,350.0,300.0,250.0, Vegan Banana Bread, Tomato Basil Bruschetta, Zucchini and Parmesan Muffins, Idli and Sambar, Vegan Banana Bread
16,300.0,300.0,400.0,350.0,250.0, Banana Pancakes, Vegan Blueberry Muffins, Nutella Banana Croissant, Apple Cinnamon Muffins, Sourdough Toast with Almond Butter
17,250.0,250.0,300.0,400.0,250.0, Cucumber Sandwich, Sourdough Toast with Almond Butter, Pancakes with Maple Syrup, Veggie Breakfast Burrito, Cucumber Sandwich
18,300.0,350.0,300.0,250.0,250.0, Banana Oat Pancakes, Mushroom and Spinach Breakfast Quesadilla, Vegan Blueberry Muffins, Vegan Banana Bread, Sourdough Toast with Almond Butter
19,250.0,300.0,400.0,250.0,250.0, Vegan Banana Bread, Chia Seed Pancakes, Veggie Breakfast Burrito, Tomato Basil Bruschetta, Vegan Banana Bread
20,300.0,400.0,250.0,350.0,250.0, Irish Soda Bread, Veggie Breakfast Pizza Rolls, Tomato Basil Bruschetta, Apple Cinnamon Muffins, Ragi (Finger Millet) Pancakes
21,250.0,400.0,400.0,350.0,250.0, Tomato Basil Bruschetta, Veggie Sausage Breakfast Sandwich, Aloo Paratha (Potato Stuffed Flatbread), Blueberry Muffins, Vegan Banana Bread
22,300.0,350.0,250.0,300.0,250.0, Vegan Blueberry Muffins, Tomato and Basil Bruschetta Scramble, Sourdough Toast with Almond Butter, Vegan Blueberry Muffins, Tomato Basil Bruschetta
23,300.0,300.0,350.0,300.0,250.0, Banana Oat Pancakes, Banana Pancakes, Vegan Protein Pancakes, Chia Seed Pancakes, Mozzarella and Tomato Bruschetta
24,250.0,400.0,400.0,400.0,250.0, Tomato Basil Bruschetta, Mexican Sopes, Veggie Sausage Breakfast Sandwich, Vegan Chocolate Waffles, Banana Bread
25,300.0,350.0,350.0,250.0,250.0, Feta and Spinach Muffins, Banana Nut Muffins, Lemon Poppy Seed Pancakes, Sourdough Toast with Almond Butter, Cucumber Sandwich
