,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,60.0,300.0,150.0,350.0," Bangladeshi panta bhat (fermented rice) with fried hilsa fish - 400 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad, Mini Pita Pizzas," Lentil Soup - 150 calories
   - Total portions", Lentil and Vegetable Curry with Coconut Milk
2,400.0,60.0,280.0,180.0,300.0, Shakshuka with Merguez Sausage, Cucumber and tomato salad, Mini Margherita Pizzas, Lentil and Vegetable Soup, Veggie Korma
3,200.0,50.0,150.0,150.0,350.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cucumber and Cream Cheese Sandwiches, Butternut squash soup," Chinese Vegan Sweet and Sour Tofu (350 calories/portion, 2 portions) - China
"
4,350.0,50.0,200.0,150.0,350.0, Tofu Scramble," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegetable Dumplings, Lentil and Vegetable Soup," Vegan Burger - 350 calories per portion, 4 portions, Gluten, United States
"
5,350.0,60.0,120.0,120.0,250.0," Moroccan msemen (thin layered pastry) with honey - 350 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad, Tomato and Mozzarella Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
6,400.0,50.0,180.0,150.0,250.0," Chicken sausage and vegetable stir-fry (400kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegetable sushi rolls, Veggie Spring Rolls," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
7,400.0,50.0,200.0,150.0,350.0," Veggie breakfast quesadilla (400 calories per portion, 2 portions, nut-free, Mexican origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Ratatouille," Greek Salad - 150 calories
   - Total portions"," Vegetable Bolognese - 350 calories/portion, 4 portions, contains gluten (Italy)
"
8,400.0,60.0,150.0,150.0,200.0, Tomato Basil Quiche, Cucumber and tomato salad, Greek Yogurt Dip with Veggies," Greek Salad - 150kcals per portion, 2 portions"," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
9,300.0,50.0,150.0,180.0,300.0," Almond butter and banana toast (300 calories per portion, 2 portions, contains nuts, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Guacamole with tortilla chips, Roasted beet and feta salad, Ratatouille-Stuffed Peppers
10,450.0,50.0,140.0,150.0,280.0, Veggie Breakfast Burritos, Baked Apple Chips - Approx, Greek Yogurt Bark, Tomato and Basil Bruschetta," Greek Tomato Fritters - 280kcals per portion, 4 portions
"
11,400.0,60.0,150.0,150.0,246.0, Pancakes with Maple Syrup, Cucumber and tomato salad, Caprese Skewers, Spinach and feta stuffed bell peppers, Black Bean and Corn Salad
12,300.0,50.0,120.0,150.0,350.0," Berry chia seed smoothie (300 calories per portion, 2 portions, nut-free, American origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie spring rolls with peanut sauce, Lentil and Vegetable Soup, Vegan Butternut Squash Ravioli
13,250.0,50.0,180.0,150.0,300.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Bruschetta - 180 kcals per portion, 4 portions, contains gluten (Italy)"," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Indian-Style Spinach and Chickpeas
14,550.0,60.0,200.0,180.0,300.0, Breakfast Paella, Fruit Salad - Approx, Mini Quinoa Stuffed Peppers, Spinach and artichoke dip," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
15,380.0,50.0,180.0,150.0,200.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Kale smoothie with pineapple and coconut water, Thai Tom Yum Soup, Spaghetti Aglio e Olio
16,450.0,50.0,90.0,180.0,200.0, Vegan Breakfast Muffuletta," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Zucchini fritters, Mexican avocado and black bean salad, Greek Salad
17,300.0,50.0,250.0,120.0,320.0, Vegan Oatmeal Raisin Cookies," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Spinach and Ricotta Calzones," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Mediterranean Pasta Salad
18,300.0,50.0,190.0,150.0,350.0, Shakarkandi ki Chaat (Sweet Potato Chaat)," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Cucumber sushi rolls, Lentil and vegetable soup," Chickpea Salad - 350 calories/portion, 4 portions, Origin"
19,380.0,60.0,90.0,150.0,300.0," Breakfast BLT with avocado (380 calories per portion, 2 portions, contains dairy, American origin)
", Cucumber and tomato salad, Buffalo cauliflower dip with celery sticks, Lentil and vegetable frittata, Spicy Lentil and Potato Curry
20,150.0,50.0,120.0,180.0,350.0, Greek Yogurt with Berries," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Zucchini Fritters, Roasted beet and feta salad," Coconut Curry Shrimp - 350 calories per portion, 4 portions, contains shellfish, Origin"
21,200.0,60.0,120.0,150.0,350.0, Peanut Butter and Banana Smoothie, Cucumber and tomato salad, Baked Parmesan Zucchini Chips, Lentil and Vegetable Soup," Vegan Chili - 350 calories per portion, 4 portions, None, United States
"
22,400.0,60.0,400.0,180.0,300.0," Quinoa and black bean breakfast bowl (400 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad - Approx, Vegan Caesar Salad, Greek pumpkin and feta salad," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
23,500.0,50.0,70.0,150.0,350.0," American biscuits and gravy with sausage (500kcals per portion, 2 portions, pork allergies, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie Spring Rolls, Greek Taramasalata," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
24,350.0,50.0,120.0,150.0,200.0," Irish soda bread with butter and jam - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx, Tomato and Mozzarella Skewers, Lentil Soup," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
25,250.0,60.0,100.0,150.0,300.0, Vegan Breakfast Bruschetta, Fruit Salad - Approx, Guacamole Deviled Eggs, Tom Yum Soup, Chickpea Tikka Masala
26,400.0,50.0,120.0,150.0,250.0, Turkish Pogaca, Baked Apple Chips - Approx, Watermelon and feta skewers, Spinach and cheese stuffed tomatoes, Lebanese Tabbouleh
27,300.0,60.0,70.0,150.0,350.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad - Approx," Fruit Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille," Quinoa Stuffed Bell Peppers with Cheese - 350 calories/portion, 4 portions, Origin"
28,200.0,50.0,120.0,180.0,305.0," Oatmeal with berries - 200 calories per portion, 2 portions, no allergic warnings, origin", Baked Apple Chips - Approx, Frozen yogurt bark with berries," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
", Vegan Baked Ziti
29,350.0,50.0,280.0,150.0,350.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie Bruschetta Pizza, Ratatouille, Vegan Butter Chicken
30,350.0,50.0,180.0,180.0,300.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips - Approx, Pita Bread with Hummus, Tomato and basil bruschetta," Chinese Vegan Tomato and Tofu Soup (300 calories/portion, 4 portions) - China
"
31,350.0,50.0,190.0,150.0,250.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Cucumber sushi rolls, Spinach and ricotta stuffed tomatoes," Moroccan Lentil Salad - 250 calories per portion, 4 portions, None, Morocco
"
32,300.0,60.0,440.0,150.0,300.0, Mushroom and Spinach Vegan Quiche, Cucumber and tomato salad, Vegan Gyoza, Butternut squash soup," Vegetable Fajitas - 300 calories/portion, 4 portions, contains gluten (Mexico)
"
33,350.0,60.0,210.0,150.0,250.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Cucumber and tomato salad, Veggie Pizza Bagels, Lentil and Vegetable Soup, Vegan Nachos
34,300.0,50.0,150.0,150.0,350.0, Vegan Breakfast Tiramisu," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Zucchini Fritters, Tomato and Basil Bruschetta," Mushroom and spinach risotto - 350 kcals per portion, 4 portions, vegetarian, contains lactose
"
35,400.0,50.0,100.0,150.0,310.0," Breakfast quesadilla - 400 calories per portion, 1 portion, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Chocolate Covered Strawberries, Tomato Basil Soup," Spinach and Feta Stuffed Peppers - 310kcals per portion, 4 portions, contains dairy
"
36,350.0,60.0,120.0,150.0,220.0," Afghan bolani (stuffed flatbread) with yogurt sauce - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber and tomato salad," Caprese salad skewers (cherry tomatoes, mozzarella, basil)", Gazpacho Soup, Grilled Vegetable Skewers
37,300.0,60.0,120.0,150.0,350.0," Cheese omelette - 300 calories per portion, 1 portion, no allergic warnings, origin", Cucumber and tomato salad," Vegan Chocolate Chip Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and vegetable frittata," Greek Salad with Grilled Chicken - 350 calories per portion, 4 portions, contains dairy (cheese), Origin"
38,200.0,60.0,80.0,150.0,250.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Cucumber and tomato salad," Baked Kale Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin"," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," Vegan Lentil and Vegetable Casserole - 250 calories per portion, 4 portions, may contain gluten"
39,500.0,60.0,360.0,165.0,250.0," Malaysian nasi lemak (coconut rice with condiments) - 500 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad, Vegetable Tempura," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin", Vegan Stuffed Bell Peppers
40,550.0,50.0,180.0,150.0,350.0, Sausage Gravy and Biscuits," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie Quesadillas, Ratatouille, Mexican Quinoa Casserole
41,300.0,50.0,200.0,165.0,320.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Baked Apple Chips - Approx, Avocado Toast," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Vegetable curry with basmati rice – 320 calories per portion, 4 portions, vegan-friendly (origin"
42,350.0,50.0,180.0,180.0,300.0, Spinach and Goat Cheese Omelette, Baked Apple Chips - Approx, Spinach and cheese stuffed mushrooms, Mexican black bean and corn salad, Greek Lemon Chicken Soup
43,400.0,50.0,150.0,150.0,350.0," Caprese breakfast sandwich with avocado (400 calories per portion, 2 portions, contains dairy, Italian origin)
", Baked Apple Chips - Approx, Veggie Kabobs," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Mexican Rice Casserole - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
44,200.0,50.0,80.0,180.0,350.0, Vegan Blueberry Pancakes," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Coconut macaroons, Mexican black bean and corn salad," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
45,400.0,50.0,90.0,150.0,360.0, Breakfast Stuffed Peppers," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Fresh Fruit Salad - 90 kcals per portion, 4 portions, gluten-free (Various)"," Greek Salad - 150 calories
   - Total portions", Vegan Chili
46,400.0,60.0,120.0,180.0,300.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
", Fruit Salad - Approx," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin", Mexican black bean and corn salad," Vegetable Fajitas - 300 calories/portion, 4 portions, contains gluten (Mexico)
"
