,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,180.0,160.0,350.0,200.0, Vegan Pumpkin Spice Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Vegan Blueberry Scones," Vegan Coconut Curry Rice Balls - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegetable Stir-Fry with Tofu
Total calories per portion"," Quinoa Salad - 200 calories per portion, 2 portions, may contain nuts"
2,350.0,250.0,110.0,350.0,200.0, Vegan Breakfast Croissant, Sweet Potato and Black Bean Quesadillas," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Sloppy Joes, Lentil and Vegetable Bolognese
3,250.0,300.0,200.0,250.0,220.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin, Vegan Omelette with Tofu," Vegan Baked Raspberry Oatmeal - 200 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Avocado Salad, Grilled Vegetable Skewers
4,150.0,230.0,80.0,350.0,200.0, Chia Pudding - 150 calories per portion | 1 portion | None | Origin, Vegan Pumpkin Pie Smoothie, Vegan Peanut Butter Energy Bars," Mediterranean Baked Falafel
Total calories per portion", Lentil and Vegetable Soup
5,350.0,200.0,240.0,300.0,150.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin, Baked Falafel, Vegan Stuffed Portobello Mushrooms, Vegan Thai Yellow Curry," Lentil Soup - 150 calories per portion, 6 portions, None, Various
"
6,250.0,200.0,120.0,300.0,200.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Vegan Chocolate Mousse," Roasted Cauliflower Bites - 120 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Meatballs, Spaghetti Aglio e Olio
7,300.0,150.0,130.0,350.0,180.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Almond Joy Energy Bites," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Stuffed Zucchini, Mediterranean Salad
8,250.0,200.0,140.0,350.0,220.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegan Protein Bars," Cauliflower Buffalo Wings - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pesto Pasta with Roasted Tomatoes, Lentil Soup with Quinoa
9,250.0,200.0,120.0,300.0,200.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Banana Sushi," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Middle Eastern Falafel Salad
Total calories per portion"," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
10,150.0,150.0,160.0,450.0,150.0, Vegan Peanut Butter Banana Smoothie, Spicy Roasted Chickpeas," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Lasagna
Total calories per portion", Lentil Soup
11,200.0,250.0,200.0,350.0,200.0, Vegan Breakfast Enchiladas, Vegan Chocolate Banana Bread," Vegan Broccoli Pesto Pasta - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Moussaka," Butternut Squash Soup - 200 calories per portion, 4 portions, None, Various
"
12,300.0,150.0,220.0,200.0,182.0, Vegan Chocolate Protein Shake - 300 calories per portion | 1 portion | None | Origin, Cucumber Avocado Rolls, Baked Sweet Potato Fries," Lentil Soup
Total calories per portion", Carrot and Ginger Soup
13,300.0,150.0,80.0,200.0,180.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Vegan Raspberry Thumbprint Cookies," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Soup," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
14,250.0,150.0,160.0,300.0,220.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Cucumber Avocado Rolls," Grilled Portobello Mushroom Burger - 160 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and Quinoa Salad," Quinoa Salad - 220 calories per portion, 4 portions, None, Peru
"
15,100.0,250.0,120.0,250.0,220.0, Vegan Breakfast Falafel, Vegan Potato Pancakes," Roasted Cauliflower Bites - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Mushroom Risotto, Lentil Soup with Quinoa
16,350.0,200.0,160.0,350.0,150.0, Vegan Breakfast Bars, Vegan Blueberry Chia Pudding," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lasagna, Chickpea Salad
17,300.0,150.0,120.0,350.0,208.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Spicy Roasted Chickpeas," Vegan Pumpkin Spice Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pesto Pasta with Roasted Tomatoes, Spinach and Mushroom Quesadillas
18,300.0,200.0,200.0,200.0,200.0, Vegan Breakfast Tiramisu, Vegan Yogurt Parfait," Vegan Strawberry Banana Smoothie - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Zucchini Bread," Black Bean and Corn Salad - 200 calories per portion, 4 portions, None, Various
"
19,200.0,120.0,180.0,450.0,180.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Roasted Chickpeas," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Moussaka
Total calories per portion", Ratatouille
