,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,120.0,250.0,120.0,300.0, Almond Croissant, Banana Smoothie, Vegetarian Chili," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie Burger with Sweet Potato Fries - 300 calories/portion, 4 portions, Origin"
2,400.0,120.0,170.0,150.0,380.0, Vegetarian Quiche Lorraine, Vegetable Samosas, Mini Quiches, Butternut squash soup," Quinoa Salad with Avocado and Black Beans - 380kcals per portion, 4 portions, contains legumes
"
3,300.0,120.0,250.0,150.0,350.0, Tomato Basil Avocado Toast, Cinnamon Sugar Pretzels, Rice Paper Rolls with Peanut Sauce, Spinach and cheese stuffed tomatoes," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
4,300.0,100.0,180.0,150.0,250.0, Banana Pancakes, Roasted Chickpeas, Black Bean Brownies, Spinach and mushroom frittata," Black Bean Tacos - 250 calories/portion, 4 portions, Origin"
5,300.0,80.0,280.0,150.0,400.0, Hash Brown Casserole, Cheesy Popcorn, Cucumber and Avocado Sushi, Spinach and ricotta stuffed tomatoes," Eggplant and Tomato Pasta - 400 calories/portion, 4 portions, Origin"
6,300.0,100.0,190.0,150.0,250.0, Vegan Breakfast Burrito, Cucumber and Tomato Salad, Cucumber and Avocado Gazpacho, Lentil and vegetable soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)

Please note that these calorie estimates are approximate and can vary based on specific ingredients and portion sizes used"
7,250.0,120.0,250.0,150.0,250.0, Greek Yogurt Parfait Bowl, Bruschetta with Tomato and Basil, Quinoa Stuffed Bell Peppers, Spinach and ricotta stuffed tomatoes," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
8,250.0,120.0,200.0,150.0,200.0, Blueberry Oatmeal Breakfast Bars, Tomato and Basil Bruschetta, Banana Bread, Spinach and cheese stuffed tomatoes," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
9,450.0,80.0,160.0,150.0,350.0, Nutella Stuffed French Toast, Mango with Chili Powder, Pita Bread and Hummus, Gazpacho Soup, Roasted Vegetable Quinoa Bowls
10,200.0,100.0,70.0,150.0,450.0, Quinoa Veggie Breakfast Skillet, Cucumber Sandwiches, Stuffed Cherry Tomatoes, Caprese Salad, Thai Pineapple Fried Rice
11,250.0,100.0,250.0,150.0,450.0, Mozzarella and Tomato Bruschetta, Roasted Beetroot Chips, Mini Pizzas, Lentil and vegetable frittata, Tofu Tikka Masala
12,300.0,100.0,280.0,150.0,400.0, Chia Seed Pancakes, Berry Chia Detox Water, Sweet Potato and Black Bean Quesadillas, Butternut squash soup," Vegan Lentil Bolognese - 400 calories/portion, 4 portions, contains gluten (Italy)
"
13,250.0,100.0,160.0,165.0,400.0, Overnight Oats, Roasted Chickpeas, Roasted Eggplant Dip," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Coconut curry noodles - 400 calories per portion, 4 portions, contains gluten
"
14,250.0,120.0,200.0,150.0,350.0, Buckwheat Porridge, Cinnamon Sugar Pretzels, Egg Salad Lettuce Wraps, Butternut squash soup," Stuffed Bell Peppers with Quinoa and Corn - 350 calories/portion, 4 portions, Origin"
15,250.0,100.0,70.0,150.0,350.0, Vegan Blueberry Chia Pancakes, Berry Chia Detox Water, Greek Cucumber Cups, Spinach and mushroom frittata," Quinoa and Black Bean Burritos - 350 calories/portion, 4 portions, Origin"
16,300.0,120.0,140.0,160.0,200.0, Acai Bowl, Cottage Cheese with Sliced Tomato, Roasted Red Pepper Dip with Pita Chips," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
17,200.0,80.0,180.0,120.0,350.0, Mini Vegetable Quiche, Kale Chips, Crispy Tofu Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spaghetti with Marinara Sauce - 350 calories/portion, 4 portions, contains gluten (Italy)
"
18,250.0,80.0,130.0,150.0,350.0, Cucumber Sandwich, Fruit Salad, Mini Vegetable Quesadillas," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Mexican Stuffed Sweet Potatoes - 350 calories/portion, 4 portions, contains black beans (Mexico)
"
19,400.0,90.0,200.0,150.0,400.0, Veggie Breakfast Skillet, Rice Paper Rolls, Baked Falafel, Spinach and mushroom frittata," Vegan Lentil Bolognese - 400 calories/portion, 4 portions, contains gluten (Italy)
"
