,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,70.0,200.0,20.0,200.0," Spinach and feta pastry turnovers (300kcals per portion, 2 portions, dairy allergies)
", Kale chips, Almond butter energy bites, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 200 kcals per portion, 4 portions, vegetarian, gluten-free
"
2,350.0,50.0,150.0,20.0,250.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Tzatziki Dip with Pita Bread, Moroccan Mint Tea," Veggie Egg Fried Rice - 250 calories/portion, 4 portions, Origin"
3,400.0,60.0,100.0,20.0,220.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Fruit Salad - Approx," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Chickpea Salad
4,350.0,50.0,120.0,20.0,250.0, Cranberry Orange Muffins," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Oven-Baked Sweet Potato Fries, Moroccan Mint Tea, Black Bean Tacos
5,300.0,50.0,150.0,20.0,200.0," Apple cinnamon oatmeal bake - 300 calories per portion, 2 portions, contains gluten, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Olive Tapenade with Pita Bread, Moroccan Mint Tea, Vegan Bibimbap
6,250.0,50.0,180.0,20.0,150.0, Veggie Omelette," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Thai Fresh Spring Rolls, Moroccan Mint Tea," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
7,150.0,70.0,150.0,20.0,250.0, Vegan Breakfast Fruit Pizza, Kale chips, Black Bean and Corn Salsa with Tortilla Chips, Moroccan Mint Tea, Lentil Salad
8,300.0,50.0,250.0,20.0,250.0," Thai coconut rice pudding with mango (300kcals per portion, 2 portions, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegetable Samosas, Moroccan Mint Tea," Quinoa Stuffed Mushrooms - 250 calories per portion, 4 portions, no allergic warnings, Origin"
9,300.0,70.0,180.0,20.0,250.0," Chocolate avocado smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Kale chips, Guacamole with vegetable sticks, Moroccan Mint Tea," Baked Cod with Lemon and Garlic - 250 calories per portion, 4 portions, no allergic warnings, Origin"
10,350.0,70.0,90.0,20.0,250.0," Egg and cheese breakfast sandwich - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Kale chips, Shrimp cocktail, Moroccan Mint Tea, Tofu and Vegetable Skewers
11,350.0,60.0,180.0,20.0,200.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Fruit Salad - Approx, Lentil Salad, Moroccan Mint Tea," Baked Falafel - 200 calories/portion, 4 portions, Origin"
