,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,250.0,280.0,350.0,300.0, Mushroom Tacos, Vegan Nachos, Vegan Lemon Poppy Seed Muffins, Vegan Tacos, Vegan Bao Buns
2,400.0,400.0,480.0,620.0,400.0, Vegan Paella, Vegan Tamales, Spinach and Mushroom Quesadillas, Bean Burritos, Vegan Carbonara
3,400.0,450.0,460.0,320.0,200.0, Vegan Ramen, Mushroom Risotto, Veggie Tacos, Vegan Mediterranean Flatbread Pizza, Vegan Goulash
4,400.0,800.0,150.0,460.0,200.0, Falafel Wrap, Vegan Mexican Churros, Vegan Banana Bread, Veggie Tacos, Mexican Rice Bowl
5,400.0,320.0,400.0,200.0,300.0, Sweet Potato and Black Bean Enchiladas, Vegan Breaded Zucchini Sticks, Zucchini Fritters, Mexican Rice Bowl, Veggie Fajitas
6,200.0,400.0,560.0,300.0,400.0, Mexican Rice Bowl, Vegan Meatballs with Marinara Sauce, Vegan Chickpea Salad Sandwich, Vegan Spaghetti Carbonara, Lentil Bolognese
7,280.0,300.0,320.0,350.0,350.0, Vegan Lemon Poppy Seed Muffins, Vegan Spaghetti Carbonara, Vegan Mediterranean Flatbread Pizza, Soba Noodle Stir-Fry, Vegan BBQ Sandwich
8,400.0,560.0,460.0,400.0,200.0, Sweet Potato and Black Bean Enchiladas, Vegan Chickpea Salad Sandwich, Veggie Tacos, Falafel Wrap, Lentil and Vegetable Bolognese
9,300.0,300.0,160.0,300.0,400.0, Veggie Spring Rolls, Vegan Spaghetti Carbonara, Vegan Spinach and Mushroom Puff Pastry, Jackfruit Tacos, Lentil Bolognese
10,350.0,400.0,240.0,380.0,350.0, Vegan BBQ Sandwich, Lentil Bolognese, Vegan Spinach Dip with Pita Chips, Vegan Chocolate Chip Cookies, Vegan Tacos
11,350.0,400.0,320.0,380.0,300.0, Veggie Burger, Spaghetti Aglio e Olio, Quinoa Salad, Vegan Chocolate Chip Cookies, Vegan Spaghetti Carbonara
12,360.0,400.0,240.0,960.0,400.0, Vegetable Tempura, Falafel Wrap, Vegan Spinach Dip with Pita Chips, Vegan Buffalo Cauliflower Pizza, Spaghetti Aglio e Olio
13,300.0,200.0,400.0,760.0,350.0, Vegan Bao Buns, Stuffed Grape Leaves, Zucchini Fritters, Moroccan Couscous, Mushroom Risotto Stuffed Peppers
14,400.0,160.0,480.0,350.0,350.0, Spaghetti Aglio e Olio, Vegan Spinach and Mushroom Puff Pastry, Vegan Lentil Burgers, Soba Noodle Stir-Fry, Mushroom Tacos
15,400.0,250.0,320.0,350.0,450.0, Vegan Ramen, Cauliflower Buffalo Wings, Quinoa Salad, Veggie Burger, Ratatouille Tart
16,280.0,480.0,320.0,350.0,400.0, Vegan Lemon Poppy Seed Muffins, Spinach and Mushroom Quesadillas, Vegan Breaded Zucchini Sticks, Vegan Tacos, Lentil Bolognese
17,250.0,740.0,520.0,480.0,400.0, Vegan Fettuccine Alfredo, Vegan Buffalo Cauliflower Wings, Vegan Spinach and Artichoke Crostini, Vegan Lentil Burgers, Spaghetti Aglio e Olio
18,160.0,740.0,380.0,400.0,400.0, Vegan Spinach and Mushroom Puff Pastry, Vegan Buffalo Cauliflower Wings, Vegan Chocolate Chip Cookies, Vegan Pastrami Reuben Sandwich, Vegan Pastrami Reuben Sandwich
19,300.0,320.0,560.0,300.0,250.0, Vegan Bao Buns, Quinoa Salad, Vegan Pancakes, Vegan Bao Buns, Vegan Nachos
20,350.0,480.0,480.0,440.0,350.0, Veggie Burger, Vegan Lentil Burgers, Spinach and Mushroom Quesadillas, Vegan Gyoza, Vegan Ravioli
21,440.0,250.0,480.0,720.0,400.0, Vegan Gyoza, Vegan Nachos, Spinach and Mushroom Quesadillas, Vegetable Samosas, Vegan Tamales
