,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,80.0,200.0,400.0,230.0, Coconut Milk Rice Pudding, Apple with Cinnamon, Baked Falafel," Moroccan Couscous Salad
Total calories per portion"," Quinoa-Stuffed Bell Peppers - 230kcals per portion, 4 portions, gluten-free
"
2,400.0,90.0,90.0,500.0,250.0, Vegan Breakfast Hand Pies, Fruit Salad," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Lentil and Spinach Pasta - 500kcals per portion, 4 portions"," Moroccan Chickpea Stew (250 calories/portion, 4 portions) - Morocco
"
3,300.0,80.0,300.0,200.0,250.0," Avocado toast - 300 calories per portion, 2 portions, may contain gluten, origin", Energy Balls, Mini Bagel Pizzas, Vegan Mexican Street Corn," Spinach and Ricotta Stuffed Mushrooms - 250 calories/portion, 4 portions, Origin"
4,300.0,80.0,150.0,180.0,220.0, Vegan Breakfast Stromboli, Fresh Watermelon Slices - Approx, Guacamole with tortilla chips, Tomato and basil bruschetta," Greek Salad - 220kcals per portion, 4 portions, contains dairy
"
5,300.0,80.0,160.0,280.0,200.0, Irish Soda Bread, Kale Chips, Chocolate Dipped Pretzels," Black Bean Soup - 280kcals per portion, 4 portions, contains legumes
"," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
6,300.0,50.0,100.0,350.0,250.0, Mediterranean Chickpea Scramble, Baked Apple Chips - Approx," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin", Mexican Chicken Quesadilla," Vegan Tofu Scramble - 250 calories per portion, 4 portions, None, Various
"
7,300.0,80.0,250.0,320.0,200.0, Vegan Buckwheat Banana Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips, Spinach and Mushroom Stuffed Phyllo Triangles," Lentil and Vegetable Stir-Fry - 320kcals per portion, 2 portions, contains legumes
"," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
8,320.0,90.0,250.0,300.0,250.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Vegetarian Spring Rolls, Sweet Potato and Black Bean Wraps, Vegan Pita Pizza," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
9,400.0,80.0,400.0,200.0,250.0," Bangladeshi panta bhat (fermented rice) with fried hilsa fish - 400 calories per portion, 2 portions, contains gluten, origin", Kale Chips, Mini Chicken Pot Pies, Moroccan Harira Soup," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
10,280.0,80.0,90.0,250.0,200.0," Cottage cheese and tomato on rye bread (280 calories per portion, 2 portions, contains dairy, Russian origin)
", Avocado Deviled Eggs, Zucchini Pizza Bites, Vegan Moroccan Chickpea Salad," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
11,350.0,50.0,90.0,300.0,200.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Watermelon Feta Bites," Moroccan Quinoa Pilaf with Roasted Vegetables (300 calories per portion, serves 6, contains legumes, origin", Greek Salad
12,250.0,80.0,250.0,300.0,250.0, Vegan Sausage and Biscuits, Fruit Salad," Cheese Puffs - 250 kcals per portion, 2 portions, contains gluten, dairy (France)", Vegan Stuffed Bell Peppers with Quinoa and Black Beans," Chickpea Curry - 250 calories/portion, 4 portions, contains garlic and onions (India)
"
13,300.0,80.0,130.0,200.0,150.0, Cheesy Grits, Mango with Chili Powder, Greek Yogurt with Cinnamon and Honey, Tom Yum Soup, Cauliflower Fried Rice
14,350.0,80.0,200.0,400.0,180.0," Scottish porridge with honey and berries (350kcals per portion, 2 portions, origin", Fruit Salad, Mini Spanakopitas, Vegan Thai Pineapple Fried Rice with Tofu, Tofu Stir-Fry
15,200.0,80.0,180.0,300.0,260.0, Apple Cinnamon Porridge, Fruit Salad, Grilled Halloumi Skewers," Greek Tzatziki Sauce with Pita Bread - 300 calories per portion, 4 portions, contains dairy, Greek
"," Greek Spanakopita - 260kcals per portion, 4 portions, contains dairy (Greece)
"
16,150.0,50.0,250.0,500.0,250.0, Vegan Pancakes," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Guacamole with Tortilla Chips," Greek Moussaka with Eggplant and Beef (500 calories per portion, serves 2, contains dairy and eggs, origin"," Greek Spinach Pie (Spanakopita) - 250 calories/portion, 6 portions, Origin"
17,250.0,80.0,130.0,500.0,170.0, Banana and Almond Butter Toast, Fresh Squeezed Orange Juice, Mini Vegetable Quesadillas," Baked Ziti with Eggplant and Cheese - 500 calories
    - Total portions", Miso Soup with Tofu and Vegetables
18,350.0,90.0,120.0,250.0,220.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin", Turkish-style boiled eggs, Greek Feta Dip with Veggies," Vietnamese Pho Soup with Tofu (250 calories per portion, serves 4, contains gluten, soy, and sesame, origin", Quinoa and Vegetable Stir Fry
19,350.0,50.0,220.0,400.0,200.0," Greek spanakopita (spinach pie) with phyllo dough (350kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Caramelized Onion Tart," Moroccan Vegetable Tagine
Total calories per portion", Vegan Bibimbap
20,400.0,50.0,150.0,400.0,150.0, Vegan Chocolate Waffles," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Edamame Salad," Vegan Black Bean and Quinoa Salad
Total calories per portion", Butternut Squash Soup
21,200.0,70.0,250.0,280.0,250.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Fresh Fruit Salad, Spinach and Feta Rolls," Tofu Stir-Fry - 280kcals per portion, 2 portions, contains soy (China)
", Mediterranean Couscous Salad
22,350.0,80.0,150.0,350.0,250.0," Ethiopian injera (sourdough flatbread) with lentil stew (350kcals per portion, 2 portions, origin", Hard-Boiled Eggs, Caprese Salad Skewers, Vegan Eggplant Parmesan, Vegan Swedish Meatballs
23,430.0,80.0,250.0,200.0,250.0," Cinnamon raisin French toast (430 calories per portion, 2 portions, contains dairy, American origin)
", Fruit Salad, Greek Stuffed Grape Leaves (Dolmades), Greek roasted potatoes, Black Bean Tacos
24,300.0,90.0,520.0,400.0,250.0," Acai bowl - 300 calories per portion, 1 portion, no allergic warnings, origin", Rice Paper Rolls, Vegan Mac and Cheese, Turkish Chicken Pilaf, Mushroom Risotto
25,400.0,90.0,300.0,200.0,220.0," Japanese tamagoyaki (rolled omelet) with soy sauce (400kcals per portion, 2 portions, soy allergies, origin", Turkish-style boiled eggs, Chicken Satay with Peanut Sauce, Greek Feta and Spinach Stuffed Mushrooms, Chickpea and Vegetable Stir Fry
26,400.0,50.0,160.0,420.0,188.0, Veggie Sausage and Hash Browns - 400 calories per portion | 1 portion | Contains soy | Origin, Baked Apple Chips - Approx, Baked Sweet Potato Fries," Veggie Shepard's Pie - 420kcals per portion, 2 portions, contains gluten
", Lentil and Vegetable Stir Fry
27,200.0,90.0,200.0,350.0,250.0, Spinach Tomato Feta Frittata, Turkish-style boiled eggs, Mini Quiche," Grilled Vegetable Wrap - 350kcals per portion, 2 portions, gluten-free, International
"," Caprese Stuffed Zucchini - 250 calories/portion, 4 portions, Origin"
28,400.0,90.0,160.0,400.0,180.0, Avocado and Egg Breakfast Salad, Fruit Salad, Quinoa Stuffed Tomatoes," Mexican Rice and Beans
Total calories per portion"," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
29,300.0,60.0,170.0,400.0,250.0, Mushroom and Spinach Vegan Quiche, Cucumber and tomato salad, Mini Quiches," Stuffed Bell Peppers with Rice and Beans - 400kcals per portion, 2 portions, contains legumes, gluten
"," Lentil Spinach Curry - 250 calories per portion, 4 portions, None, India
"
30,350.0,80.0,80.0,300.0,250.0, Coconut Milk Rice Pudding," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin", Quinoa Stuffed Bell Peppers," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)

Please note that these calorie estimates are approximate and can vary based on specific ingredients and portion sizes used"
31,300.0,90.0,120.0,400.0,250.0, Vegan Breakfast Burrito, Turkish-style boiled eggs, Hummus and Pita, Falafel Sandwich," Spinach and Ricotta Stuffed Mushrooms - 250 calories/portion, 4 portions, Origin"
32,350.0,90.0,180.0,400.0,250.0," Swiss cheese and mushroom omelette (350 calories per portion, 2 portions, contains dairy, Swiss origin)
", Turkish-style boiled eggs, Baked buffalo chicken meatballs, Mexican Chicken Tortilla Soup," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin"
33,250.0,70.0,120.0,350.0,180.0, Smoothie Bowl, Fresh Fruit Salad," Brown Butter Almond Madeleines - 120 kcals per portion, 5 portions, contains gluten, tree nuts (France)"," Vegetable Fried Rice - 350kcals per portion, 3 portions, no allergies, Origin"," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
34,200.0,80.0,110.0,400.0,250.0, Vegan Breakfast Quiche Lorraine, Fruit Salad," Watermelon Gazpacho - 110 kcals per portion, 4 portions, gluten-free (Spain)"," Mediterranean Grilled Chicken with Tzatziki Sauce (400 calories per portion, serves 2, contains dairy, origin", Vegan Pizza
35,200.0,60.0,240.0,400.0,250.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Cucumber and tomato salad, Peanut butter and banana sushi rolls, Sweet and Sour Tofu," Chickpea Stew - 250 calories per portion, 6 portions, Allergic to legumes, Middle East
"
36,250.0,80.0,90.0,450.0,180.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
", Fruit Salad," Rice Paper Spring Rolls - 90 kcals per portion, 6 portions, contains soy (Vietnam)"," Israeli Falafel Burger - 450 calories
    - Total portions", Ratatouille
37,400.0,80.0,100.0,350.0,200.0, Smashed Avocado and Egg Toast, Energy Balls, Chocolate-Dipped Strawberries," Spicy Tofu Noodle Soup - 350kcals per portion, 2 portions, dairy-free, International
", Stuffed Mushrooms
38,150.0,70.0,150.0,400.0,150.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Kale chips, Lentil Soup, Stuffed Portobello Mushrooms," Ratatouille - 150 calories per portion, 6 portions, None, France
"
39,300.0,80.0,120.0,450.0,200.0, Apple Cinnamon French Toast Casserole, Avocado Deviled Eggs, Granola Bar," Greek Moussaka
Total calories per portion"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
40,220.0,90.0,160.0,400.0,250.0," Scrambled eggs with toast - 220 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad," Mini Bagel Pizzas - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)"," Portobello Mushroom Burger - 400 calories
    - Total portions"," Mexican Zucchini Boats - 250 calories/portion, 4 portions, contains cheese (Mexico)
"
41,350.0,60.0,140.0,300.0,150.0, Vegan Breakfast Banana Bread, Cucumber and tomato salad, Greek Yogurt Bark," Greek Lemon Chicken - 300kcals per portion, 3 portions, gluten-free, Greece
"," Ratatouille - 150 calories per portion, 6 portions, None, France
"
42,350.0,60.0,230.0,350.0,250.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Cucumber and tomato salad, Roasted red pepper hummus with pita chips, Falafel Wrap," Spinach and feta stuffed mushrooms – 250 calories per portion, 4 portions, vegetarian-friendly
"
43,400.0,80.0,180.0,400.0,220.0, Mushroom Breakfast Burrito, Fresh Watermelon Slices - Approx, Pita Bread with Hummus, Greek Spanakopita," Quinoa Salad - 220 calories per portion, 4 portions, None, Peru
"
44,350.0,50.0,160.0,350.0,200.0," Veggie breakfast wrap with scrambled eggs (350kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)"," Quinoa Stuffed Mushrooms - 350kcals per portion, 2 portions"," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
45,300.0,80.0,100.0,350.0,250.0," Congee (Chinese rice porridge) with century eggs - 300 calories per portion, 2 portions, no allergic warnings, origin", Fresh Squeezed Orange Juice, Stuffed Mushrooms, Korean Bibimbap," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
