,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,200.0,400.0,300.0,250.0, Vegan Breakfast Stromboli, Rice Paper Spring Rolls, Vegan Tzatziki and Pita Bread," Quinoa Tabbouleh Salad
Total calories per portion"," Stuffed Portobello Mushrooms - 250 calories per portion, 4 portions, None, Various
"
2,350.0,130.0,200.0,300.0,200.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Almond Butter Stuffed Dates," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Eggplant Rollatini
Total calories per portion", Ratatouille
3,200.0,200.0,150.0,300.0,260.0, Vegan Breakfast Phyllo Cups, Chocolate Chia Pudding," Caponata Bruschetta - 150 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and Vegetable Stir-Fry, Mexican Stuffed Zucchini
4,350.0,150.0,90.0,350.0,250.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Roasted Chickpeas," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Tacos with Avocado Salsa," Vegan Tofu Scramble - 250 calories per portion, 4 portions, None, Various
"
5,350.0,180.0,150.0,350.0,200.0, Tofu Scramble, Instant Pot Vegan Yogurt," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin", Tofu and Vegetable Kebabs," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
6,350.0,280.0,560.0,150.0,150.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Tofu Scramble, Vegan Pancakes, Tomato Basil Soup, Lentil Soup
7,150.0,300.0,180.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Healthy Veggie Nachos," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Caesar Salad
Total calories per portion"," Moroccan Vegan Zaalouk (250 calories/portion, 4 portions) - Morocco
"
8,250.0,200.0,180.0,450.0,160.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Banana Sushi," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Mushroom and Spinach Pasta
Total calories per portion"," Vegan Quinoa and Kale Salad - 160 calories per portion, 2 portions, may contain gluten"
9,350.0,160.0,360.0,400.0,208.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Banana Bread Muffins, Vegan Turkish Delight," Greek Vegan Moussaka
Total calories per portion", Spinach and Mushroom Quesadillas
10,200.0,220.0,160.0,400.0,250.0, Vegan Breakfast Enchiladas, Chocolate Peanut Butter Smoothie," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Thai Green Curry with Mixed Vegetables
Total calories per portion"," Greek Vegan Gigantes (250 calories/portion, 4 portions) - Greece
"
11,350.0,260.0,200.0,350.0,250.0, Vegan Breakfast Bars, Vegan Blueberry Scones, Hummus and Pita Bread, Vegan Lasagna, Tofu and Vegetable Kebabs
12,100.0,150.0,130.0,300.0,260.0, Vegan Breakfast Rice Pudding, Vegan Chocolate Mousse," Oven-Baked Sweet Potato Fries - 130 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Singapore Noodles, Mexican Stuffed Zucchini
13,350.0,200.0,180.0,300.0,200.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Avocado Toast," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Zucchini Noodles with Pesto, Lentil and Vegetable Bolognese
14,50.0,250.0,180.0,250.0,220.0, Vegan Breakfast Energy Balls, Vegan Protein Brownies," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Sushi Rolls, Grilled Vegetable Skewers
15,500.0,260.0,120.0,350.0,200.0, Vegan Breakfast Burrito, Vegan Spinach and Mushroom Quiche," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pesto Pasta with Roasted Tomatoes," Vegan BBQ Tofu - 200 calories per portion, 4 portions, Soy, United States
"
16,300.0,250.0,200.0,400.0,180.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Vegan Peanut Butter and Jelly Overnight Oats," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Rice and Beans
Total calories per portion", Tofu Stir-Fry
17,250.0,350.0,340.0,350.0,250.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Peanut Butter and Jelly Sandwich, Vegan Nachos, Vegan Thai Coconut Soup," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
"
18,350.0,200.0,320.0,300.0,250.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Breakfast Cookies, Vegan Mediterranean Flatbread Pizza, Vegan Singapore Noodles, Tofu and Vegetable Kebabs
19,500.0,180.0,160.0,400.0,200.0, Vegan Breakfast Croque Madame, Vegan Scones," Grilled Portobello Mushroom Burger - 160 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea and Mushroom Stir-Fry," Lentil Spinach Soup - 200 calories per portion, 4 portions, None, Various
"
20,350.0,150.0,140.0,400.0,180.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Banana Pancakes," Vegan Lemon Bars - 140 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Curry," Cauliflower Shawarma - 180 calories per portion, 6 portions, None, Middle East
"
21,250.0,150.0,280.0,400.0,200.0, Vegan Pancakes - 250 calories per portion | 2 portions | Contains gluten | Origin, Oatmeal Raisin Cookies, Vegan Chocolate Mousse, Chana Masala, Greek Salad
22,150.0,200.0,140.0,350.0,180.0, Vegan Breakfast Fajitas, Chocolate Chia Pudding," Maple Roasted Nuts - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Vegan Pozole
Total calories per portion"," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
23,350.0,180.0,160.0,350.0,180.0, Vegan Breakfast Banana Bread, Vegan Blueberry Scones," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Salad Sandwich," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
24,70.0,100.0,150.0,300.0,250.0, Fruit Salad, Roasted Pumpkin Seeds," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Samosas," Vegan Tofu and Vegetable Skewers - 250 calories per portion, 2 portions, may contain soy"
25,250.0,300.0,110.0,250.0,260.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin, Vegan Cinnamon Rolls," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Loaf, Mexican Stuffed Zucchini
26,350.0,180.0,150.0,350.0,270.0, Vegan Kale and Potato Frittata - 350 calories per portion | 1 portion | None | Origin, Antipasto Skewers, Vegan Banana Bread, Vegan Moussaka, Mexican Quinoa Bowl
27,350.0,210.0,220.0,400.0,220.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Quinoa Sushi Rolls, Baked Sweet Potato Fries, Vegetable Curry with Rice, Chickpea Salad
28,350.0,150.0,80.0,250.0,250.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Raspberry Thumbprint Cookies," Veggie Spring Rolls with Peanut Sauce - 80 kcals per portion, 4 portions, allergic warning (peanuts), origin", Veggie Sushi Bowl," Thai Vegan Green Papaya Salad (250 calories/portion, 4 portions) - Thailand
"
29,100.0,300.0,200.0,500.0,200.0, Vegan Breakfast Steamed Buns, Vegan Cinnamon Rolls," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin"," Vegan Korean Bibimbap Bowl
Total calories per portion", Vegan Bibimbap
30,50.0,150.0,80.0,300.0,250.0, Vegan Breakfast Energy Balls, Vegan Chocolate Chip Cookies, Energy Balls, Vegan Singapore Noodles, Ratatouille-Stuffed Zucchini
31,300.0,250.0,120.0,300.0,250.0, Vegan Apple Cinnamon Quinoa - 300 calories per portion | 1 portion | None | Origin, Vegan Chocolate Oat Bars," Vegan Almond Butter Energy Balls - 120 kcals per portion, 4 portions, allergic warning (almonds), origin", Vegan Moroccan Lentil Soup," Thai Pineapple Fried Rice - 250 calories per portion, 4 portions, None, Thailand
"
