,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,500.0,60.0,360.0,20.0,350.0," Vietnamese bánh cuốn (steamed rice rolls) with ground pork and mushrooms (500kcals per portion, 2 portions, origin", Cucumber and tomato salad, Vegan Mushroom Soup, Moroccan Mint Tea, Veggie Burger
2,250.0,80.0,160.0,20.0,300.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Avocado Deviled Eggs, Caramelized Onion Tartlets, Moroccan Mint Tea," Lentil Walnut Tacos - 300 calories per portion, 4 portions, Nuts, Mexico
"
3,320.0,80.0,120.0,20.0,400.0," Apple cinnamon quinoa pancakes (320 calories per portion, 2 portions, nut-free, American origin)
", Mango with Chili Powder, Greek Yogurt Dip with Veggies, Moroccan Mint Tea," Veggie Fajitas - 400 calories/portion, 4 portions, Origin"
4,450.0,80.0,120.0,20.0,400.0," Mexican chilaquiles - 450 calories per portion, 2 portions, may contain gluten, origin", Fruit Salad, Banana Oat Cookies, Moroccan Mint Tea, Lemon Herb Grilled Chicken
5,300.0,80.0,180.0,20.0,350.0, Vegan Smoothie Bowl, Fresh Watermelon Slices - Approx, Apple and Cheese Quesadillas, Moroccan Mint Tea, Vegan Shepherd's Pie
6,250.0,80.0,340.0,20.0,450.0, Buckwheat Porridge, Stuffed Dates, Vegan Nachos, Moroccan Mint Tea," Indian Vegan Chole Bhature (450 calories/portion, 3 portions) - India
"
7,350.0,80.0,80.0,20.0,300.0, Vegan Kale and Potato Frittata - 350 calories per portion | 1 portion | None | Origin, Kale Chips, Avocado Deviled Eggs, Moroccan Mint Tea," Moroccan Lentil Burgers (300 calories/portion, 4 portions) - Morocco
"
8,200.0,70.0,180.0,20.0,300.0, Apple Cinnamon Porridge, Fresh Fruit Salad, Spinach and Feta Pastry Triangles, Moroccan Mint Tea," Zucchini Noodles with Pesto - 300 calories/portion, 4 portions, Origin"
9,300.0,80.0,150.0,20.0,240.0, Egg Salad Sandwich, Fruit Salad," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Moroccan Mint Tea," Greek Feta Spinach Pie - 240kcals per portion, 4 portions, contains dairy (Greece)
"
10,400.0,80.0,180.0,20.0,350.0, English Muffin Breakfast Pizza," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Chicken Salad Lettuce Wraps, Moroccan Mint Tea, Thai Red Curry with Tofu
11,550.0,80.0,200.0,20.0,250.0, Smoked Salmon Bagel Sandwich," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Mini Bagel Pizzas, Moroccan Mint Tea," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin"
12,350.0,50.0,180.0,20.0,350.0," Egg and cheese breakfast sandwich - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx," Vegan Black Bean Brownies - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Orzo Salad - 350 calories/portion, 4 portions, contains gluten (Greece)
"
13,400.0,80.0,220.0,20.0,450.0," Huevos Rancheros with black beans (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Fruit Salad, Sesame Ginger Edamame, Moroccan Mint Tea, Tomato Basil Pasta
14,350.0,50.0,180.0,20.0,350.0, Breakfast Bruschetta," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Smashed avocado and tomato toast, Moroccan Mint Tea, Veggie Noodle Stir-Fry
15,220.0,70.0,220.0,20.0,200.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin", Kale chips, Cheese and Spinach Triangles, Moroccan Mint Tea," Tomato and Mozzarella Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
16,250.0,70.0,220.0,20.0,350.0, Muesli with Almond Milk, Fresh Fruit Salad, Roasted Red Pepper and Goat Cheese Crostini, Moroccan Mint Tea," Three-bean chili with cornbread – 350 calories per portion, 4 portions, vegan-friendly
"
17,250.0,60.0,180.0,20.0,400.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Fruit Salad - Approx, Greek Salad, Moroccan Mint Tea, Veggie Burrito Bowl
18,50.0,60.0,250.0,20.0,250.0, Vegan Breakfast Sushi Burrito, Cucumber and tomato salad, Mini Pizzas, Moroccan Mint Tea, Cauliflower Buffalo Wings
19,350.0,70.0,150.0,20.0,390.0," Lemon poppy seed pancakes (350 calories per portion, 2 portions, nut-free, American origin)
", Fresh Fruit Salad, Pineapple and Coconut Energy Balls, Moroccan Mint Tea," Lentil Shepherd's Pie - 390kcals per portion, 4 portions, contains legumes (UK)
"
20,250.0,80.0,220.0,20.0,150.0, Vegan Breakfast Oats and Berries, Stuffed Dates, Sweet Chili Lime Chicken Skewers, Moroccan Mint Tea, Swiss Chard and Lentil Soup
21,400.0,80.0,70.0,20.0,200.0," Chicken and vegetable stuffed crepes (400kcals per portion, 2 portions)
", Fruit Salad, Fruit Salad, Moroccan Mint Tea," Mexican Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains gluten (Mexico)
"
22,300.0,80.0,150.0,20.0,300.0," Apple cinnamon oatmeal bake - 300 calories per portion, 2 portions, contains gluten, origin", Avocado Deviled Eggs, Tomato and Mozzarella Bruschetta, Moroccan Mint Tea," Vegetable Curry with Coconut Milk - 300 calories/portion, 4 portions, contains nuts (India)

"
23,380.0,80.0,100.0,20.0,345.0," Veggie-packed breakfast skillet with sweet potatoes (380 calories per portion, 2 portions, nut-free, American origin)
", Apple with Cinnamon, Zucchini Tomato Bites, Moroccan Mint Tea, Eggplant Parmesan
24,200.0,80.0,220.0,20.0,400.0, Spinach and Feta Stuffed Portobello Mushrooms, Energy Balls, Mini Chicken Pot Pies, Moroccan Mint Tea," Lentil and vegetable curry with basmati rice (400 calories per portion, 3 portions, vegan-friendly, origin"
25,200.0,80.0,200.0,20.0,410.0, Veggie Breakfast Pizza Rolls, Kale Chips, Mini ham and cheese sandwiches, Moroccan Mint Tea, Lentil and Vegetable Curry
