,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,350.0,980.0,300.0,400.0, Tofu Scramble, Tofu and Veggie Buddha Bowl, Vegan Sushi Burrito, Vegan General Tso's Tofu, Vegan Ramen
2,400.0,300.0,280.0,480.0,250.0, Vegan Breakfast Fried Rice, Vegan Omelette with Tofu, Baked Tofu Nuggets, Vegan Cucumber Sushi Rolls, Vegan Kung Pao Tofu
3,450.0,300.0,120.0,400.0,300.0, Quinoa Breakfast Bowl, Vegan Omelette with Tofu, Guacamole and Veggie Sticks, Vegan Breakfast Fried Rice, Vegan General Tso's Tofu
4,450.0,350.0,480.0,250.0,300.0, Quinoa Breakfast Bowl, Tofu and Veggie Buddha Bowl, Vegan Cucumber Sushi Rolls, Tofu Tikka Masala, Lentil and Vegetable Stir-Fry
5,450.0,300.0,480.0,200.0,400.0, Quinoa Breakfast Bowl, Vegan Omelette with Tofu, Vegan Cucumber Sushi Rolls, Vegan Bibimbap, Vegan Shepherd's Pie
6,350.0,350.0,640.0,350.0,250.0, Tofu Scramble, Tofu and Veggie Buddha Bowl, Vegan Tofu Scramble, Lentil Loaf, Vegan Tofu Scramble
7,350.0,300.0,240.0,500.0,300.0, Tofu Scramble, Vegan Omelette with Tofu, Veggie Sushi Rolls, Vegan Breakfast Vegetable Stir-Fry, Vegan Pho
8,450.0,350.0,980.0,640.0,350.0, Quinoa Breakfast Bowl, Tofu and Veggie Buddha Bowl, Vegan Sushi Burrito, Vegan Tofu Scramble, Soba Noodle Stir-Fry
9,350.0,300.0,120.0,400.0,400.0, Tofu Scramble, Vegan Omelette with Tofu, Guacamole and Veggie Sticks, Vegan Shepherd's Pie, Vegan Pad Thai
10,450.0,300.0,240.0,250.0,300.0, Quinoa Breakfast Bowl, Vegan Omelette with Tofu, Veggie Sushi Rolls, Vegan Sushi Bowl, Teriyaki Tofu Bowl
11,500.0,350.0,980.0,400.0,250.0, Vegan Breakfast Vegetable Stir-Fry, Tofu and Veggie Buddha Bowl, Vegan Sushi Burrito, Vegan Shepherd's Pie, Tofu Stir-Fry
12,500.0,350.0,240.0,200.0,400.0, Vegan Breakfast Vegetable Stir-Fry, Tofu and Veggie Buddha Bowl, Veggie Sushi Rolls, Vegan Bibimbap, Vegan Pad Thai
13,500.0,350.0,340.0,250.0,350.0, Vegan Breakfast Vegetable Stir-Fry, Tofu and Veggie Buddha Bowl, Vegan Nachos, Vegan Soba Noodle Salad, Veggie Burger
14,400.0,350.0,640.0,450.0,250.0, Vegan Breakfast Fried Rice, Tofu and Veggie Buddha Bowl, Vegan Tofu Scramble, Summer Rolls, Vegan Kung Pao Tofu
15,350.0,350.0,240.0,400.0,300.0, Tofu Scramble, Tofu and Veggie Buddha Bowl, Veggie Sushi Rolls, Vegan Shepherd's Pie, Teriyaki Tofu Bowl
