,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,100.0,200.0,400.0,200.0, Vegan Pumpkin Pancakes, Guacamole Stuffed Cherry Tomatoes, Tomato and Avocado Bruschetta, Argentinian empanadas," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
2,300.0,100.0,180.0,200.0,200.0, Pancakes with Maple Syrup, Cucumber and Tomato Salad, Greek Olive Breadsticks, Greek briam," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
3,300.0,100.0,150.0,300.0,200.0, Chocolate Peanut Butter Overnight Oats, Corn on the Cob, Stuffed Grape Leaves," Lentil and Vegetable Curry - 300kcals per portion, 4 portions, no allergies, Origin"," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
4,350.0,90.0,120.0,300.0,200.0, Acai Bowl, Vegetarian Spring Rolls, Granola Bar, Stuffed Mushrooms," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
5,350.0,120.0,230.0,350.0,180.0, Banana Walnut Bread, Tomato and Basil Bruschetta, Avocado Toast, Vegetable Stir-Fry," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
6,350.0,100.0,150.0,300.0,180.0, Tomato and Basil Bruschetta Scramble, Frozen Grapes, Vegetable Frittata, Caprese Sandwich," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
7,250.0,120.0,200.0,280.0,200.0, Vegan Breakfast Enchiladas, Vegetable Spring Rolls, Apple Cinnamon Muffins," Tomatoes Stuffed with Couscous - 280kcals per portion, 2 portions, contains gluten (Mediterranean)
"," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
8,200.0,100.0,220.0,350.0,150.0, Oatmeal with Berries, Quinoa Energy Bites, Sesame Ginger Edamame, Greek vegetable moussaka," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
9,300.0,80.0,220.0,240.0,200.0, Vegan Chocolate Chip Pancakes, Fruit Salad, Caprese Bruschetta," Quinoa Tabbouleh - 240kcals per portion, 2 portions, gluten-free (Middle East)
"," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
10,250.0,120.0,150.0,350.0,200.0, Vegan Banana Muffins, Cottage Cheese with Sliced Tomato, Greek Yogurt with Fresh Berries, Chickpea salad wrap," Caprese Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains dairy (Italy)
"
11,350.0,100.0,180.0,700.0,200.0, Broccoli and Cheese Frittata, Caprese Skewers, Avocado Cucumber Sushi Rolls, Spinach Lasagna," Avocado and Tomato Salad - 200 calories/portion, 2 portions, Origin"
