,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,100.0,20.0,320.0," Baked beans on toast (350kcals per portion, 2 portions, origin", Fruit Smoothie Popsicles - Approx, Tomato Basil Soup, Moroccan Mint Tea, Zucchini and Carrot Noodles with Peanut Sauce
2,380.0,50.0,180.0,20.0,250.0," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Strawberry banana smoothie, Moroccan Mint Tea," Vegetable Curry Puffs - 250 calories/portion, 4 portions, contains gluten (Various)
"
3,350.0,90.0,130.0,20.0,350.0," Pakistani spicy omelet with onions and green chilies (350kcals per portion, 2 portions, origin", Turkish-style boiled eggs, Mini Vegetable Quesadillas, Moroccan Mint Tea," Vegetable curry with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
4,320.0,80.0,90.0,20.0,250.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
", Baked Apple Chips, Zucchini Pizza Bites, Moroccan Mint Tea," Moroccan Lentil Salad - 250 calories/portion, 4 portions, contains nuts (Morocco)
"
5,350.0,100.0,150.0,20.0,400.0," Veggie breakfast burrito with black beans (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Baked Zucchini Chips - Approx, Mini spinach and feta quiches, Moroccan Mint Tea," Vegan Stuffed Cabbage Rolls - 400 calories per portion, 4 portions, None, Various
"
6,300.0,100.0,250.0,20.0,280.0, Greek Yogurt with Berries and Granola, Fruit Salad," Cheese Puffs - 250 kcals per portion, 2 portions, contains gluten, dairy (France)", Moroccan Mint Tea, Vegan Stuffed Shells
7,200.0,50.0,780.0,20.0,400.0, Veggie Breakfast Couscous," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Lentil Sloppy Joes, Moroccan Mint Tea," Greek Moussaka - 400 calories/portion, 4 portions, contains dairy (Greece)
"
8,300.0,100.0,100.0,20.0,450.0, Egg White Omelette with Veggies, Chilled Gazpacho, Thai Fresh Spring Rolls, Moroccan Mint Tea," Spinach and cream cheese stuffed chicken breast with wild rice - 450 kcals per portion, 4 portions, contains lactose
"
9,400.0,80.0,180.0,20.0,400.0," Breakfast quesadilla with eggs and cheese (400 calories per portion, 2 portions, contains dairy, Mexican origin)
", Fruit Salad," Roasted Red Pepper and Feta Dip - 180 kcals per portion, 3 portions, contains dairy (Various)", Moroccan Mint Tea, Vegan Pad Thai
10,250.0,100.0,180.0,20.0,300.0, Vegan Banana Bread - 250 calories per portion | 2 portions | Contains gluten | Origin, Quinoa Energy Bites, Mediterranean Couscous Salad, Moroccan Mint Tea, Grilled Tofu with Teriyaki Sauce
11,550.0,100.0,200.0,20.0,300.0, Granola with Soy Milk, Watermelon Fruit Pizza, Chicken skewers with peanut sauce, Moroccan Mint Tea," Mexican Street Corn - 300 calories per portion, 4 portions, contains dairy (cheese), Origin"
12,350.0,100.0,180.0,20.0,450.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Greek Salad Skewers," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)", Moroccan Mint Tea," Vegan Broccoli and Tofu Stir-Fry - 450 calories per portion, 2 portions, may contain soy"
13,250.0,100.0,120.0,20.0,350.0, Overnight Chia Oats, Baked Apple Chips, Vegan Energy Balls, Moroccan Mint Tea," Stuffed bell peppers with couscous, chickpeas, and feta - 350 kcals per portion, 4 portions, vegetarian, contains lactose

(Continued below"
14,350.0,80.0,200.0,20.0,200.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad, Stuffed grape leaves with rice and herbs, Moroccan Mint Tea," Vegan Buffalo Cauliflower Wings - 200 calories per portion, 4 portions, None, United States
"
15,320.0,80.0,100.0,20.0,150.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Fresh Squeezed Orange Juice, Tzatziki with Pita Bread, Moroccan Mint Tea, Greek Salad
16,500.0,80.0,150.0,20.0,200.0," Breakfast pizza - 500 calories per portion, 1 portion, contains gluten, origin", Kale Chips," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Mediterranean Stuffed Eggplant
17,600.0,100.0,150.0,20.0,380.0, Vegan Breakfast Danish, Roasted Beetroot Chips, Roasted Red Pepper Hummus with Pita Bread, Moroccan Mint Tea," Tofu and vegetable curry with basmati rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
18,350.0,100.0,250.0,20.0,250.0, Bread Upma, Cucumber Sandwich, Cheese and Spinach Triangles, Moroccan Mint Tea, Tofu and Vegetable Kebabs
19,350.0,90.0,150.0,20.0,250.0," Nigerian akara (bean fritters) with tomato sauce (350kcals per portion, 2 portions, origin", Rice Paper Rolls, Beetroot Hummus with Crackers, Moroccan Mint Tea, Quinoa Salad
20,200.0,100.0,160.0,20.0,350.0, Blueberry Muffins, Greek Salad Skewers, Baked Sweet Potato Fries, Moroccan Mint Tea," British Vegan Scotch Broth (350 calories/portion, 2 portions) - United Kingdom
"
21,400.0,100.0,180.0,20.0,300.0," Warm quinoa breakfast bowl with caramelized bananas and almonds (400 calories per portion, 2 portions, contains nuts, American origin)
Please note that the above recipes are suggestions and the nutritional information provided is approximate", Energy Balls - Approx, Bacon-Wrapped Dates, Moroccan Mint Tea, Veggie Enchiladas
22,450.0,80.0,220.0,20.0,450.0," Spanish hot chocolate with churros (450kcals per portion, 2 portions, origin", Avocado Deviled Eggs, Sweet Chili Lime Chicken Skewers, Moroccan Mint Tea, Chicken and Vegetable Skewers with Peanut Sauce
23,450.0,100.0,180.0,20.0,290.0," Quiche Lorraine - 450 calories per portion, 4 portions, contains gluten and dairy, origin", Baked Apple Chips," Stuffed Grape Leaves - 180 kcals per portion, 5 portions, may contain nuts (Middle East)", Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 290kcals per portion, 4 portions, contains dairy
"
24,400.0,100.0,230.0,20.0,380.0," Malaysian roti canai with curry dipping sauce (400kcals per portion, 2 portions, origin", Boiled chickpeas, Roasted Red Pepper Hummus with Pita Chips, Moroccan Mint Tea," Teriyaki salmon with steamed broccoli - 380 kcals per portion, 2 portions, contains soy, gluten
"
25,200.0,60.0,100.0,20.0,200.0, Congee, Cucumber and tomato salad," Stuffed Mini Peppers with Vegan Cream Cheese - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
26,450.0,80.0,140.0,20.0,400.0," Mexican chilaquiles - 450 calories per portion, 2 portions, may contain gluten, origin", Stuffed Dates, Baked sweet potato fries, Moroccan Mint Tea, Beef and Broccoli Stir-Fry
27,400.0,70.0,180.0,20.0,200.0, Nutella Banana Croissant, Fresh Fruit Salad, Mini zucchini and cheese frittatas, Moroccan Mint Tea," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
28,350.0,80.0,120.0,20.0,450.0, Apple Cinnamon Muffins, Kale Chips, Roasted Cauliflower Popcorn, Moroccan Mint Tea," Shrimp Pad Thai - 450 calories per portion, 4 portions, contains gluten (noodles), Origin"
29,300.0,100.0,120.0,20.0,350.0, Vegan Protein Smoothie, Cucumber Slices with Tzatziki - Approx," Caprese skewers (cherry tomatoes, mozzarella, basil)", Moroccan Mint Tea, Veggie Spring Rolls
30,300.0,100.0,120.0,20.0,400.0, Apple Cinnamon French Toast Casserole, Roasted Pumpkin Seeds, Greek Yogurt Dip with Veggies, Moroccan Mint Tea," Vegan Paella - 400 calories per portion, 4 portions, None, Spain
"
31,400.0,80.0,300.0,20.0,200.0," Scandinavian-style open-faced sandwich (400 calories per portion, 2 portions, nut-free, Scandinavian origin)
", Stuffed Dates, Sweet potato and black bean quesadillas, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
32,400.0,80.0,120.0,20.0,200.0, Breakfast Tacos with Avocado Salsa, Energy Balls, Banana Oat Cookies, Moroccan Mint Tea," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
33,300.0,100.0,100.0,20.0,400.0, Baked Egg in Avocado, Corn on the Cob, Tzatziki with Pita Bread, Moroccan Mint Tea, Veggie Paella
34,350.0,100.0,180.0,20.0,300.0, Broccoli and Cheese Frittata, Som Tam (Papaya Salad), Roasted Cauliflower Bites, Moroccan Mint Tea, Stuffed Bell Peppers
35,300.0,100.0,150.0,20.0,400.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Roasted Beetroot Chips, Mini spinach and feta quiches, Moroccan Mint Tea, Grilled Salmon with Quinoa
36,300.0,100.0,150.0,20.0,450.0, Acai Bowl, Watermelon and feta skewers," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Beef and vegetable stir-fry with udon noodles - 450 kcals per portion, 3 portions, contains gluten, soy
"
37,450.0,100.0,160.0,20.0,420.0, Spinach and Feta Breakfast Wrap, Fresh Juice - Approx, Cucumber and Cream Cheese Bites, Moroccan Mint Tea," Honey garlic shrimp with sesame noodles - 420 kcals per portion, 2 portions, contains gluten, shellfish
"
38,400.0,100.0,840.0,20.0,350.0, Vegan Breakfast Stuffed Mushrooms - 400 calories per portion | 1 portion | None | Origin, Caprese Skewers, Tempeh Stir-Fry, Moroccan Mint Tea," Italian Eggplant Parmesan (350 calories/portion, 2 portions) - Italy
"
39,150.0,80.0,180.0,20.0,340.0, Scrambled Tofu, Hard-Boiled Eggs, Mini mushroom and spinach quiches, Moroccan Mint Tea," Spinach and Artichoke Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
40,550.0,60.0,230.0,20.0,250.0, Nutella Stuffed French Toast, Cucumber and tomato salad, Peanut Butter and Banana Wrap, Moroccan Mint Tea, Ratatouille Stuffed Portobello Mushrooms
41,300.0,70.0,210.0,20.0,350.0, Banana Oat Pancakes, Kale chips," Mini Cheese Balls - 210 kcals per portion, 4 portions, contains dairy (Various)", Moroccan Mint Tea," Vegetarian Bibimbap - 350 calories/portion, 4 portions, Origin"
42,400.0,100.0,180.0,20.0,400.0, Veggie Bagel Sandwich, Zesty Lime Popcorn - Approx, Quinoa Stuffed Mushrooms, Moroccan Mint Tea," Vegan tikka masala with basmati rice – 400 calories per portion, 4 portions, vegan-friendly (origin"
43,250.0,100.0,250.0,20.0,400.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin, Baked Apple Chips, Mini vegetable spring rolls, Moroccan Mint Tea," Potato Gnocchi - 400 calories/portion, 4 portions, Origin"
44,300.0,100.0,100.0,20.0,330.0, Vegan Cranberry Orange Muffins, Overnight Chia Pudding," Deviled Eggs - 100 kcals per portion, 4 portions, contains egg (USA)", Moroccan Mint Tea," Lentil and Vegetable Curry - 330kcals per portion, 4 portions, contains legumes
"
45,400.0,90.0,200.0,20.0,400.0, Turkish Menemen with Feta Cheese, Fruit Salad, Banana Bread, Moroccan Mint Tea, Moroccan Couscous with Roasted Vegetables
46,400.0,50.0,210.0,20.0,400.0, Vegan Breakfast Hand Pies," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Caramelized Onion Tartlet - 210 kcals per portion, 3 portions, contains gluten, dairy (France)", Moroccan Mint Tea," Honey Sesame Chicken - 400 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
47,500.0,80.0,200.0,20.0,350.0, Waffles with Strawberries and Whipped Cream, Hard-Boiled Eggs, Greek Yogurt Parfait, Moroccan Mint Tea, Quinoa Salad with Roasted Vegetables
48,300.0,80.0,120.0,20.0,200.0, Vegan Blueberry Muffins - 300 calories per portion | 1 portion | Contains gluten | Origin, Fruit Salad, Roasted Chickpeas, Moroccan Mint Tea," Caprese Salad - 200 calories/portion, 4 portions, contains dairy (Italy)
"
49,300.0,100.0,240.0,20.0,350.0, Vegan Protein Smoothie, Chilled Gazpacho Soup - Approx," Matzah with Cream Cheese - 240 kcals per portion, 3 portions, contains dairy (Jewish)", Moroccan Mint Tea," Vegetable Korma - 350 calories/portion, 4 portions, contains nuts (India)
"
50,250.0,100.0,120.0,20.0,250.0, Vegetable Scramble," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Mini crab cakes, Moroccan Mint Tea," Stuffed bell peppers - 250 calories per portion, 4 portions, none
"
51,100.0,90.0,200.0,20.0,350.0, Vegan Breakfast Rice Pudding, Vegetarian Spring Rolls, Chicken Fajita Skewers, Moroccan Mint Tea," Italian Vegan Stuffed Peppers (350 calories/portion, 2 portions) - Italy

"
52,350.0,100.0,80.0,20.0,200.0," Turkish borek with feta and spinach (350kcals per portion, 2 portions, origin", Fruit Smoothie Popsicles - Approx, Cucumber cream cheese roll-ups, Moroccan Mint Tea," Miso Soup - 200 calories/portion, 2 portions, Origin"
53,200.0,100.0,200.0,20.0,400.0, Papaya Boat with Lime, Baked Zucchini Chips - Approx, Zucchini and Feta Fritters, Moroccan Mint Tea," Thai Pineapple Fried Rice - 400 calories per portion, 4 portions, contains shellfish, Origin"
54,250.0,80.0,180.0,20.0,300.0, Blueberry Oatmeal Breakfast Bars, Baked Apple Chips," Tapioca Pudding - 180 kcals per portion, 3 portions, contains dairy (World)", Moroccan Mint Tea," Veggie Burger with Sweet Potato Fries - 300 calories/portion, 4 portions, Origin"
55,450.0,100.0,180.0,20.0,400.0," Turkish simit (sesame bread) with cream cheese and olives (450kcals per portion, 1 portion, dairy allergies, origin", Edamame, Coconut Almond Energy Balls, Moroccan Mint Tea," Eggplant and Tomato Pasta - 400 calories/portion, 4 portions, Origin"
56,250.0,100.0,180.0,20.0,250.0," Smoothie bowl - 250 calories per portion, 1 portion, may contain nuts, origin", Caprese Skewers, Greek Olive Breadsticks, Moroccan Mint Tea," Veggie Pho with Tofu - 250 calories/portion, 4 portions, Origin"
57,250.0,90.0,120.0,20.0,100.0, Raspberry Chia Pudding, Rice Paper Rolls, Veggie Sushi Rolls, Moroccan Mint Tea," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
58,350.0,100.0,180.0,20.0,400.0," Quinoa breakfast bowl with fruits and seeds (350 calories per portion, 2 portions, nut-free, American origin)
", Caprese Skewers, Mini Spinach and Mushroom Quiches, Moroccan Mint Tea, Spinach and Ricotta Stuffed Shells
59,400.0,100.0,130.0,20.0,200.0, Veggie English Breakfast," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin"," Oven-Baked Sweet Potato Fries - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
60,300.0,90.0,200.0,20.0,450.0, Apple Cinnamon Porridge, Quinoa Energy Bites, Veggie Sushi Burrito, Moroccan Mint Tea," Indian Vegan Paneer Tikka Masala (450 calories/portion, 3 portions) - India
"
61,380.0,100.0,100.0,20.0,300.0," Greek-style baked eggs with spinach and feta (380 calories per portion, 2 portions, nut-free, Greek origin)
"," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin", Caprese Skewers, Moroccan Mint Tea, Quinoa and Lentil Salad
62,150.0,100.0,760.0,20.0,350.0, Fruit Salad, Watermelon and feta skewers, Vegan Indian Samosa Chaat, Moroccan Mint Tea, Moroccan Chickpea Tagine
