,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,200.0,160.0,20.0,260.0, Buckwheat Porridge," Spinach and Cheese Pinwheels - 200kcals per portion, 1 portion
    Origin", Chocolate Dipped Pretzels, Moroccan Mint Tea, Mexican Stuffed Zucchini
2,350.0,80.0,160.0,20.0,300.0, Lemon Poppy Seed Pancakes, Fresh Watermelon Slices - Approx," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegetable Fajitas - 300 calories/portion, 4 portions, contains gluten (Mexico)
"
3,350.0,150.0,180.0,20.0,340.0," Italian ciambella (simple breakfast cake) with coffee (350kcals per portion, 2 portions, origin", Cinnamon Maple Roasted Chickpeas, Greek Tzatziki with Pita Bread, Moroccan Mint Tea," Caprese Stuffed Portobello Mushrooms - 340kcals per portion, 2 portions, contains dairy
"
4,450.0,200.0,100.0,20.0,400.0, Vegan Breakfast Muffuletta, Baked Maple Glazed Donuts, Bruschetta, Moroccan Mint Tea, Vegetable Biryani
5,250.0,150.0,180.0,20.0,346.0, Cheesy Spinach Pita Pocket, Roasted Chickpeas - Approx," Bruschetta - 180 kcals per portion, 4 portions, contains gluten (Italy)", Moroccan Mint Tea, Sweet Potato and Lentil Curry
6,300.0,200.0,80.0,20.0,500.0," Turkish menemen (egg and vegetable scramble) - 300 calories per portion, 2 portions, no allergic warnings, origin", Almond milk chia pudding, Coconut macaroons, Moroccan Mint Tea," Balsamic glazed salmon with roasted vegetables and quinoa (500 calories per portion, 2 portions, contains fish, origin"
7,300.0,200.0,180.0,20.0,400.0," Brazilian pão de queijo (cheese bread) with coffee (300kcals per portion, 2 portions, dairy allergies, origin", Mixed Berry Quinoa Salad, Coconut Almond Energy Balls, Moroccan Mint Tea, Jackfruit BBQ Sandwich
8,300.0,200.0,120.0,20.0,300.0, Vegan Berry Protein Smoothie Bowl," Chicken Sausage Rolls - 200kcals per portion, 2 portions
    Origin", Fruit Salad, Moroccan Mint Tea," Tuscan white bean and vegetable soup (300 calories per portion, 4 portions, vegan-friendly, origin"
9,300.0,70.0,140.0,20.0,150.0, Saffron Yogurt with Fruit, Fresh Fruit Salad," Apple Slices with Almond Butter - 140 kcals per portion, 2 portions, contains tree nuts (USA)", Moroccan Mint Tea, Spinach and Feta Stuffed Mushrooms
10,300.0,150.0,120.0,20.0,400.0, Banana Pancakes, Vegan Cinnamon Sugar Donuts, Roasted Garlic and White Bean Dip with Pita Chips, Moroccan Mint Tea," Vegan Nachos - 400 calories per portion, 4 portions, Gluten, Mexico
"
