,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,450.0,150.0,300.0,400.0," Blueberry almond muffins (250 calories per portion, 2 portions, contains nuts, American origin)
"," Grilled Salmon with Roasted Vegetables (450 calories per portion, serves 2, contains fish, origin"," Tabbouleh Salad - 150 kcals per portion, 4 portions, contains gluten (Lebanon)"," Teriyaki Salmon - 300kcals per portion, 3 portions, soy-free, International
"," Greek-style stuffed peppers with rice and feta – 400 calories per portion, 3 portions, contains dairy (origin"
2,320.0,350.0,350.0,200.0,400.0," Tomato and mozzarella bruschetta (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Israeli Falafel Pita - 350 calories per portion, 2 portions, vegetarian, Israeli

", Eggplant rollatini," Greek Salad - 200 calories per portion, 4 portions, vegetarian, Greek
"," Chicken stir-fry with broccoli and brown rice – 400 calories per portion, 2 portions (origin"
3,350.0,280.0,120.0,550.0,550.0," Lemon poppy seed pancakes (350 calories per portion, 2 portions, nut-free, American origin)
"," Mini Cheesecakes - 280 kcals per portion, 3 portions, contains dairy (USA)", Roasted chickpeas," Moroccan Chicken Tajine - 550 calories
    - Total portions"," BBQ chicken with sweet potato wedges – 550 calories per portion, 2 portions, contains poultry
"
4,320.0,180.0,220.0,300.0,450.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
", Mini vegetable quinoa bites, Vegetarian sushi rolls," Moroccan Vegetable Tagine - 300 calories
    - Total portions"," Lemon garlic salmon with quinoa and steamed broccoli – 450 calories per portion, 2 portions, contains fish
"
5,350.0,400.0,200.0,350.0,550.0," Swiss cheese and mushroom omelette (350 calories per portion, 2 portions, contains dairy, Swiss origin)
"," Caprese Pasta Salad - 400kcals per portion, 3 portions, lacto-vegetarian, Italy
", Greek salad, Greek chickpea salad," Honey lime chicken with couscous and roasted vegetables – 550 calories per portion, 2 portions, contains poultry
"
6,350.0,500.0,230.0,300.0,400.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
"," Baked Ziti with Eggplant and Cheese - 500 calories
    - Total portions", Mediterranean bruschetta," Indian Masoor Dal (300 calories per portion, serves 6, contains legumes, origin"," Veggie burger with sweet potato fries – 400 calories per portion, 4 portions, vegetarian-friendly
"
7,280.0,300.0,220.0,400.0,280.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
"," Carrot cake oatmeal (300 calories per portion, 2 portions, nut-free, American origin)
", Greek tzatziki with pita chips, Tofu and vegetable pad thai," Stuffed portobello mushrooms with spinach and feta – 280 calories per portion, 3 portions, vegetarian-friendly
"
8,350.0,250.0,180.0,350.0,400.0," Cauliflower and feta frittata (350 calories per portion, 2 portions, contains dairy, Italian origin)
"," Pumpkin pie smoothie (250 calories per portion, 2 portions, nut-free, American origin)
", Dates stuffed with almond butter, Chopped antipasto salad," Greek salad with grilled chicken – 400 calories per portion, 3 portions, contains poultry (origin"
9,320.0,180.0,150.0,120.0,380.0," Ricotta and berry-stuffed crepes (320 calories per portion, 2 portions, contains dairy, French origin)
", Mini quiche bites," Beet Hummus with Carrot Sticks - 150 kcals per portion, 4 portions, may contain sesame (Middle East)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lentil and vegetable curry with naan bread – 380 calories per portion, 4 portions, vegan-friendly (origin"
10,350.0,300.0,350.0,200.0,350.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
"," Italian Caprese Pizza - 300 calories per portion, 4 portions, contains dairy, Italian
", Quinoa salad, Lentil soup," Lentil and vegetable stir-fry – 350 calories per portion, 3 portions, vegan-friendly
"
11,280.0,110.0,200.0,400.0,350.0," Cinnamon raisin oatmeal with apples (280 calories per portion, 2 portions, nut-free, American origin)
"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)"," Apple Cinnamon Muffins - 200 kcals per portion, 3 portions, contains gluten (USA)"," Veggie Burger with Sweet Potato Fries - 400 calories
    - Total portions"," Vegetarian fajitas with peppers and onions – 350 calories per portion, 4 portions, vegan-friendly (origin"
12,320.0,300.0,300.0,300.0,600.0," Tomato and mozzarella bruschetta (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Shakshuka - 300kcals per portion, 3 portions, gluten-free, Middle Eastern
", Cheese and fruit platter," Israeli Eggplant Salad - 300 calories per portion, 4 portions, vegetarian, Israeli
"," Grilled steak with roasted asparagus – 600 calories per portion, 2 portions, contains beef
"
13,320.0,300.0,120.0,250.0,350.0," Ricotta and berry-stuffed crepes (320 calories per portion, 2 portions, contains dairy, French origin)
"," Moroccan Quinoa Pilaf with Roasted Vegetables (300 calories per portion, serves 6, contains legumes, origin", Carrot and ginger soup," Vegetable Pad Thai (250 calories per portion, serves 4, contains peanuts and soy, origin"," Mediterranean quinoa salad – 350 calories per portion, 4 portions, vegan-friendly (origin"
14,350.0,200.0,80.0,400.0,520.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
"," Greek Salad - 200 calories per portion, 4 portions, vegetarian, Greek
", Veggie sticks with hummus," Ratatouille - 400kcals per portion, 2 portions, vegan, France
"," Beef and vegetable stir-fry with rice noodles – 520 calories per portion, 2 portions (origin"
15,300.0,350.0,140.0,400.0,380.0," Berry chia seed smoothie (300 calories per portion, 2 portions, nut-free, American origin)
"," Grilled Portobello Mushroom Burger (350 calories per portion, serves 2, no allergies, origin", Baked sweet potato fries," Italian Eggplant Parmesan - 400 calories per portion, 4 portions, contains dairy, Italian
"," Vegan stuffed bell peppers with rice and beans – 380 calories per portion, 4 portions, vegan-friendly
"
16,320.0,350.0,180.0,400.0,350.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Baked salmon with roasted vegetables – 350 calories per portion, 4 portions, contains fish
"," Tapioca Pudding - 180 kcals per portion, 3 portions, contains dairy (World)"," Grilled Chicken Caesar Salad - 400kcals per portion, 2 portions, gluten-free, International

"," Vegetable paella – 350 calories per portion, 4 portions, vegan-friendly (origin"
17,300.0,280.0,180.0,250.0,300.0," Banana chocolate chip muffins (300 calories per portion, 2 portions, contains dairy, American origin)
"," Lentil Bolognese - 280kcals per portion, 4 portions, nut-free, International
"," Stuffed Grape Leaves - 180 kcals per portion, 5 portions, may contain nuts (Middle East)"," Tomato Basil Bruschetta - 250kcals per portion, 4 portions, lacto-vegetarian, Italy

"," Zucchini noodles with tomato sauce and Parmesan – 300 calories per portion, 4 portions, vegetarian-friendly
"
18,200.0,400.0,180.0,400.0,350.0," Yogurt and fruit smoothie (200 calories per portion, 2 portions, contains dairy, American origin)
"," Scrambled tofu with turmeric and veggies (400 calories per portion, 2 portions, nut-free, American origin)
"," Chocolate Banana Bread - 180 kcals per portion, 6 portions, contains gluten (USA)"," Thai Red Curry with Shrimp - 400 calories per portion, 4 portions, contains dairy and shellfish, Thai
"," Eggplant and tomato pasta – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
19,350.0,400.0,220.0,300.0,450.0," Lemon poppy seed pancakes (350 calories per portion, 2 portions, nut-free, American origin)
"," Chinese Orange Chicken - 400 calories per portion, 2 portions, contains dairy, Chinese
", Roasted red pepper and feta dip with crackers," Chinese Kung Pao Tofu (300 calories per portion, serves 4, contains peanuts and soy, origin"," Grilled shrimp with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains shellfish
"
20,350.0,400.0,80.0,250.0,400.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
"," Italian Eggplant Parmesan (400 calories per portion, serves 2, contains gluten and dairy, origin"," Chocolate Dipped Strawberries - 80 kcals per portion, 4 portions, contains dairy (USA)"," Quinoa Stuffed Peppers - 250kcals per portion, 2 portions, soy-free, International
"," Vegetable pad Thai with tofu – 400 calories per portion, 4 portions, vegan-friendly (origin"
