,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,150.0,300.0,150.0,200.0, English Muffin Breakfast Pizza, Vegan Gingerbread Cookies, Mini Pita Pizzas," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
2,400.0,200.0,180.0,150.0,220.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Berry Smoothie Bowl, Kale smoothie with pineapple and coconut water, Lentil and vegetable soup, Chickpea and Vegetable Stir Fry
3,200.0,180.0,120.0,150.0,250.0, Roasted Vegetable Breakfast Tacos, Almond Butter Toast, Fruit Salad, Tom Yum Soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
4,380.0,200.0,120.0,120.0,300.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Caprese Toast," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Italian Vegan Pizza (300 calories/portion, 2 portions) - Italy
"
5,350.0,200.0,300.0,150.0,300.0, Veggie Oatmeal Bowl, Chocolate Protein Balls, Stuffed bell peppers with quinoa and black beans, Veggie Spring Rolls, Shrimp and Broccoli Stir-Fry
6,300.0,200.0,120.0,150.0,220.0, Vegan Breakfast Tostadas, Avocado toast, Pumpkin Hummus with Carrot Sticks, Veggie Spring Rolls, Chickpea and Vegetable Stir Fry
7,300.0,200.0,520.0,150.0,350.0, Overnight Apple Pie Chia Pudding, Mediterranean Quinoa Salad, Vegan Thai Coconut Curry Soup, Spanish Gazpacho, Vegan BBQ Sandwich
8,350.0,180.0,120.0,150.0,350.0," Cheesy scrambled eggs - 350 calories per portion, 1 portion, contains dairy, origin", Vegan Date and Nut Bars," Cold Cucumber Soup - 120 kcals per portion, 4 portions, gluten-free (World)", Spinach and ricotta stuffed tomatoes, Mexican Quinoa Casserole
9,300.0,200.0,90.0,150.0,250.0, Banana Oat Pancakes," Lentil Soup - 200kcals per portion, 1 portion
    Origin", Baked sweet potato chips, Cabbage Stir-Fry," Stuffed bell peppers - 250 calories per portion, 4 portions, none
"
10,300.0,100.0,100.0,150.0,300.0," Scottish porridge with honey and berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Quinoa Energy Bites," Mini caprese salad skewers (cherry tomatoes, mozzarella, basil)"," Lentil Soup - 150 calories
   - Total portions"," Greek-style roasted vegetables with feta – 300 calories per portion, 4 portions, contains dairy (origin"
11,250.0,120.0,300.0,150.0,350.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Baked Cheese Twists, Chicken Shawarma Wraps, Thai Tom Yum Soup," Vegetable Tikka Masala - 350 calories/portion, 4 portions, contains dairy (India)
"
12,400.0,100.0,190.0,150.0,320.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Caprese Skewers, Cucumber sushi rolls," Potato Latkes - 150 calories
   - Total portions"," Spinach and Artichoke Dip - 320kcals per portion, 4 portions, contains dairy
"
13,320.0,200.0,290.0,150.0,320.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Vegetarian Sausage Rolls," Antipasto Skewers - 290 kcals per portion, 3 portions, contains dairy (Italy)", Spinach and mushroom omelet," Greek Gigantes Plaki - 320kcals per portion, 4 portions
"
14,350.0,180.0,300.0,150.0,300.0," Sweet potato and black bean breakfast tacos (350kcals per portion, 2 portions, origin", Instant Pot Vegan Yogurt, Sweet potato and black bean quesadillas," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Spicy Black Bean Burgers - 300 calories/portion, 4 portions, Origin"
15,250.0,120.0,120.0,150.0,280.0," Banana walnut muffins (250 calories per portion, 2 portions, contains nuts, American origin)
", Date Balls, Veggie Stuffed Mushrooms, Lentil and vegetable frittata," Greek Stuffed Eggplant - 280kcals per portion, 4 portions
"
16,350.0,120.0,250.0,20.0,300.0," Pakistani spicy omelet with onions and green chilies (350kcals per portion, 2 portions, origin", Bell pepper and cream cheese roll-ups, Mini Chicken Tacos, Moroccan Mint Tea," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
17,350.0,150.0,200.0,150.0,200.0, Acai Bowl, Yogurt Parfait, Greek salad, Spinach and cheese stuffed tomatoes," Mexican Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains gluten (Mexico)
"
18,400.0,200.0,150.0,150.0,350.0," Mediterranean-style omelette with olives and feta (400 calories per portion, 2 portions, contains dairy, Greek origin)
", Savory muffins with ham and cheese, Stuffed Mini Bell Peppers," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Stuffed zucchini boats with ground turkey - 350 kcals per portion, 4 portions, gluten-free, contains lactose
"
19,250.0,200.0,230.0,150.0,320.0," Chia seed pudding with mixed berries (250kcals per portion, 2 portions)
", Quinoa and Vegetable Stuffed Bell Peppers, Peanut Butter and Banana Wrap, Lentil and vegetable soup," Ratatouille with crusty bread – 320 calories per portion, 4 portions, vegan-friendly (origin"
20,350.0,120.0,70.0,150.0,300.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin", Sautéed Brussels Sprouts, Greek Cucumber Cups," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
21,250.0,150.0,80.0,150.0,320.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Gingerbread Cookies, Cucumber Bites, Tomato Basil Soup," Greek Gigantes Plaki - 320kcals per portion, 4 portions
"
22,400.0,200.0,90.0,150.0,300.0, Vegan Quinoa Breakfast Skillet - 400 calories per portion | 1 portion | None | Origin, Spanish Tortilla with Potatoes - Approx, Feta and spinach stuffed mushrooms, Lentil and vegetable frittata, Vegan Bao Buns
23,250.0,160.0,200.0,150.0,350.0," Greek yogurt with honey and nuts - 250 calories per portion, 1 portion, may contain nuts, origin", Apple Chips," Apple Cinnamon Muffins - 200 kcals per portion, 3 portions, contains gluten (USA)", Caprese Salad," Szechuan Shrimp - 350 calories per portion, 4 portions, contains shellfish, Origin"
24,300.0,100.0,120.0,150.0,300.0, Mushroom and Tomato Omelette, Roasted Beetroot Chips, Greek Yogurt Fruit Dip, Spinach and feta stuffed bell peppers, Black Bean and Corn Salad
