,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,400.0,480.0,440.0,200.0, Cauliflower Buffalo Wings, Vegan Ramen, Spinach and Mushroom Quesadillas, Vegan Gyoza, Vegan Goulash
2,400.0,450.0,300.0,300.0,200.0, Vegan Meatballs with Marinara Sauce, Chickpea Tacos, Veggie Spring Rolls, Couscous Salad, Mexican Rice Bowl
3,400.0,380.0,460.0,460.0,200.0, Vegan Tamales, Vegan Chocolate Chip Cookies, Veggie Tacos, Veggie Tacos, Lentil and Vegetable Bolognese
4,300.0,200.0,440.0,200.0,200.0, Vegan Gyros, Vegan Goulash, Vegan Gyoza, Mexican Rice Bowl, Lentil and Vegetable Bolognese
5,300.0,450.0,150.0,300.0,200.0, Vegan Spaghetti Carbonara, Tomato Basil Pasta, Vegan Banana Bread, Vegan Gyros, Mexican Rice Bowl
6,300.0,400.0,200.0,240.0,200.0, Veggie Spring Rolls, Vegan Tamales, Stuffed Grape Leaves, Vegan Spinach Dip with Pita Chips, Vegan Goulash
7,400.0,400.0,150.0,400.0,200.0, Vegan Meatballs with Marinara Sauce, Vegan Sausage and Peppers, Vegan Banana Bread, Sweet Potato and Black Bean Enchiladas, Lentil and Vegetable Bolognese
8,320.0,380.0,160.0,400.0,200.0, Quinoa Salad, Vegan Chocolate Chip Cookies, Vegan Spinach and Mushroom Puff Pastry, Lentil Bolognese, Lentil and Vegetable Bolognese
9,350.0,350.0,280.0,250.0,200.0, Vegan BBQ Sandwich, Vegan BBQ Sandwich, Vegan Lemon Poppy Seed Muffins, Vegan Nachos, Vegan Goulash
10,400.0,250.0,460.0,400.0,200.0, Falafel Wrap, Vegan Nachos, Veggie Tacos, Vegan Jambalaya, Lentil and Vegetable Bolognese
11,400.0,320.0,380.0,450.0,200.0, Vegan Meatballs with Marinara Sauce, Vegan Mediterranean Flatbread Pizza, Vegan Chocolate Chip Cookies, Ratatouille Tart, Mexican Rice Bowl
12,300.0,800.0,150.0,560.0,200.0, Vegan Gyros, Vegan Mexican Churros, Vegan Banana Bread, Vegan Chickpea Salad Sandwich, Lentil and Vegetable Bolognese
13,250.0,960.0,440.0,1000.0,200.0, Vegan Nachos, Vegan Buffalo Cauliflower Pizza, Vegan Gyoza, Vegan Banana Pancakes, Lentil and Vegetable Bolognese
14,400.0,400.0,320.0,760.0,200.0, Vegan Sausage and Peppers, Vegan Meatballs with Marinara Sauce, Vegan Breaded Zucchini Sticks, Moroccan Couscous, Vegan Goulash
15,300.0,350.0,440.0,520.0,200.0, Jackfruit Tacos, Mushroom Tacos, Vegan Gyoza, Vegan Spinach and Artichoke Crostini, Vegan Goulash
16,350.0,350.0,320.0,400.0,200.0, Vegan Tacos, Vegan Tacos, Vegan Breaded Zucchini Sticks, Vegan Pastrami Reuben Sandwich, Lentil and Vegetable Bolognese
17,300.0,300.0,440.0,400.0,200.0, Vegan Gyros, Couscous Salad, Vegan Gyoza, Vegan Ramen, Lentil and Vegetable Bolognese
18,300.0,400.0,280.0,240.0,200.0, Veggie Fajitas, Vegan Ramen, Vegan Lemon Poppy Seed Muffins, Vegan Spinach Dip with Pita Chips, Lentil and Vegetable Bolognese
19,300.0,960.0,320.0,400.0,200.0, Veggie Spring Rolls, Vegan Buffalo Cauliflower Pizza, Vegan Mediterranean Flatbread Pizza, Vegan Ramen, Vegan Goulash
