,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,100.0,80.0,20.0,350.0, Savory Oatmeal with Vegetables, Cucumber Rolls with Hummus - Approx, Veggie Spring Rolls, Moroccan Mint Tea, Buddha Bowl
2,300.0,120.0,250.0,150.0,400.0, Greek Yogurt with Honey and Pistachios, Hummus with Veggies, Greek Baklava," Lentil Soup - 150kcals per portion, 6 portions", Thai Pineapple Fried Rice
3,350.0,120.0,180.0,150.0,400.0," Greek yogurt and berry parfait (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Carrot Sticks with Hummus," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)"," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," Baked coconut shrimp with pineapple fried rice - 400 kcals per portion, 2 portions, contains shellfish, lactose
"
4,350.0,80.0,160.0,150.0,250.0, Banana Walnut Bread, Cheesy Popcorn," Zucchini Bread - 160 kcals per portion, 4 portions, contains gluten (USA)", Gazpacho Soup," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin"
5,250.0,100.0,140.0,150.0,400.0, Vegan Breakfast Enchiladas, Carrot Sticks with Ranch Dip," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Greek Taramasalata, Chicken and Rice Soup
6,350.0,100.0,160.0,150.0,200.0, Breakfast Sushi, Toasted Coconut Chips," Salsa Verde Hummus with Pita Chips - 160 kcals per portion, 4 portions, contains gluten (Various)"," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
7,400.0,120.0,220.0,150.0,300.0, Breakfast Stuffed Peppers, Toasted Coconut Chips, Chicken Yakitori Skewers, Greek Tzatziki Dip with Pita, Sweet Potato Curry
8,300.0,70.0,220.0,150.0,350.0, French Toast, Fresh Fruit Salad, Baked Sweet Potato Fries, Tomato Basil Soup," Italian Vegan Eggplant Rollatini (350 calories/portion, 2 portions) - Italy
"
9,400.0,100.0,480.0,150.0,317.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Greek yogurt with berries, Vegan Cucumber Sushi Rolls, Tomato Basil Soup, Vegan Paella
10,250.0,100.0,600.0,150.0,400.0, Quinoa Porridge," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Vegan Indonesian Gado Gado," Lentil Soup - 150kcals per portion, 6 portions", Vegan Tamales
11,400.0,100.0,140.0,150.0,250.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
", Fruit Salad," Apple Slices with Almond Butter - 140 kcals per portion, 2 portions, contains tree nuts (USA)", Lentil and vegetable frittata," Grilled Chicken Caesar Salad - 250 calories per portion, 4 portions, contains dairy (cheese), Origin"
12,350.0,100.0,250.0,150.0,400.0," Mexican sopes with refried beans and salsa (350kcals per portion, 2 portions, origin", Stuffed Dates - Approx, Spinach and artichoke dip with pita chips, Lentil and vegetable frittata," Teriyaki Salmon with Rice - 400 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
13,200.0,100.0,120.0,120.0,300.0, Mediterranean Vegetable Omelette, Chilled Gazpacho Soup - Approx, Watermelon and Feta Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mexican Black Bean Tacos (300 calories/portion, 2 portions) - Mexico
"
14,250.0,50.0,200.0,150.0,250.0," Cereal with milk and sliced strawberries (250kcals per portion, 1 portion, lactose allergies)
", Baked Apple Chips - Approx, Quinoa-Stuffed Bell Peppers, Greek Taramasalata, Quinoa Veggie Stir-Fry
15,350.0,100.0,180.0,150.0,250.0," French toast with cinnamon and maple syrup (350kcals per portion, 2 portions, origin", Stuffed Dates - Approx, Stuffed Bell Peppers with Quinoa and Black Beans," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Vegan Soba Noodle Salad - 250 calories per portion, 4 portions, None, Japan
"
16,550.0,120.0,210.0,150.0,355.0, Quiche Lorraine, Sautéed Brussels Sprouts," Caramelized Onion Tartlet - 210 kcals per portion, 3 portions, contains gluten, dairy (France)"," Greek Salad - 150kcals per portion, 2 portions", Chickpea Salad
17,280.0,120.0,200.0,150.0,200.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Raspberry Chia Seed Jam, Mini chicken empanadas, Lentil and vegetable frittata, Lentil Curry
18,400.0,120.0,150.0,150.0,450.0, Vegan Quinoa Breakfast Skillet - 400 calories per portion | 1 portion | None | Origin, Roasted Chickpeas," Mini Vegetable Quiches - 150 kcals per portion, 6 portions, contains dairy (France)"," Potato Latkes - 150 calories
   - Total portions"," Baked salmon with quinoa and roasted asparagus - 450 kcals per portion, 2 portions, contains lactose
"
19,400.0,120.0,150.0,150.0,300.0, Veggie Breakfast Bagel Sandwich, Granola Bar, Roasted Chickpeas, Caprese Salad," Vegan Baked Falafel - 300 calories per portion, 3 portions, may contain gluten"
20,280.0,120.0,200.0,150.0,250.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
", Kale Chips, Mini Chicken and Vegetable Skewers, Lentil Soup," Mexican Zucchini Boats - 250 calories/portion, 4 portions, contains cheese (Mexico)
"
21,400.0,100.0,200.0,150.0,300.0," Scrambled tofu with turmeric and veggies (400 calories per portion, 2 portions, nut-free, American origin)
", Rice Paper Spring Rolls, Mini Vegetable Spring Rolls, Lentil and vegetable soup," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
22,400.0,100.0,100.0,150.0,350.0, Veggie Breakfast Skillet, Overnight Chia Pudding, Tuna Salad Stuffed Tomatoes, Spinach and feta stuffed bell peppers," Black Bean and Corn Salad - 350 calories/portion, 4 portions, Origin"
23,200.0,100.0,120.0,150.0,400.0," Spinach and feta breakfast muffins (200 calories per portion, 2 portions, contains dairy, Greek origin)
"," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin"," Vegan Avocado Toast - 120 kcals per portion, 4 portions, allergic warning (avocado), origin", Grilled Chicken Salad," Lentil and vegetable stir-fry with noodles (400 calories per portion, 3 portions, vegan-friendly, origin"
24,250.0,60.0,120.0,150.0,350.0," British eggy soldiers - 250 calories per portion, 1 portion, contains gluten, origin", Cucumber and tomato salad," Vegan Chocolate Chip Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and cheese stuffed tomatoes," Thai Red Curry - 350 calories/portion, 4 portions, Origin"
25,320.0,100.0,150.0,150.0,300.0," Ricotta and berry-stuffed crepes (320 calories per portion, 2 portions, contains dairy, French origin)
"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Baked Vegetable Samosas, Butternut squash soup, Quinoa Stuffed Zucchini Boats
26,200.0,100.0,110.0,150.0,250.0, Banana Pancakes, Frozen Grapes, Vegetable spring rolls, Greek Taramasalata, Ratatouille-Stuffed Zucchini
27,250.0,100.0,100.0,150.0,350.0, Middle Eastern Shakshuka, Watermelon Fruit Pizza, Stuffed Mushrooms," Japanese Miso Soup with Tofu - 150 calories
    - Total portions", Greek Spinach Pie (Spanakopita)
28,250.0,80.0,120.0,150.0,400.0, Vegan Cinnamon Rolls, Hard-Boiled Eggs, Watermelon and feta skewers, Gazpacho Soup," Vegetarian stuffed zucchini boats with quinoa and cheese (400 calories per portion, 3 portions, contains dairy, origin"
29,350.0,100.0,140.0,150.0,350.0," French toast with cinnamon and maple syrup (350kcals per portion, 2 portions, origin", Frozen Grapes, Blueberry Oat Bars, Lentil and Vegetable Soup, Vegan Shepherd's Pie
30,400.0,80.0,200.0,150.0,400.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Mango with Chili Powder, Stuffed dates with goat cheese and walnuts, Lentil and Vegetable Soup," Eggplant Parmesan - 400 calories/portion, 4 portions, Origin"
31,300.0,100.0,150.0,150.0,350.0, Tofu Scramble Breakfast Burrito, Chilled Gazpacho Soup - Approx, Caprese Salad Skewers, Butternut squash soup," Stuffed mushrooms with cream cheese and spinach - 350 kcals per portion, 4 portions, vegetarian, contains lactose
"
32,250.0,100.0,150.0,150.0,350.0, Avocado Toast, Caprese Skewers, Cauliflower Buffalo Wings, Greek Tzatziki Dip with Pita, Vegan Tacos
33,300.0,100.0,90.0,150.0,400.0, Shakshuka, Baked Apple Chips, Vegan Energy Balls," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
", Vegan Tamales
34,350.0,100.0,120.0,150.0,420.0," Pakistani spicy omelet with onions and green chilies (350kcals per portion, 2 portions, origin", Caprese Skewers, Mini pizza rolls, Tomato and Basil Bruschetta," Chicken and vegetable fried rice - 420 kcals per portion, 3 portions, contains gluten, soy
"
35,200.0,100.0,480.0,150.0,200.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Roasted Beetroot Chips, Vegan Lentil Burgers, Greek Taramasalata," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
36,300.0,120.0,220.0,150.0,300.0," Berry chia seed smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Bell pepper and cream cheese roll-ups, Mini Chicken Pot Pies," Vegetable Stir-Fry - 150kcals per portion, 3 portions", Moroccan Vegetable Tagine
37,400.0,120.0,100.0,150.0,350.0, Huevos Rancheros, Cinnamon Sugar Pretzels, Chocolate Banana Smoothie," Greek Salad - 150 calories
   - Total portions"," Chickpea Salad - 350 calories/portion, 4 portions, Origin"
38,300.0,100.0,340.0,150.0,350.0, Vegan French Toast, Fruit salad, Vegan Nachos, Thai Tom Yum Soup," Spinach and Ricotta Stuffed Shells - 350 calories per portion, 4 portions, contains gluten (pasta), Origin"
39,200.0,120.0,120.0,150.0,400.0, Avocado Toast, Date Balls, Greek Yogurt Dip with Veggies, Spinach and cheese stuffed tomatoes," Caprese tortellini skillet - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
40,320.0,100.0,150.0,150.0,250.0," Baked eggs with asparagus and Parmesan (320 calories per portion, 2 portions, contains dairy, Italian origin)
"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin"," Vegan Chocolate Avocado Mousse - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Spinach and feta stuffed bell peppers," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
41,400.0,80.0,140.0,150.0,400.0, Veggie Breakfast Skillet, Hard-Boiled Eggs," Vegan Spinach Dip with Pita Chips - 140 kcals per portion, 4 portions, no allergic warnings, origin", Spanish Gazpacho," Vegan Fettuccine Alfredo - 400 calories per portion, 4 portions, Gluten, Italy
"
42,350.0,130.0,120.0,150.0,250.0, Homemade Granola with Yogurt, Almond Butter Stuffed Dates, Tomato Basil Bruschetta," Greek Salad - 150kcals per portion, 2 portions", Stuffed Acorn Squash
43,350.0,120.0,120.0,150.0,312.0," Finnish Karelian pasties with egg butter - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Roasted Chickpeas," Cold Cucumber Soup - 120 kcals per portion, 4 portions, gluten-free (World)", Butternut squash soup, Vegan Kung Pao Tofu
44,350.0,80.0,180.0,150.0,350.0, Chocolate Chip Muffins, Apple with Cinnamon, Pesto and Tomato Tart," Greek Salad - 150kcals per portion, 2 portions", Vegan BBQ Sandwich
45,150.0,120.0,90.0,150.0,225.0, Fruit Smoothie, Cucumber Rolls, Homemade Popcorn, Greek Tzatziki Dip with Pita, Vegan Stuffed Mushrooms
46,350.0,120.0,160.0,150.0,390.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin, Sautéed Brussels Sprouts, Asparagus and Goat Cheese Tartlets, Butternut squash soup, Vegan Lasagna
47,300.0,80.0,250.0,150.0,350.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Stuffed Dates, Avocado Egg Salad Lettuce Wraps, Tom Yum Soup, Thai Pineapple Fried Rice
48,250.0,100.0,200.0,150.0,280.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Frozen Grapes, Smashed Avocado Toast, Spinach and feta stuffed mushrooms, Chickpea and Vegetable Stew
49,200.0,100.0,200.0,150.0,250.0, Vegan Breakfast Phyllo Cups, Baked Apple Chips, Baked Falafel, Tom Yum Soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)

Please note that these calorie estimates are approximate and can vary based on specific ingredients and portion sizes used"
50,400.0,120.0,120.0,150.0,350.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Cucumber Rolls, Caprese Pasta Salad, Lentil and vegetable soup," Mexican Rice and Bean Stuffed Peppers - 350kcals per portion, 4 portions, contains legumes (Mexico)
"
51,400.0,100.0,600.0,150.0,450.0, Tomato Basil Quiche, Fruit Smoothie Popsicles - Approx, Vegan Indonesian Gado Gado, Caprese Salad," Salmon with Lemon Herb Quinoa - 450 calories per portion, 4 portions, no allergic warnings, Origin"
52,500.0,100.0,180.0,150.0,250.0," Vietnamese banh mi sandwich with eggs, pickled carrots, and cilantro (500kcals per portion, 2 portions, origin", Roasted Pumpkin Seeds, Spinach and Feta Pastry Triangles, Tom Yum Soup," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
53,400.0,120.0,170.0,150.0,240.0," Cheese and beef sausage omelet (400kcals per portion, 2 portions, dairy allergies, origin", Oatmeal Cookie, Tuna Salad Lettuce Wraps, Thai Tom Yum Soup," Greek Feta Spinach Pie - 240kcals per portion, 4 portions, contains dairy (Greece)
"
54,400.0,120.0,80.0,150.0,400.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Kale Chips," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin"," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Chili-lime grilled fish tacos – 400 calories per portion, 4 portions, contains fish (origin"
55,50.0,100.0,200.0,120.0,330.0, Vegan Breakfast Stuffed Tomatoes, Cucumber and Tomato Salad, Ratatouille," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Chickpea Salad - 330kcals per portion, 4 portions, contains legumes
"
